### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,129,493,11.1756,0,255,0,0,100,1,1
1,504,266,-53.0506,0,255,0,0,100,1,1
2,52,77,-153.721,0,255,0,0,100,1,1
3,29,181,-136.299,0,255,0,0,100,1,1
4,518,539,-114.623,0,255,0,0,100,1,1
5,349,340,134.889,0,255,0,0,100,1,1
6,272,145,78.6563,0,255,0,0,100,1,1
7,148,211,118.216,0,255,0,0,100,1,1
8,96,108,101.633,0,255,0,0,100,1,1
9,125,26,-117.382,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,352,466,1
1,85,506,1
2,80,547,1
3,237,68,1
4,405,199,1
5,539,66,1
6,63,122,1
7,452,246,1
8,309,492,1
9,326,538,1
10,574,293,1
11,530,261,1
12,58,405,1
13,376,301,1
14,508,379,1
15,217,189,1
16,529,307,1
17,486,82,1
18,494,363,1
19,271,401,1
20,136,396,1
21,63,522,1
22,514,425,1
23,380,282,1
24,540,357,1
25,487,295,1
26,389,233,1
27,235,410,1
28,485,247,1
29,263,41,1
30,151,362,1
31,566,370,1
32,147,288,1
33,399,464,1
34,422,142,1
35,49,32,1
36,281,506,1
37,163,568,1
38,192,518,1
39,150,440,1
40,291,205,1
41,462,350,1
42,298,132,1
43,149,478,1
44,315,380,1
45,21,124,1
46,69,571,1
47,567,449,1
48,19,558,1
49,76,478,1
50,310,359,1
51,469,119,1
52,80,46,1
53,49,553,1
54,339,73,1
55,452,214,1
56,301,419,1
57,474,378,1
58,211,218,1
59,562,395,1
60,215,366,1
61,463,501,1
62,427,187,1
63,82,326,1
64,288,178,1
65,255,115,1
66,420,277,1
67,249,244,1
68,26,506,1
69,505,256,1
70,149,328,1
71,78,178,1
72,261,334,1
73,129,197,1
74,59,258,1
75,30,26,1
76,508,228,1
77,100,248,1
78,404,377,1
79,105,322,1
80,350,140,1
81,399,171,1
82,380,447,1
83,192,193,1
84,551,201,1
85,288,105,1
86,519,131,1
87,19,364,1
88,41,67,1
89,402,513,1
90,40,349,1
91,121,272,1
92,182,344,1
93,425,505,1
94,341,377,1
95,554,573,1
96,345,418,1
97,96,525,1
98,59,384,1
99,244,534,1
100,477,175,1
101,36,111,1
102,430,41,1
103,221,129,1
104,391,550,1
105,175,287,1
106,194,328,1
107,61,163,1
108,158,21,1
109,173,405,1
110,419,302,1
111,188,375,1
112,266,421,1
113,160,115,1
114,73,83,1
115,193,54,1
116,284,84,1
117,370,328,1
118,512,343,1
119,233,516,1
120,276,134,1
121,22,95,1
122,313,465,1
123,447,573,1
124,91,447,1
125,128,438,1
126,318,83,1
127,187,561,1
128,539,222,1
129,264,527,1
130,335,450,1
131,48,422,1
132,145,228,1
133,282,557,1
134,480,140,1
135,190,486,1
136,477,572,1
137,573,127,1
138,554,508,1
139,110,108,1
140,232,230,1
141,322,415,1
142,561,530,1
143,425,99,1
144,188,253,1
145,262,172,1
146,402,485,1
147,74,363,1
148,306,555,1
149,347,331,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
