### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,62,24,-172.131,0,255,0,0,100,1,1
1,107,421,-105.311,0,255,0,0,100,1,1
2,484,483,-89.6011,0,255,0,0,100,1,1
3,257,348,91.0569,0,255,0,0,100,1,1
4,186,479,111.364,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,58,318,1
1,571,178,1
2,276,142,1
3,238,216,1
4,540,494,1
5,175,166,1
6,445,89,1
7,465,236,1
8,206,283,1
9,184,574,1
10,49,194,1
11,211,130,1
12,421,498,1
13,564,131,1
14,193,54,1
15,421,249,1
16,299,222,1
17,226,91,1
18,213,573,1
19,156,265,1
20,291,479,1
21,39,576,1
22,438,344,1
23,431,73,1
24,401,278,1
25,185,77,1
26,69,109,1
27,260,207,1
28,356,423,1
29,337,562,1
30,126,61,1
31,375,229,1
32,203,378,1
33,391,130,1
34,373,121,1
35,339,26,1
36,127,85,1
37,460,40,1
38,567,543,1
39,337,531,1
40,49,291,1
41,409,444,1
42,89,397,1
43,215,416,1
44,362,384,1
45,330,363,1
46,567,35,1
47,577,349,1
48,307,180,1
49,375,320,1
50,357,71,1
51,448,514,1
52,581,149,1
53,329,209,1
54,115,482,1
55,28,435,1
56,504,410,1
57,214,162,1
58,284,207,1
59,209,527,1
60,427,541,1
61,358,567,1
62,369,348,1
63,246,188,1
64,571,291,1
65,377,49,1
66,395,523,1
67,160,64,1
68,237,163,1
69,388,360,1
70,513,244,1
71,523,426,1
72,401,162,1
73,203,436,1
74,44,522,1
75,454,456,1
76,138,25,1
77,156,295,1
78,473,105,1
79,167,476,1
80,103,358,1
81,111,232,1
82,531,182,1
83,470,369,1
84,510,449,1
85,183,128,1
86,228,528,1
87,99,208,1
88,267,69,1
89,236,460,1
90,311,133,1
91,154,224,1
92,454,111,1
93,406,112,1
94,461,202,1
95,323,55,1
96,417,328,1
97,292,541,1
98,292,75,1
99,262,384,1
100,56,94,1
101,68,477,1
102,184,466,1
103,79,168,1
104,177,186,1
105,89,267,1
106,273,41,1
107,556,276,1
108,537,471,1
109,513,103,1
110,385,208,1
111,525,387,1
112,284,279,1
113,183,290,1
114,499,568,1
115,537,22,1
116,73,147,1
117,238,572,1
118,99,30,1
119,508,532,1
120,339,137,1
121,181,549,1
122,57,418,1
123,255,271,1
124,217,494,1
125,408,560,1
126,171,29,1
127,245,361,1
128,235,238,1
129,157,362,1
130,572,489,1
131,211,334,1
132,473,574,1
133,44,167,1
134,30,56,1
135,561,57,1
136,414,57,1
137,248,299,1
138,126,552,1
139,60,360,1
140,557,526,1
141,480,407,1
142,88,95,1
143,107,291,1
144,106,104,1
145,19,179,1
146,170,338,1
147,487,155,1
148,54,559,1
149,255,421,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
