### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,22,580,7.69303,0,255,0,0,100,1,1
1,395,32,-75.55,0,255,0,0,100,1,1
2,132,429,75.5037,0,255,0,0,100,1,1
3,200,421,-59.6857,0,255,0,0,100,1,1
4,209,486,-70.343,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,404,245,1
1,294,214,1
2,576,281,1
3,76,389,1
4,96,355,1
5,46,29,1
6,262,213,1
7,265,190,1
8,276,60,1
9,337,334,1
10,159,408,1
11,319,254,1
12,313,34,1
13,329,427,1
14,364,343,1
15,173,255,1
16,44,489,1
17,229,110,1
18,435,343,1
19,88,275,1
20,524,422,1
21,43,248,1
22,500,266,1
23,494,538,1
24,467,103,1
25,210,122,1
26,492,479,1
27,558,539,1
28,357,517,1
29,363,483,1
30,87,208,1
31,103,564,1
32,376,143,1
33,213,170,1
34,423,177,1
35,436,300,1
36,449,540,1
37,140,30,1
38,269,475,1
39,256,93,1
40,275,402,1
41,400,289,1
42,385,201,1
43,469,194,1
44,396,373,1
45,231,528,1
46,251,37,1
47,47,526,1
48,260,382,1
49,294,298,1
50,29,99,1
51,209,273,1
52,174,312,1
53,171,563,1
54,350,433,1
55,138,367,1
56,154,230,1
57,297,116,1
58,109,338,1
59,354,28,1
60,572,484,1
61,486,575,1
62,276,120,1
63,98,397,1
64,457,157,1
65,449,505,1
66,136,479,1
67,293,432,1
68,477,375,1
69,468,332,1
70,434,479,1
71,222,218,1
72,480,267,1
73,422,105,1
74,143,535,1
75,436,255,1
76,166,114,1
77,198,356,1
78,60,258,1
79,472,471,1
80,220,477,1
81,519,74,1
82,320,219,1
83,176,489,1
84,427,135,1
85,318,55,1
86,471,45,1
87,304,278,1
88,553,276,1
89,559,158,1
90,514,251,1
91,161,67,1
92,301,530,1
93,568,127,1
94,394,158,1
95,316,349,1
96,406,499,1
97,482,236,1
98,262,558,1
99,137,243,1
100,562,72,1
101,233,168,1
102,358,118,1
103,356,367,1
104,221,558,1
105,536,473,1
106,19,275,1
107,478,146,1
108,136,284,1
109,369,224,1
110,457,361,1
111,551,234,1
112,308,187,1
113,377,562,1
114,199,408,1
115,580,384,1
116,554,497,1
117,44,291,1
118,194,375,1
119,55,225,1
120,145,514,1
121,258,359,1
122,321,519,1
123,302,472,1
124,329,465,1
125,524,122,1
126,298,382,1
127,70,70,1
128,540,306,1
129,108,103,1
130,350,317,1
131,297,501,1
132,205,308,1
133,410,49,1
134,208,525,1
135,543,23,1
136,329,272,1
137,444,431,1
138,192,332,1
139,343,385,1
140,429,391,1
141,348,564,1
142,48,175,1
143,541,257,1
144,152,386,1
145,440,280,1
146,385,475,1
147,525,164,1
148,21,433,1
149,271,511,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
