### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,323,363,139.336,0,255,0,0,100,1,1
1,41,263,86.9114,0,255,0,0,100,1,1
2,28,130,-166.482,0,255,0,0,100,1,1
3,139,51,-20.4004,0,255,0,0,100,1,1
4,274,168,-50.5993,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,47,276,1
1,171,69,1
2,368,509,1
3,69,100,1
4,150,335,1
5,182,464,1
6,142,438,1
7,58,208,1
8,524,134,1
9,467,374,1
10,223,29,1
11,245,471,1
12,63,361,1
13,472,174,1
14,22,135,1
15,370,421,1
16,157,422,1
17,504,357,1
18,31,153,1
19,102,76,1
20,49,79,1
21,362,155,1
22,76,37,1
23,151,299,1
24,460,124,1
25,271,497,1
26,540,533,1
27,88,476,1
28,196,323,1
29,268,230,1
30,88,193,1
31,493,505,1
32,394,196,1
33,466,102,1
34,479,295,1
35,480,134,1
36,276,568,1
37,406,47,1
38,277,391,1
39,343,34,1
40,321,291,1
41,243,493,1
42,409,309,1
43,373,351,1
44,513,203,1
45,25,308,1
46,486,27,1
47,234,189,1
48,523,509,1
49,403,394,1
50,505,270,1
51,179,394,1
52,334,228,1
53,512,57,1
54,199,386,1
55,264,464,1
56,543,503,1
57,160,236,1
58,546,61,1
59,206,362,1
60,501,158,1
61,446,297,1
62,247,335,1
63,175,95,1
64,513,316,1
65,397,366,1
66,387,272,1
67,316,511,1
68,468,194,1
69,318,195,1
70,449,481,1
71,411,521,1
72,44,423,1
73,445,321,1
74,25,431,1
75,377,227,1
76,466,234,1
77,426,442,1
78,25,398,1
79,546,569,1
80,433,112,1
81,235,275,1
82,438,512,1
83,27,547,1
84,573,326,1
85,230,212,1
86,149,396,1
87,290,172,1
88,69,550,1
89,270,327,1
90,66,287,1
91,281,432,1
92,322,349,1
93,567,84,1
94,520,252,1
95,424,61,1
96,428,23,1
97,272,272,1
98,44,507,1
99,166,526,1
100,229,95,1
101,550,475,1
102,239,422,1
103,581,526,1
104,58,122,1
105,538,381,1
106,41,135,1
107,368,92,1
108,421,204,1
109,125,198,1
110,503,567,1
111,252,100,1
112,489,476,1
113,432,555,1
114,179,418,1
115,420,573,1
116,67,519,1
117,125,508,1
118,580,558,1
119,378,472,1
120,454,258,1
121,126,465,1
122,202,557,1
123,573,435,1
124,294,233,1
125,105,573,1
126,90,389,1
127,154,266,1
128,196,99,1
129,474,215,1
130,569,160,1
131,411,282,1
132,390,313,1
133,29,211,1
134,462,577,1
135,301,337,1
136,101,98,1
137,137,379,1
138,531,42,1
139,331,462,1
140,215,257,1
141,185,570,1
142,296,86,1
143,292,503,1
144,244,545,1
145,474,321,1
146,199,439,1
147,395,97,1
148,110,377,1
149,273,413,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
