### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,271,203,151.39,0,255,0,0,100,1,1
1,412,210,-51.4504,0,255,0,0,100,1,1
2,541,42,-138.361,0,255,0,0,100,1,1
3,66,149,-145.824,0,255,0,0,100,1,1
4,182,41,-61.0038,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,285,143,1
1,316,237,1
2,34,90,1
3,293,294,1
4,303,132,1
5,393,368,1
6,539,469,1
7,329,174,1
8,210,50,1
9,31,364,1
10,410,565,1
11,192,356,1
12,282,474,1
13,372,275,1
14,360,221,1
15,386,171,1
16,195,534,1
17,555,540,1
18,381,25,1
19,431,102,1
20,485,206,1
21,401,22,1
22,147,168,1
23,367,118,1
24,505,345,1
25,411,120,1
26,264,179,1
27,68,95,1
28,279,573,1
29,546,159,1
30,374,548,1
31,389,263,1
32,349,460,1
33,104,416,1
34,18,568,1
35,456,214,1
36,402,299,1
37,102,100,1
38,172,111,1
39,398,505,1
40,92,394,1
41,367,302,1
42,522,412,1
43,520,440,1
44,73,66,1
45,227,393,1
46,539,385,1
47,403,63,1
48,278,433,1
49,453,325,1
50,568,558,1
51,395,327,1
52,501,258,1
53,310,306,1
54,481,160,1
55,204,461,1
56,527,47,1
57,439,469,1
58,447,82,1
59,96,142,1
60,231,514,1
61,581,255,1
62,504,284,1
63,486,136,1
64,74,312,1
65,524,531,1
66,309,342,1
67,321,36,1
68,248,562,1
69,356,74,1
70,170,86,1
71,471,269,1
72,258,309,1
73,542,248,1
74,441,361,1
75,535,558,1
76,551,491,1
77,123,95,1
78,96,69,1
79,213,186,1
80,222,324,1
81,359,192,1
82,318,68,1
83,88,46,1
84,48,532,1
85,225,466,1
86,57,193,1
87,578,517,1
88,258,490,1
89,477,351,1
90,562,256,1
91,531,340,1
92,467,554,1
93,44,57,1
94,184,231,1
95,514,375,1
96,466,196,1
97,296,505,1
98,195,159,1
99,364,482,1
100,386,107,1
101,408,87,1
102,347,270,1
103,92,341,1
104,161,29,1
105,28,171,1
106,153,570,1
107,168,425,1
108,204,215,1
109,163,457,1
110,121,331,1
111,28,516,1
112,508,516,1
113,94,513,1
114,332,431,1
115,143,335,1
116,463,236,1
117,567,82,1
118,554,191,1
119,277,553,1
120,566,323,1
121,449,385,1
122,24,32,1
123,214,545,1
124,261,85,1
125,293,58,1
126,126,418,1
127,303,456,1
128,417,196,1
129,225,128,1
130,34,399,1
131,142,550,1
132,374,57,1
133,220,416,1
134,286,97,1
135,73,504,1
136,333,123,1
137,201,418,1
138,442,552,1
139,577,349,1
140,62,142,1
141,113,45,1
142,112,128,1
143,290,322,1
144,561,33,1
145,305,411,1
146,517,117,1
147,372,389,1
148,76,410,1
149,55,491,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
