### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,381,105,76.3323,0,255,0,0,100,1,1
1,547,84,157.842,0,255,0,0,100,1,1
2,17,272,165.086,0,255,0,0,100,1,1
3,389,497,63.3322,0,255,0,0,100,1,1
4,16,508,-29.2968,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,518,200,1
1,30,37,1
2,562,63,1
3,49,372,1
4,435,308,1
5,95,535,1
6,158,370,1
7,537,457,1
8,83,409,1
9,366,48,1
10,324,150,1
11,448,56,1
12,465,501,1
13,233,470,1
14,117,366,1
15,307,427,1
16,105,487,1
17,63,184,1
18,448,149,1
19,505,162,1
20,225,571,1
21,553,259,1
22,210,318,1
23,529,366,1
24,510,520,1
25,202,100,1
26,219,389,1
27,234,185,1
28,470,387,1
29,413,228,1
30,147,280,1
31,233,334,1
32,128,308,1
33,231,131,1
34,168,472,1
35,482,436,1
36,128,46,1
37,290,81,1
38,324,96,1
39,83,32,1
40,576,469,1
41,315,465,1
42,317,56,1
43,206,213,1
44,353,446,1
45,83,500,1
46,360,365,1
47,168,38,1
48,344,254,1
49,391,218,1
50,163,159,1
51,242,251,1
52,284,129,1
53,271,349,1
54,572,217,1
55,342,163,1
56,460,112,1
57,302,567,1
58,38,410,1
59,196,75,1
60,388,374,1
61,573,494,1
62,487,400,1
63,555,529,1
64,82,180,1
65,184,388,1
66,449,459,1
67,70,329,1
68,447,336,1
69,138,28,1
70,316,502,1
71,539,52,1
72,562,365,1
73,540,563,1
74,135,175,1
75,410,336,1
76,155,527,1
77,139,233,1
78,27,100,1
79,114,427,1
80,353,69,1
81,269,401,1
82,423,291,1
83,295,32,1
84,427,191,1
85,447,35,1
86,394,128,1
87,549,305,1
88,414,268,1
89,128,560,1
90,264,214,1
91,527,278,1
92,189,323,1
93,195,452,1
94,471,213,1
95,158,337,1
96,578,250,1
97,405,53,1
98,341,214,1
99,429,242,1
100,131,472,1
101,482,158,1
102,578,338,1
103,536,30,1
104,261,144,1
105,191,354,1
106,131,508,1
107,274,100,1
108,285,231,1
109,338,556,1
110,77,479,1
111,102,55,1
112,164,411,1
113,345,352,1
114,42,228,1
115,36,521,1
116,67,362,1
117,127,343,1
118,244,159,1
119,576,47,1
120,291,383,1
121,574,130,1
122,113,256,1
123,301,525,1
124,455,170,1
125,203,272,1
126,443,407,1
127,420,446,1
128,499,64,1
129,255,490,1
130,196,532,1
131,310,244,1
132,385,69,1
133,459,545,1
134,176,495,1
135,85,203,1
136,184,186,1
137,322,264,1
138,499,420,1
139,494,323,1
140,93,557,1
141,214,150,1
142,33,429,1
143,382,337,1
144,469,88,1
145,100,376,1
146,284,197,1
147,96,282,1
148,558,104,1
149,37,147,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
