### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,269,166,174.633,0,255,0,0,100,1,1
1,515,507,-122.868,0,255,0,0,100,1,1
2,267,419,146.643,0,255,0,0,100,1,1
3,399,472,159.317,0,255,0,0,100,1,1
4,208,468,-167.021,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,121,455,1
1,160,505,1
2,485,562,1
3,425,302,1
4,444,478,1
5,334,119,1
6,36,31,1
7,506,124,1
8,86,541,1
9,95,53,1
10,197,482,1
11,56,368,1
12,246,161,1
13,192,357,1
14,234,136,1
15,486,452,1
16,191,230,1
17,406,373,1
18,119,265,1
19,319,509,1
20,493,40,1
21,451,238,1
22,156,555,1
23,477,299,1
24,63,334,1
25,402,83,1
26,302,89,1
27,281,310,1
28,116,330,1
29,213,105,1
30,398,141,1
31,243,267,1
32,507,528,1
33,90,253,1
34,73,399,1
35,97,97,1
36,406,110,1
37,451,532,1
38,147,256,1
39,44,435,1
40,557,511,1
41,180,193,1
42,480,401,1
43,425,432,1
44,302,272,1
45,433,380,1
46,516,77,1
47,89,153,1
48,155,85,1
49,166,483,1
50,108,512,1
51,554,117,1
52,411,413,1
53,238,115,1
54,289,478,1
55,132,283,1
56,129,103,1
57,155,356,1
58,177,164,1
59,65,44,1
60,238,299,1
61,312,154,1
62,310,249,1
63,49,313,1
64,416,481,1
65,580,276,1
66,478,242,1
67,330,175,1
68,253,84,1
69,253,62,1
70,48,81,1
71,501,237,1
72,532,343,1
73,484,357,1
74,132,506,1
75,294,234,1
76,293,508,1
77,404,308,1
78,545,437,1
79,537,239,1
80,221,399,1
81,458,125,1
82,165,290,1
83,514,166,1
84,400,265,1
85,89,280,1
86,310,472,1
87,470,89,1
88,40,203,1
89,560,555,1
90,475,165,1
91,71,515,1
92,156,456,1
93,204,67,1
94,418,181,1
95,161,390,1
96,28,401,1
97,435,33,1
98,261,423,0
99,89,463,1
100,274,88,1
101,457,144,1
102,306,109,1
103,226,427,1
104,491,74,1
105,380,450,1
106,125,33,1
107,422,534,1
108,451,558,1
109,150,314,1
110,180,326,1
111,377,301,1
112,142,376,1
113,140,436,1
114,469,487,1
115,195,442,1
116,302,292,1
117,253,213,1
118,441,163,1
119,531,515,1
120,239,528,1
121,344,269,1
122,546,326,1
123,371,257,1
124,235,376,1
125,315,394,1
126,62,287,1
127,84,364,1
128,252,500,1
129,545,530,1
130,439,338,1
131,468,214,1
132,169,526,1
133,131,349,1
134,535,66,1
135,537,459,1
136,208,159,1
137,189,292,1
138,266,445,1
139,573,122,1
140,134,233,1
141,198,513,1
142,398,345,1
143,372,342,1
144,256,470,1
145,575,392,1
146,122,559,1
147,569,533,1
148,459,274,1
149,374,534,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
