### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,116,461,-46.3022,0,255,0,0,100,1,1
1,281,504,-175.281,0,255,0,0,100,1,1
2,295,505,79.458,0,255,0,0,100,1,1
3,135,93,-14.9193,0,255,0,0,100,1,1
4,212,538,68.1802,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,376,316,1
1,568,508,1
2,276,287,1
3,347,205,1
4,457,89,1
5,287,527,1
6,301,442,1
7,430,178,1
8,542,34,1
9,122,57,1
10,51,199,1
11,301,329,1
12,332,512,1
13,63,514,1
14,76,95,1
15,415,368,1
16,156,506,1
17,568,217,1
18,169,397,1
19,69,281,1
20,88,30,1
21,124,125,1
22,126,208,1
23,212,372,1
24,246,336,1
25,32,566,1
26,469,437,1
27,50,360,1
28,104,278,1
29,35,161,1
30,101,257,1
31,251,81,1
32,372,111,1
33,390,263,1
34,143,418,1
35,243,378,1
36,298,562,1
37,294,275,1
38,336,84,1
39,153,447,1
40,49,283,1
41,220,148,1
42,276,420,1
43,248,228,1
44,342,116,1
45,96,103,1
46,548,371,1
47,317,78,1
48,364,152,1
49,531,71,1
50,202,55,1
51,266,42,1
52,551,408,1
53,360,451,1
54,27,233,1
55,422,153,1
56,522,93,1
57,485,363,1
58,374,228,1
59,548,90,1
60,418,572,1
61,56,258,1
62,198,76,1
63,467,63,1
64,92,157,1
65,297,308,1
66,144,386,1
67,52,480,1
68,469,162,1
69,394,27,1
70,200,481,1
71,575,450,1
72,218,509,1
73,200,308,1
74,116,513,1
75,108,481,1
76,128,162,1
77,477,342,1
78,187,199,1
79,280,443,1
80,427,121,1
81,83,529,1
82,377,66,1
83,313,506,1
84,218,72,1
85,363,474,1
86,440,237,1
87,81,219,1
88,391,114,1
89,325,200,1
90,546,456,1
91,157,230,1
92,500,289,1
93,74,573,1
94,342,26,1
95,306,382,1
96,538,337,1
97,418,247,1
98,223,195,1
99,449,425,1
100,116,368,1
101,437,267,1
102,310,117,1
103,108,424,1
104,266,369,1
105,532,386,1
106,479,143,1
107,165,167,1
108,498,558,1
109,339,291,1
110,19,197,1
111,35,342,1
112,274,234,1
113,408,437,1
114,245,172,1
115,76,392,1
116,190,159,1
117,217,562,1
118,261,434,1
119,536,188,1
120,174,548,1
121,318,412,1
122,516,181,1
123,318,528,1
124,392,178,1
125,346,490,1
126,372,500,1
127,398,347,1
128,219,309,1
129,186,340,1
130,480,237,1
131,60,328,1
132,366,346,1
133,326,569,1
134,443,455,1
135,448,528,1
136,385,449,1
137,241,518,1
138,406,44,1
139,136,29,1
140,334,464,1
141,206,421,1
142,483,505,1
143,429,295,1
144,548,259,1
145,250,134,1
146,325,180,1
147,310,153,1
148,462,116,1
149,146,136,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
