### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,335,111,54.4867,0,255,0,0,100,1,1
1,202,512,-131.424,0,255,0,0,100,1,1
2,447,457,-55.4604,0,255,0,0,100,1,1
3,435,169,9.29291,0,255,0,0,100,1,1
4,251,202,114.896,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,497,337,1
1,545,54,1
2,239,278,1
3,462,288,1
4,304,244,1
5,223,473,1
6,389,397,1
7,408,518,1
8,318,200,1
9,157,344,1
10,385,421,1
11,490,49,1
12,81,204,1
13,455,152,1
14,468,553,1
15,29,189,1
16,193,269,1
17,293,577,1
18,385,143,1
19,431,381,1
20,39,32,1
21,97,338,1
22,517,243,1
23,193,87,1
24,363,473,1
25,476,303,1
26,523,40,1
27,119,535,1
28,98,190,1
29,514,443,1
30,72,186,1
31,406,31,1
32,337,56,1
33,104,404,1
34,327,421,1
35,452,220,1
36,191,227,1
37,193,139,1
38,216,214,1
39,551,187,1
40,101,55,1
41,515,133,1
42,120,38,1
43,78,130,1
44,297,358,1
45,32,519,1
46,267,472,1
47,349,145,1
48,333,510,1
49,518,60,1
50,90,153,1
51,319,278,1
52,442,504,1
53,165,441,1
54,191,170,1
55,126,76,1
56,559,412,1
57,379,231,1
58,54,349,1
59,67,28,1
60,92,530,1
61,126,431,1
62,433,531,1
63,543,328,1
64,351,496,1
65,214,384,1
66,428,194,1
67,560,103,1
68,372,75,1
69,295,541,1
70,227,126,1
71,547,355,1
72,250,569,1
73,298,502,1
74,76,64,1
75,153,257,1
76,157,63,1
77,48,255,1
78,460,522,1
79,505,81,1
80,31,329,1
81,241,449,1
82,102,370,1
83,455,404,1
84,298,279,1
85,535,420,1
86,46,408,1
87,347,317,1
88,193,45,1
89,247,515,1
90,195,322,1
91,246,496,1
92,355,169,1
93,570,509,1
94,173,319,1
95,367,274,1
96,44,230,1
97,68,467,1
98,399,230,1
99,506,179,1
100,420,463,1
101,166,189,1
102,394,88,1
103,91,274,1
104,386,328,1
105,496,419,1
106,466,38,1
107,382,574,1
108,21,292,1
109,520,548,1
110,154,163,1
111,474,271,1
112,62,100,1
113,541,230,1
114,166,563,1
115,150,501,1
116,165,215,1
117,294,87,1
118,333,344,1
119,495,441,1
120,46,448,1
121,410,57,1
122,439,41,1
123,355,420,1
124,486,157,1
125,26,61,1
126,294,122,1
127,87,554,1
128,130,135,1
129,243,57,1
130,147,470,1
131,350,262,1
132,558,163,1
133,199,351,1
134,478,246,1
135,419,121,1
136,198,115,1
137,223,191,1
138,274,517,1
139,523,468,1
140,65,303,1
141,95,23,1
142,134,486,1
143,307,423,1
144,170,289,1
145,18,406,1
146,194,442,1
147,72,279,1
148,117,272,1
149,223,321,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
