### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,119,404,20.0501,0,255,0,0,100,1,1
1,572,417,-18.3395,0,255,0,0,100,1,1
2,349,313,-37.2218,0,255,0,0,100,1,1
3,466,223,21.7468,0,255,0,0,100,1,1
4,268,306,-179.507,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,174,542,1
1,448,560,1
2,54,307,1
3,258,100,1
4,52,500,1
5,571,199,1
6,436,253,1
7,136,230,1
8,124,510,1
9,215,359,1
10,194,98,1
11,418,336,1
12,222,252,1
13,59,178,1
14,493,91,1
15,420,42,1
16,291,267,1
17,104,189,1
18,444,436,1
19,316,547,1
20,69,524,1
21,538,273,1
22,318,271,1
23,57,457,1
24,553,297,1
25,324,503,1
26,167,360,1
27,260,429,1
28,461,245,1
29,157,507,1
30,119,441,1
31,467,93,1
32,44,264,1
33,422,364,1
34,573,239,1
35,346,256,1
36,136,210,1
37,338,31,1
38,478,114,1
39,89,340,1
40,404,378,1
41,186,45,1
42,241,324,1
43,350,462,1
44,109,316,1
45,19,116,1
46,328,484,1
47,516,284,1
48,285,316,1
49,513,327,1
50,460,385,1
51,73,301,1
52,513,237,1
53,245,550,1
54,420,77,1
55,369,319,1
56,197,295,1
57,69,374,1
58,256,80,1
59,25,459,1
60,90,272,1
61,112,23,1
62,247,297,1
63,567,555,1
64,245,200,1
65,176,63,1
66,312,356,1
67,320,123,1
68,577,339,1
69,254,407,1
70,256,166,1
71,155,140,1
72,283,91,1
73,504,374,1
74,519,139,1
75,394,361,1
76,281,247,1
77,194,155,1
78,185,223,1
79,45,540,1
80,359,167,1
81,456,187,1
82,268,294,1
83,128,355,1
84,457,158,1
85,180,116,1
86,88,21,1
87,259,233,1
88,69,427,1
89,297,461,1
90,456,283,1
91,391,247,1
92,41,112,1
93,469,140,1
94,83,126,1
95,270,64,1
96,336,409,1
97,42,136,1
98,465,30,1
99,263,496,1
100,158,76,1
101,163,205,1
102,440,213,1
103,369,534,1
104,359,567,1
105,394,545,1
106,553,374,1
107,319,224,1
108,448,334,1
109,222,576,1
110,320,62,1
111,413,553,1
112,55,236,1
113,220,120,1
114,339,531,1
115,35,353,1
116,275,152,1
117,155,448,1
118,530,26,1
119,441,392,1
120,118,549,1
121,271,568,1
122,522,55,1
123,155,421,1
124,81,404,1
125,488,207,1
126,459,453,1
127,483,51,1
128,316,43,1
129,165,303,1
130,558,81,1
131,510,21,1
132,475,570,1
133,203,27,1
134,478,504,1
135,224,524,1
136,25,545,1
137,100,149,1
138,37,225,1
139,535,484,1
140,365,295,1
141,216,441,1
142,349,68,1
143,191,451,1
144,68,220,1
145,63,325,1
146,112,478,1
147,556,110,1
148,258,473,1
149,295,204,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
