### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,133,24,-106.111,0,255,0,0,100,1,1
1,147,300,102.149,0,255,0,0,100,1,1
2,186,25,-30.4052,0,255,0,0,100,1,1
3,41,458,112.501,0,255,0,0,100,1,1
4,47,581,109.195,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,31,191,1
1,558,146,1
2,515,359,1
3,396,452,1
4,78,515,1
5,102,376,1
6,94,470,1
7,515,417,1
8,285,357,1
9,157,246,1
10,409,371,1
11,461,455,1
12,444,280,1
13,177,499,1
14,217,194,1
15,32,259,1
16,528,224,1
17,138,94,1
18,39,47,1
19,207,541,1
20,26,297,1
21,353,471,1
22,505,87,1
23,168,56,1
24,477,78,1
25,136,256,1
26,506,175,1
27,464,386,1
28,360,80,1
29,306,280,1
30,86,574,1
31,211,296,1
32,463,138,1
33,50,164,1
34,434,166,1
35,574,536,1
36,86,304,1
37,276,266,1
38,99,510,1
39,376,510,1
40,41,426,1
41,53,537,1
42,541,458,1
43,108,257,1
44,208,143,1
45,558,252,1
46,162,144,1
47,122,112,1
48,482,346,1
49,533,125,1
50,187,169,1
51,418,422,1
52,243,292,1
53,159,225,1
54,405,55,1
55,562,462,1
56,296,108,1
57,484,196,1
58,309,63,1
59,74,234,1
60,535,279,1
61,533,406,1
62,247,430,1
63,105,74,1
64,277,205,1
65,436,218,1
66,104,317,1
67,199,222,1
68,342,98,1
69,136,229,1
70,47,514,1
71,71,320,1
72,450,61,1
73,86,158,1
74,490,412,1
75,433,47,1
76,328,37,1
77,344,445,1
78,573,166,1
79,411,136,1
80,220,248,1
81,108,282,1
82,155,316,1
83,133,468,1
84,520,152,1
85,30,92,1
86,426,327,1
87,267,144,1
88,433,353,1
89,243,409,1
90,40,324,1
91,578,352,1
92,405,83,1
93,62,217,1
94,366,36,1
95,491,456,1
96,491,490,1
97,535,320,1
98,157,351,1
99,186,264,1
100,516,288,1
101,151,505,1
102,317,452,1
103,172,21,1
104,97,221,1
105,347,353,1
106,201,488,1
107,228,49,1
108,245,225,1
109,99,135,1
110,303,207,1
111,267,183,1
112,566,284,1
113,331,248,1
114,544,491,1
115,396,395,1
116,512,207,1
117,382,159,1
118,391,101,1
119,231,276,1
120,158,464,1
121,578,401,1
122,69,381,1
123,265,527,1
124,85,395,1
125,353,391,1
126,447,495,1
127,273,234,1
128,332,151,1
129,270,325,1
130,18,66,1
131,478,233,1
132,400,568,1
133,579,493,1
134,441,383,1
135,410,214,1
136,144,126,1
137,19,32,1
138,433,573,1
139,136,198,1
140,81,364,1
141,535,176,1
142,500,238,1
143,381,345,1
144,479,297,1
145,380,370,1
146,580,300,1
147,285,521,1
148,101,451,1
149,175,379,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
