### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,511,418,-57.3065,0,255,0,0,100,1,1
1,187,415,170.28,0,255,0,0,100,1,1
2,402,29,104.775,0,255,0,0,100,1,1
3,560,510,137.16,0,255,0,0,100,1,1
4,459,532,-3.69816,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,179,200,1
1,411,522,1
2,581,50,1
3,540,568,1
4,168,433,1
5,60,141,1
6,403,573,1
7,200,140,1
8,237,287,1
9,566,406,1
10,224,217,1
11,105,330,1
12,113,136,1
13,20,207,1
14,98,472,1
15,317,217,1
16,548,306,1
17,95,390,1
18,219,128,1
19,264,116,1
20,406,148,1
21,423,410,1
22,107,262,1
23,66,195,1
24,67,45,1
25,282,535,1
26,279,224,1
27,468,263,1
28,383,152,1
29,281,349,1
30,230,152,1
31,249,171,1
32,458,385,1
33,508,59,1
34,523,280,1
35,513,335,1
36,365,55,1
37,261,236,1
38,578,370,1
39,118,381,1
40,550,349,1
41,166,229,1
42,497,180,1
43,367,271,1
44,370,308,1
45,88,221,1
46,119,482,1
47,175,570,1
48,356,519,1
49,437,109,1
50,382,387,1
51,319,511,1
52,96,435,1
53,211,426,1
54,252,556,1
55,100,51,1
56,417,47,1
57,370,502,1
58,536,536,1
59,516,354,1
60,420,562,1
61,547,420,1
62,331,157,1
63,489,258,1
64,65,85,1
65,567,69,1
66,452,23,1
67,211,466,1
68,473,319,1
69,452,523,1
70,313,83,1
71,131,211,1
72,135,463,1
73,447,73,1
74,57,319,1
75,201,405,1
76,558,169,1
77,464,566,1
78,37,197,1
79,250,147,1
80,487,421,1
81,444,459,1
82,214,28,1
83,24,371,1
84,252,272,1
85,320,382,1
86,342,64,1
87,140,230,1
88,256,366,1
89,540,195,1
90,521,232,1
91,429,275,1
92,76,555,1
93,367,117,1
94,281,378,1
95,243,65,1
96,196,329,1
97,542,66,1
98,65,282,1
99,530,130,1
100,134,84,1
101,332,565,1
102,152,48,1
103,119,27,1
104,472,458,1
105,232,535,1
106,435,540,1
107,294,98,1
108,116,556,1
109,124,185,1
110,45,541,1
111,145,379,1
112,43,259,1
113,372,207,1
114,476,147,1
115,274,80,1
116,512,576,1
117,395,28,0
118,330,411,1
119,289,510,1
120,213,254,1
121,323,187,1
122,269,440,1
123,221,80,1
124,151,555,1
125,169,265,1
126,435,344,1
127,478,22,1
128,348,201,1
129,245,505,1
130,69,301,1
131,62,440,1
132,161,302,1
133,513,144,1
134,44,162,1
135,40,511,1
136,362,341,1
137,552,519,1
138,39,310,1
139,39,40,1
140,187,55,1
141,567,469,1
142,242,433,1
143,186,309,1
144,547,87,1
145,119,156,1
146,522,105,1
147,129,110,1
148,148,496,1
149,93,145,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
