### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,53,499,27.0536,0,255,0,0,100,1,1
1,195,441,80.3126,0,255,0,0,100,1,1
2,352,249,65.6221,0,255,0,0,100,1,1
3,330,414,-82.9615,0,255,0,0,100,1,1
4,259,343,-3.37332,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,36,292,1
1,345,407,1
2,196,311,1
3,34,248,1
4,316,152,1
5,487,296,1
6,188,258,1
7,35,506,1
8,160,465,1
9,484,419,1
10,404,163,1
11,446,113,1
12,493,103,1
13,270,294,1
14,207,368,1
15,233,252,1
16,207,565,1
17,91,204,1
18,492,562,1
19,311,191,1
20,30,161,1
21,358,458,1
22,357,296,1
23,289,279,1
24,112,475,1
25,58,516,1
26,245,116,1
27,536,126,1
28,221,93,1
29,302,351,1
30,496,36,1
31,122,225,1
32,283,215,1
33,135,122,1
34,352,237,1
35,84,42,1
36,382,361,1
37,236,61,1
38,49,211,1
39,341,549,1
40,338,187,1
41,230,401,1
42,408,30,1
43,182,354,1
44,41,133,1
45,95,341,1
46,428,186,1
47,282,130,1
48,346,150,1
49,561,246,1
50,381,77,1
51,39,560,1
52,418,308,1
53,231,503,1
54,481,497,1
55,138,424,1
56,524,44,1
57,276,251,1
58,381,404,1
59,426,476,1
60,193,129,1
61,176,563,1
62,354,334,1
63,90,169,1
64,365,169,1
65,160,286,1
66,581,448,1
67,323,409,1
68,384,576,1
69,472,221,1
70,271,103,1
71,579,106,1
72,509,188,1
73,471,117,1
74,31,51,1
75,67,200,1
76,109,176,1
77,503,271,1
78,396,250,1
79,250,203,1
80,123,550,1
81,173,242,1
82,449,453,1
83,80,372,1
84,176,103,1
85,397,289,1
86,247,388,1
87,215,349,1
88,246,150,1
89,171,441,1
90,45,483,1
91,406,530,1
92,57,92,1
93,138,150,1
94,559,561,1
95,411,103,1
96,455,365,1
97,561,421,1
98,351,438,1
99,102,567,1
100,253,491,1
101,39,273,1
102,125,521,1
103,369,489,1
104,350,131,1
105,153,411,1
106,402,182,1
107,120,298,1
108,267,415,1
109,429,278,1
110,106,265,1
111,258,465,1
112,291,467,1
113,108,53,1
114,461,46,1
115,480,142,1
116,566,45,1
117,429,519,1
118,487,202,1
119,229,437,1
120,209,249,1
121,382,457,1
122,452,319,1
123,541,62,1
124,118,134,1
125,69,154,1
126,348,53,1
127,242,175,1
128,389,384,1
129,90,227,1
130,43,424,1
131,540,304,1
132,312,30,1
133,245,271,1
134,235,338,1
135,387,108,1
136,472,167,1
137,579,407,1
138,477,519,1
139,337,489,1
140,190,400,1
141,319,564,1
142,197,451,0
143,285,522,1
144,19,443,1
145,518,406,1
146,138,358,1
147,501,331,1
148,304,169,1
149,544,40,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
