### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,110,536,38.1095,0,255,0,0,100,1,1
1,571,247,27.9682,0,255,0,0,100,1,1
2,374,211,-95.3657,0,255,0,0,100,1,1
3,217,124,-29.7613,0,255,0,0,100,1,1
4,138,111,123.766,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,417,54,1
1,180,338,1
2,29,296,1
3,225,519,1
4,487,286,1
5,471,178,1
6,90,262,1
7,354,319,1
8,405,534,1
9,81,41,1
10,370,400,1
11,347,194,1
12,560,451,1
13,327,175,1
14,124,240,1
15,227,184,1
16,22,111,1
17,527,318,1
18,211,556,1
19,190,102,1
20,534,139,1
21,68,351,1
22,42,74,1
23,124,343,1
24,235,121,1
25,156,469,1
26,302,558,1
27,463,574,1
28,205,507,1
29,222,415,1
30,76,530,1
31,71,414,1
32,411,362,1
33,365,49,1
34,565,47,1
35,239,165,1
36,347,407,1
37,85,169,1
38,482,348,1
39,507,551,1
40,471,21,1
41,317,28,1
42,458,260,1
43,498,400,1
44,527,164,1
45,446,65,1
46,147,273,1
47,395,402,1
48,220,309,1
49,192,156,1
50,453,504,1
51,263,490,1
52,564,263,1
53,401,200,1
54,415,77,1
55,182,422,1
56,281,130,1
57,352,243,1
58,164,193,1
59,156,521,1
60,573,165,1
61,460,118,1
62,533,546,1
63,129,308,1
64,457,375,1
65,354,543,1
66,23,562,1
67,32,274,1
68,288,78,1
69,568,571,1
70,129,139,1
71,293,56,1
72,399,150,1
73,464,417,1
74,428,448,1
75,36,347,1
76,472,81,1
77,274,395,1
78,577,231,1
79,569,487,1
80,172,149,1
81,177,241,1
82,289,290,1
83,343,274,1
84,135,102,1
85,495,96,1
86,138,207,1
87,103,159,1
88,550,167,1
89,20,523,1
90,69,246,1
91,52,476,1
92,348,299,1
93,504,524,1
94,105,249,1
95,569,324,1
96,250,95,1
97,92,80,1
98,112,94,1
99,252,61,1
100,445,99,1
101,291,408,1
102,22,24,1
103,166,168,1
104,110,385,1
105,44,30,1
106,237,497,1
107,334,223,1
108,324,134,1
109,386,447,1
110,434,511,1
111,307,501,1
112,159,564,1
113,92,512,1
114,555,472,1
115,21,488,1
116,70,286,1
117,225,23,1
118,92,444,1
119,421,168,1
120,47,553,1
121,335,555,1
122,146,67,1
123,250,454,1
124,18,186,1
125,391,123,1
126,384,521,1
127,260,277,1
128,219,249,1
129,57,203,1
130,248,199,1
131,44,446,1
132,27,316,1
133,546,394,1
134,282,473,1
135,575,420,1
136,407,559,1
137,393,72,1
138,537,356,1
139,264,550,1
140,475,436,1
141,399,312,1
142,112,116,1
143,197,403,1
144,491,118,1
145,559,149,1
146,185,261,1
147,94,348,1
148,267,314,1
149,352,174,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
