### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,455,277,155.445,0,255,0,0,100,1,1
1,343,384,176.648,0,255,0,0,100,1,1
2,341,102,-92.7514,0,255,0,0,100,1,1
3,374,274,174.644,0,255,0,0,100,1,1
4,343,38,-43.0322,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,307,448,1
1,125,76,1
2,119,193,1
3,290,216,1
4,271,64,1
5,569,263,1
6,114,443,1
7,74,541,1
8,441,359,1
9,566,94,1
10,310,480,1
11,246,414,1
12,559,221,1
13,246,154,1
14,286,424,1
15,331,555,1
16,156,355,1
17,343,515,1
18,312,349,1
19,365,322,1
20,273,336,1
21,394,101,1
22,157,260,1
23,74,510,1
24,150,468,1
25,358,487,1
26,475,314,1
27,157,192,1
28,35,152,1
29,253,123,1
30,99,516,1
31,395,549,1
32,107,410,1
33,105,298,1
34,537,310,1
35,208,76,1
36,145,560,1
37,279,175,1
38,381,419,1
39,389,49,1
40,370,439,1
41,197,147,1
42,41,510,1
43,513,176,1
44,99,142,1
45,472,446,1
46,61,173,1
47,113,269,1
48,74,24,1
49,83,307,1
50,430,82,1
51,403,515,1
52,236,82,1
53,64,416,1
54,356,299,1
55,388,218,1
56,187,548,1
57,101,569,1
58,205,95,1
59,301,134,1
60,229,437,1
61,73,387,1
62,95,174,1
63,141,213,1
64,486,178,1
65,31,417,1
66,494,464,1
67,219,126,1
68,522,57,1
69,493,274,1
70,572,456,1
71,56,568,1
72,393,307,1
73,565,380,1
74,193,525,1
75,556,51,1
76,410,405,1
77,338,416,1
78,353,213,1
79,40,455,1
80,170,227,1
81,332,468,1
82,481,219,1
83,200,492,1
84,443,419,1
85,233,192,1
86,306,502,1
87,270,368,1
88,228,31,1
89,418,338,1
90,578,35,1
91,327,501,1
92,290,85,1
93,66,135,1
94,288,244,1
95,556,577,1
96,484,108,1
97,508,447,1
98,405,66,1
99,135,322,1
100,448,321,1
101,29,184,1
102,310,287,1
103,158,423,1
104,144,47,1
105,430,489,1
106,204,435,1
107,467,148,1
108,495,155,1
109,20,563,1
110,377,140,1
111,435,291,1
112,440,204,1
113,311,104,1
114,364,159,1
115,168,338,1
116,157,311,1
117,535,290,1
118,255,312,1
119,376,389,1
120,151,172,1
121,315,532,1
122,548,141,1
123,459,475,1
124,75,364,1
125,102,382,1
126,346,323,1
127,239,250,1
128,215,308,1
129,440,246,1
130,47,94,1
131,327,46,1
132,67,258,1
133,433,529,1
134,541,212,1
135,157,84,1
136,502,27,1
137,143,240,1
138,211,235,1
139,231,353,1
140,436,114,1
141,568,540,1
142,313,223,1
143,45,400,1
144,525,331,1
145,105,88,1
146,186,51,1
147,46,433,1
148,214,568,1
149,249,221,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
