### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,568,296,19.7409,0,255,0,0,100,1,1
1,291,336,-61.2866,0,255,0,0,100,1,1
2,39,322,173.449,0,255,0,0,100,1,1
3,39,122,-167.781,0,255,0,0,100,1,1
4,532,285,51.547,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,471,276,1
1,474,212,1
2,324,254,1
3,260,219,1
4,330,532,1
5,560,574,1
6,23,506,1
7,470,374,1
8,302,103,1
9,384,243,1
10,253,566,1
11,259,199,1
12,550,282,1
13,60,311,1
14,151,506,1
15,272,254,1
16,446,375,1
17,499,252,1
18,324,303,1
19,134,340,1
20,133,413,1
21,562,259,1
22,304,543,1
23,512,132,1
24,397,510,1
25,35,346,1
26,396,152,1
27,456,183,1
28,420,403,1
29,367,127,1
30,338,198,1
31,352,214,1
32,254,415,1
33,504,459,1
34,188,105,1
35,272,124,1
36,92,469,1
37,334,381,1
38,226,163,1
39,546,27,1
40,391,104,1
41,288,467,1
42,179,488,1
43,70,35,1
44,82,526,1
45,554,396,1
46,35,236,1
47,316,462,1
48,341,136,1
49,576,448,1
50,459,539,1
51,353,303,1
52,479,243,1
53,313,409,1
54,161,466,1
55,555,315,1
56,200,368,1
57,327,69,1
58,330,178,1
59,20,206,1
60,140,151,1
61,304,289,1
62,167,364,1
63,123,272,1
64,110,343,1
65,84,383,1
66,496,169,1
67,160,61,1
68,306,134,1
69,140,306,1
70,38,92,1
71,492,277,1
72,263,535,1
73,88,25,1
74,250,456,1
75,154,97,1
76,84,75,1
77,491,390,1
78,387,332,1
79,289,424,1
80,245,379,1
81,370,405,1
82,194,501,1
83,132,513,1
84,489,330,1
85,157,395,1
86,411,238,1
87,64,538,1
88,571,511,1
89,343,356,1
90,553,93,1
91,99,152,1
92,245,335,1
93,316,355,1
94,579,184,1
95,424,80,1
96,241,67,1
97,235,279,1
98,212,316,1
99,359,155,1
100,514,435,1
101,454,330,1
102,386,390,1
103,166,296,1
104,499,47,1
105,96,547,1
106,498,484,1
107,301,163,1
108,466,155,1
109,277,46,1
110,133,82,1
111,70,560,1
112,497,205,1
113,119,200,1
114,436,296,1
115,71,358,1
116,441,346,1
117,349,80,1
118,237,313,1
119,184,518,1
120,177,138,1
121,470,71,1
122,224,361,1
123,446,91,1
124,188,47,1
125,541,77,1
126,76,415,1
127,299,65,1
128,305,247,1
129,288,370,1
130,492,118,1
131,55,160,1
132,185,576,1
133,527,527,1
134,54,48,1
135,479,295,1
136,459,260,1
137,40,548,1
138,69,220,1
139,207,24,1
140,336,560,1
141,365,320,1
142,75,437,1
143,74,145,1
144,211,106,1
145,292,219,1
146,178,87,1
147,426,191,1
148,189,348,1
149,30,478,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
