### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,256,94,-101.055,0,255,0,0,100,1,1
1,36,530,142.837,0,255,0,0,100,1,1
2,470,192,108.321,0,255,0,0,100,1,1
3,148,160,-52.8666,0,255,0,0,100,1,1
4,118,213,41.3705,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,123,321,1
1,529,151,1
2,64,183,1
3,261,496,1
4,276,280,1
5,250,97,0
6,288,118,1
7,254,407,1
8,520,277,1
9,407,199,1
10,23,30,1
11,486,91,1
12,517,571,1
13,193,140,1
14,224,448,1
15,317,298,1
16,307,148,1
17,560,46,1
18,89,389,1
19,367,207,1
20,326,518,1
21,546,62,1
22,444,254,1
23,550,296,1
24,281,547,1
25,441,91,1
26,350,305,1
27,125,480,1
28,63,335,1
29,372,373,1
30,417,347,1
31,140,397,1
32,572,132,1
33,192,550,1
34,512,434,1
35,507,349,1
36,442,67,1
37,521,227,1
38,388,259,1
39,133,427,1
40,37,427,1
41,175,464,1
42,144,454,1
43,327,262,1
44,335,100,1
45,263,257,1
46,346,402,1
47,303,22,1
48,228,542,1
49,89,35,1
50,467,334,1
51,240,309,1
52,203,225,1
53,276,319,1
54,190,23,1
55,112,255,1
56,256,544,1
57,249,461,1
58,73,244,1
59,46,377,1
60,389,487,1
61,488,453,1
62,479,261,1
63,20,240,1
64,328,61,1
65,401,402,1
66,215,136,1
67,177,176,1
68,419,113,1
69,504,377,1
70,370,559,1
71,459,425,1
72,504,489,1
73,370,435,1
74,532,531,1
75,120,74,1
76,228,79,1
77,286,174,1
78,50,141,1
79,504,514,1
80,279,566,1
81,450,213,1
82,539,492,1
83,302,455,1
84,222,198,1
85,580,438,1
86,88,290,1
87,102,191,1
88,37,398,1
89,143,278,1
90,109,285,1
91,447,34,1
92,400,504,1
93,229,152,1
94,569,377,1
95,548,224,1
96,42,319,1
97,402,325,1
98,443,126,1
99,51,264,1
100,173,130,1
101,482,569,1
102,138,128,1
103,203,567,1
104,68,495,1
105,46,213,1
106,501,273,1
107,19,135,1
108,400,567,1
109,324,460,1
110,387,117,1
111,570,538,1
112,67,448,1
113,528,179,1
114,178,208,1
115,95,314,1
116,307,566,1
117,522,465,1
118,366,399,1
119,482,422,1
120,290,240,1
121,184,100,1
122,250,437,1
123,201,438,1
124,419,448,1
125,502,74,1
126,27,523,1
127,488,472,1
128,311,481,1
129,97,360,1
130,68,306,1
131,313,413,1
132,347,561,1
133,183,262,1
134,195,290,1
135,401,86,1
136,312,232,1
137,161,261,1
138,420,472,1
139,197,360,1
140,233,568,1
141,491,208,1
142,217,241,1
143,228,57,1
144,230,179,1
145,83,82,1
146,482,142,1
147,383,539,1
148,169,348,1
149,68,130,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
