### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,396,559,-145.427,0,255,0,0,100,1,1
1,28,86,-70.9175,0,255,0,0,100,1,1
2,307,526,-170.105,0,255,0,0,100,1,1
3,479,278,-169.326,0,255,0,0,100,1,1
4,379,157,134.656,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,552,376,1
1,390,279,1
2,394,104,1
3,55,155,1
4,523,304,1
5,121,268,1
6,254,225,1
7,433,303,1
8,419,412,1
9,353,511,1
10,378,253,1
11,350,135,1
12,551,397,1
13,34,509,1
14,237,555,1
15,320,227,1
16,318,343,1
17,279,540,1
18,479,291,1
19,149,552,1
20,259,260,1
21,217,272,1
22,400,308,1
23,532,402,1
24,475,64,1
25,68,125,1
26,93,172,1
27,315,459,1
28,411,33,1
29,441,123,1
30,552,522,1
31,39,348,1
32,504,483,1
33,574,355,1
34,432,278,1
35,418,523,1
36,72,521,1
37,567,31,1
38,401,206,1
39,69,21,1
40,277,330,1
41,519,280,1
42,494,345,1
43,101,322,1
44,336,35,1
45,362,289,1
46,280,266,1
47,64,278,1
48,312,309,1
49,319,536,1
50,575,215,1
51,168,251,1
52,141,182,1
53,388,63,1
54,503,293,1
55,101,464,1
56,536,559,1
57,25,267,1
58,405,492,1
59,243,293,1
60,384,320,1
61,323,507,1
62,53,261,1
63,204,371,1
64,444,347,1
65,169,359,1
66,580,139,1
67,100,297,1
68,28,294,1
69,117,503,1
70,72,555,1
71,250,464,1
72,247,67,1
73,152,48,1
74,454,159,1
75,167,330,1
76,453,413,1
77,111,113,1
78,220,110,1
79,26,110,1
80,518,454,1
81,20,402,1
82,44,429,1
83,80,345,1
84,213,336,1
85,157,499,1
86,38,387,1
87,557,178,1
88,323,183,1
89,206,126,1
90,99,489,1
91,280,27,1
92,196,212,1
93,176,572,1
94,108,88,1
95,164,198,1
96,18,326,1
97,348,531,1
98,87,371,1
99,134,154,1
100,392,406,1
101,326,115,1
102,336,454,1
103,59,207,1
104,185,161,1
105,184,87,1
106,103,214,1
107,523,499,1
108,204,180,1
109,416,170,1
110,233,346,1
111,213,497,1
112,488,229,1
113,516,99,1
114,476,470,1
115,430,64,1
116,515,73,1
117,123,522,1
118,556,470,1
119,498,117,1
120,158,108,1
121,369,107,1
122,536,176,1
123,319,64,1
124,427,483,1
125,73,469,1
126,290,375,1
127,32,76,1
128,186,482,1
129,244,100,1
130,558,416,1
131,499,50,1
132,127,36,1
133,447,46,1
134,241,405,1
135,271,288,1
136,148,334,1
137,401,137,1
138,382,138,1
139,383,185,1
140,429,435,1
141,433,510,1
142,447,533,1
143,566,252,1
144,511,537,1
145,352,198,1
146,43,468,1
147,137,574,1
148,458,550,1
149,547,302,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
