### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,339,558,-103.534,0,255,0,0,100,1,1
1,301,50,-30.156,0,255,0,0,100,1,1
2,401,487,103.234,0,255,0,0,100,1,1
3,512,438,66.9288,0,255,0,0,100,1,1
4,561,500,64.6019,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,251,265,1
1,422,145,1
2,243,464,1
3,523,450,1
4,428,109,1
5,189,233,1
6,384,70,1
7,69,366,1
8,205,509,1
9,451,205,1
10,550,505,1
11,542,333,1
12,383,218,1
13,520,171,1
14,297,265,1
15,87,252,1
16,112,475,1
17,483,150,1
18,393,265,1
19,63,75,1
20,352,433,1
21,129,329,1
22,183,38,1
23,247,179,1
24,124,295,1
25,363,224,1
26,512,397,1
27,215,116,1
28,398,114,1
29,342,256,1
30,504,436,1
31,119,231,1
32,393,507,1
33,113,163,1
34,358,22,1
35,469,563,1
36,246,542,1
37,164,434,1
38,547,380,1
39,488,394,1
40,159,216,1
41,147,196,1
42,405,193,1
43,334,286,1
44,24,96,1
45,441,161,1
46,204,264,1
47,23,489,1
48,260,447,1
49,172,255,1
50,204,324,1
51,193,386,1
52,317,22,1
53,242,141,1
54,477,497,1
55,564,346,1
56,80,523,1
57,230,242,1
58,146,398,1
59,566,367,1
60,568,109,1
61,175,198,1
62,56,389,1
63,343,527,1
64,415,446,1
65,181,307,1
66,21,563,1
67,23,166,1
68,333,375,1
69,513,361,1
70,424,259,1
71,435,77,1
72,575,245,1
73,527,288,1
74,366,485,1
75,509,468,1
76,336,236,1
77,553,207,1
78,261,483,1
79,79,194,1
80,123,493,1
81,570,418,1
82,389,246,1
83,240,74,1
84,444,343,1
85,306,145,1
86,263,560,1
87,222,441,1
88,363,374,1
89,84,57,1
90,102,518,1
91,380,528,1
92,231,317,1
93,284,431,1
94,80,122,1
95,575,449,1
96,388,325,1
97,28,401,1
98,37,249,1
99,160,44,1
100,447,572,1
101,478,325,1
102,67,218,1
103,313,219,1
104,289,349,1
105,293,489,1
106,68,338,1
107,53,48,1
108,506,548,1
109,429,178,1
110,26,531,1
111,47,459,1
112,274,24,1
113,347,40,1
114,38,132,1
115,110,275,1
116,98,385,1
117,59,313,1
118,472,127,1
119,382,557,1
120,440,401,1
121,298,397,1
122,250,104,1
123,427,421,1
124,544,153,1
125,334,188,1
126,523,572,1
127,68,573,1
128,40,574,1
129,158,111,1
130,449,109,1
131,524,342,1
132,107,47,1
133,243,208,1
134,54,196,1
135,101,333,1
136,199,70,1
137,560,35,1
138,387,488,1
139,353,281,1
140,315,115,1
141,26,341,1
142,230,24,1
143,183,91,1
144,71,463,1
145,146,373,1
146,499,324,1
147,24,223,1
148,209,145,1
149,359,155,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
