### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,90,176,-141.163,0,255,0,0,100,1,1
1,457,345,-164.372,0,255,0,0,100,1,1
2,310,446,-164.232,0,255,0,0,100,1,1
3,422,501,-149.855,0,255,0,0,100,1,1
4,117,529,-159.661,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,305,401,1
1,322,72,1
2,302,474,1
3,85,327,1
4,477,73,1
5,239,123,1
6,381,215,1
7,475,326,1
8,299,108,1
9,124,313,1
10,206,172,1
11,281,537,1
12,78,232,1
13,132,156,1
14,258,281,1
15,42,381,1
16,80,181,1
17,66,409,1
18,562,459,1
19,533,412,1
20,167,179,1
21,370,76,1
22,64,389,1
23,153,519,1
24,164,234,1
25,480,38,1
26,366,510,1
27,96,412,1
28,234,377,1
29,173,394,1
30,315,551,1
31,344,153,1
32,84,146,1
33,225,182,1
34,63,482,1
35,346,511,1
36,369,444,1
37,69,97,1
38,490,387,1
39,274,338,1
40,57,436,1
41,524,566,1
42,41,64,1
43,543,462,1
44,66,363,1
45,100,93,1
46,560,513,1
47,429,542,1
48,576,163,1
49,326,423,1
50,438,463,1
51,105,563,1
52,440,324,1
53,377,163,1
54,206,326,1
55,557,386,1
56,506,520,1
57,78,505,1
58,266,556,1
59,552,539,1
60,462,542,1
61,72,577,1
62,375,568,1
63,395,330,1
64,498,184,1
65,344,104,1
66,18,119,1
67,47,197,1
68,480,110,1
69,326,442,1
70,293,304,1
71,147,22,1
72,243,218,1
73,76,550,1
74,417,403,1
75,400,297,1
76,151,290,1
77,27,218,1
78,378,541,1
79,37,34,1
80,286,195,1
81,516,175,1
82,176,570,1
83,430,490,1
84,465,489,1
85,126,96,1
86,200,205,1
87,324,508,1
88,549,286,1
89,179,281,1
90,408,544,1
91,84,65,1
92,451,239,1
93,104,139,1
94,498,101,1
95,263,225,1
96,251,37,1
97,222,84,1
98,291,41,1
99,275,575,1
100,543,306,1
101,53,245,1
102,466,465,1
103,175,464,1
104,295,346,1
105,237,399,1
106,474,246,1
107,111,271,1
108,386,263,1
109,172,119,1
110,58,178,1
111,247,527,1
112,284,465,1
113,533,134,1
114,50,107,1
115,425,150,1
116,165,375,1
117,117,78,1
118,445,294,1
119,211,113,1
120,216,470,1
121,118,290,1
122,296,274,1
123,239,287,1
124,194,520,1
125,448,154,1
126,348,577,1
127,248,420,1
128,93,219,1
129,478,530,1
130,536,263,1
131,518,249,1
132,483,283,1
133,271,430,1
134,67,525,1
135,487,131,1
136,344,174,1
137,174,507,1
138,84,387,1
139,366,372,1
140,95,33,1
141,581,356,1
142,392,194,1
143,529,226,1
144,171,319,1
145,526,58,1
146,20,521,1
147,279,510,1
148,499,339,1
149,408,172,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
