### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,234,85,90.0471,0,255,0,0,100,1,1
1,92,34,-94.5763,0,255,0,0,100,1,1
2,355,220,117.436,0,255,0,0,100,1,1
3,494,66,82.487,0,255,0,0,100,1,1
4,380,496,170.781,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,339,337,1
1,60,517,1
2,90,549,1
3,409,454,1
4,162,428,1
5,276,574,1
6,160,248,1
7,532,385,1
8,250,433,1
9,269,213,1
10,390,215,1
11,403,65,1
12,421,171,1
13,245,527,1
14,525,558,1
15,174,374,1
16,571,330,1
17,249,351,1
18,171,286,1
19,498,108,1
20,29,243,1
21,324,90,1
22,127,476,1
23,321,120,1
24,183,514,1
25,57,572,1
26,191,115,1
27,437,530,1
28,44,304,1
29,260,485,1
30,226,366,1
31,95,215,1
32,439,259,1
33,279,93,1
34,422,355,1
35,254,507,1
36,413,254,1
37,378,151,1
38,457,332,1
39,472,538,1
40,40,159,1
41,550,85,1
42,438,136,1
43,277,238,1
44,494,300,1
45,332,37,1
46,554,128,1
47,493,140,1
48,129,39,1
49,477,425,1
50,501,273,1
51,205,541,1
52,375,337,1
53,133,194,1
54,344,399,1
55,496,476,1
56,236,460,1
57,535,111,1
58,245,115,1
59,471,218,1
60,107,85,1
61,242,266,1
62,288,409,1
63,341,429,1
64,465,159,1
65,81,91,1
66,505,495,1
67,123,222,1
68,109,177,1
69,417,330,1
70,455,243,1
71,375,64,1
72,163,36,1
73,357,564,1
74,515,351,1
75,125,285,1
76,89,189,1
77,579,40,1
78,339,456,1
79,120,568,1
80,51,91,1
81,27,448,1
82,378,28,1
83,50,440,1
84,143,97,1
85,401,422,1
86,300,432,1
87,320,462,1
88,153,327,1
89,86,163,1
90,225,106,1
91,489,387,1
92,55,129,1
93,124,383,1
94,378,527,1
95,512,328,1
96,471,471,1
97,117,148,1
98,98,289,1
99,72,179,1
100,371,412,1
101,351,194,1
102,563,455,1
103,542,577,1
104,357,131,1
105,522,429,1
106,129,439,1
107,569,510,1
108,178,475,1
109,263,367,1
110,355,291,1
111,526,34,1
112,98,141,1
113,117,308,1
114,316,325,1
115,351,159,1
116,304,352,1
117,580,433,1
118,564,485,1
119,116,510,1
120,89,480,1
121,514,137,1
122,576,257,1
123,445,97,1
124,108,417,1
125,348,483,1
126,143,500,1
127,207,499,1
128,334,375,1
129,370,244,1
130,439,230,1
131,554,54,1
132,166,65,1
133,334,277,1
134,417,482,1
135,293,548,1
136,573,191,1
137,441,416,1
138,430,309,1
139,59,330,1
140,81,576,1
141,36,473,1
142,202,404,1
143,280,520,1
144,51,547,1
145,230,25,1
146,147,546,1
147,33,425,1
148,459,184,1
149,417,210,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
