### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,215,419,150.982,0,255,0,0,100,1,1
1,74,351,84.1162,0,255,0,0,100,1,1
2,132,29,98.1588,0,255,0,0,100,1,1
3,466,127,117.765,0,255,0,0,100,1,1
4,166,275,22.1277,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,466,527,1
1,230,544,1
2,143,469,1
3,296,360,1
4,156,401,1
5,131,143,1
6,543,487,1
7,244,507,1
8,347,48,1
9,578,220,1
10,94,125,1
11,102,567,1
12,243,454,1
13,166,500,1
14,557,186,1
15,51,407,1
16,38,328,1
17,73,471,1
18,49,214,1
19,421,486,1
20,273,127,1
21,318,502,1
22,106,68,1
23,198,78,1
24,391,130,1
25,522,494,1
26,115,419,1
27,25,206,1
28,278,101,1
29,567,475,1
30,576,568,1
31,135,571,1
32,545,52,1
33,119,465,1
34,155,39,1
35,510,384,1
36,454,202,1
37,192,420,1
38,428,555,1
39,295,82,1
40,162,206,1
41,308,211,1
42,555,362,1
43,407,243,1
44,185,196,1
45,35,297,1
46,242,118,1
47,390,356,1
48,263,152,1
49,532,185,1
50,245,373,1
51,110,363,1
52,316,237,1
53,575,249,1
54,261,289,1
55,382,272,1
56,244,72,1
57,194,330,1
58,24,72,1
59,241,166,1
60,358,311,1
61,538,418,1
62,532,305,1
63,328,166,1
64,436,329,1
65,438,459,1
66,253,480,1
67,165,288,1
68,416,187,1
69,212,39,1
70,445,158,1
71,441,571,1
72,575,139,1
73,322,432,1
74,456,66,1
75,419,465,1
76,516,238,1
77,290,531,1
78,547,567,1
79,255,406,1
80,70,224,1
81,554,295,1
82,288,61,1
83,377,64,1
84,527,161,1
85,165,551,1
86,451,430,1
87,88,199,1
88,495,448,1
89,28,546,1
90,399,424,1
91,302,276,1
92,270,383,1
93,178,228,1
94,509,199,1
95,103,301,1
96,206,156,1
97,144,182,1
98,209,552,1
99,377,463,1
100,546,274,1
101,181,471,1
102,261,360,1
103,203,264,1
104,100,104,1
105,493,272,1
106,279,29,1
107,162,160,1
108,73,412,1
109,273,479,1
110,128,528,1
111,444,82,1
112,227,362,1
113,67,573,1
114,412,363,1
115,260,335,1
116,160,247,1
117,501,38,1
118,178,129,1
119,565,338,1
120,235,392,1
121,353,544,1
122,148,373,1
123,570,53,1
124,145,352,1
125,476,183,1
126,434,365,1
127,460,374,1
128,76,247,1
129,453,27,1
130,508,111,1
131,482,79,1
132,437,275,1
133,296,387,1
134,421,393,1
135,191,28,1
136,204,451,1
137,161,454,1
138,302,121,1
139,39,467,1
140,133,280,1
141,576,390,1
142,281,178,1
143,323,120,1
144,289,142,1
145,271,445,1
146,437,310,1
147,527,541,1
148,232,311,1
149,392,324,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
