### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,569,275,-151.971,0,255,0,0,100,1,1
1,222,151,-105.715,0,255,0,0,100,1,1
2,403,44,-93.3723,0,255,0,0,100,1,1
3,254,422,78.4094,0,255,0,0,100,1,1
4,529,114,-99.5223,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,138,479,1
1,334,154,1
2,230,385,1
3,536,366,1
4,270,331,1
5,401,272,1
6,177,351,1
7,338,493,1
8,287,166,1
9,85,160,1
10,217,163,1
11,326,111,1
12,447,280,1
13,293,329,1
14,47,549,1
15,431,575,1
16,32,51,1
17,178,127,1
18,547,106,1
19,113,89,1
20,390,177,1
21,386,221,1
22,516,247,1
23,286,432,1
24,24,320,1
25,368,235,1
26,228,410,1
27,532,199,1
28,554,325,1
29,342,55,1
30,431,484,1
31,53,169,1
32,356,367,1
33,294,193,1
34,19,507,1
35,287,359,1
36,368,271,1
37,503,536,1
38,401,546,1
39,576,567,1
40,76,332,1
41,463,139,1
42,561,167,1
43,52,474,1
44,564,368,1
45,295,525,1
46,450,34,1
47,174,557,1
48,320,314,1
49,28,29,1
50,273,280,1
51,393,100,1
52,138,238,1
53,108,226,1
54,396,345,1
55,290,461,1
56,450,418,1
57,236,245,1
58,60,374,1
59,478,298,1
60,554,405,1
61,580,435,1
62,106,367,1
63,544,565,1
64,313,284,1
65,497,452,1
66,419,447,1
67,269,370,1
68,216,494,1
69,218,275,1
70,202,314,1
71,54,284,1
72,566,388,1
73,262,140,1
74,266,431,1
75,466,569,1
76,411,415,1
77,501,32,1
78,263,249,1
79,305,91,1
80,576,505,1
81,298,554,1
82,97,251,1
83,37,147,1
84,558,247,1
85,195,555,1
86,410,230,1
87,121,205,1
88,164,310,1
89,202,410,1
90,207,111,1
91,475,396,1
92,511,153,1
93,268,111,1
94,276,498,1
95,241,276,1
96,48,401,1
97,426,116,1
98,307,509,1
99,127,74,1
100,68,397,1
101,129,131,1
102,149,26,1
103,334,523,1
104,469,174,1
105,232,343,1
106,390,35,1
107,355,524,1
108,95,424,1
109,319,195,1
110,212,69,1
111,541,522,1
112,520,330,1
113,152,281,1
114,96,143,1
115,92,49,1
116,491,220,1
117,388,308,1
118,157,444,1
119,164,253,1
120,504,371,1
121,319,373,1
122,65,127,1
123,491,64,1
124,237,308,1
125,308,429,1
126,251,168,1
127,138,409,1
128,101,389,1
129,398,154,1
130,205,131,1
131,339,213,1
132,38,225,1
133,531,278,1
134,304,128,1
135,493,512,1
136,575,127,1
137,123,463,1
138,118,164,1
139,40,439,1
140,357,473,1
141,383,407,1
142,249,191,1
143,131,567,1
144,520,102,1
145,202,468,1
146,102,112,1
147,217,539,1
148,235,560,1
149,26,197,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
