### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,530,405,-142.521,0,255,0,0,100,1,1
1,456,265,67.1382,0,255,0,0,100,1,1
2,183,169,-13.8087,0,255,0,0,100,1,1
3,263,371,-173.607,0,255,0,0,100,1,1
4,583,209,100.907,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,110,350,1
1,177,499,1
2,159,65,1
3,472,358,1
4,227,506,1
5,156,218,1
6,365,237,1
7,444,39,1
8,366,31,1
9,239,474,1
10,192,421,1
11,493,95,1
12,48,107,1
13,355,546,1
14,368,259,1
15,415,337,1
16,517,190,1
17,209,563,1
18,343,254,1
19,533,482,1
20,419,274,1
21,119,74,1
22,480,194,1
23,224,380,1
24,408,387,1
25,331,23,1
26,524,351,1
27,123,267,1
28,573,549,1
29,397,141,1
30,511,544,1
31,182,391,1
32,117,398,1
33,236,428,1
34,266,511,1
35,577,186,1
36,241,532,1
37,486,517,1
38,482,121,1
39,87,296,1
40,395,436,1
41,531,76,1
42,94,462,1
43,166,287,1
44,330,441,1
45,50,341,1
46,468,273,1
47,358,375,1
48,499,498,1
49,94,521,1
50,572,163,1
51,522,57,1
52,222,323,1
53,20,322,1
54,579,390,1
55,109,52,1
56,502,335,1
57,287,491,1
58,458,570,1
59,513,146,1
60,102,216,1
61,438,260,1
62,331,331,1
63,43,389,1
64,195,266,1
65,253,410,1
66,518,436,1
67,102,558,1
68,137,175,1
69,133,320,1
70,465,136,1
71,474,68,1
72,456,230,1
73,216,174,1
74,350,516,1
75,245,350,1
76,355,495,1
77,255,26,1
78,359,175,1
79,360,443,1
80,61,136,1
81,546,368,1
82,431,388,1
83,356,51,1
84,343,151,1
85,60,515,1
86,210,66,1
87,138,365,1
88,566,62,1
89,499,269,1
90,282,404,1
91,348,117,1
92,359,416,1
93,475,475,1
94,414,179,1
95,345,307,1
96,53,21,1
97,335,228,1
98,294,47,1
99,246,63,1
100,394,226,1
101,24,141,1
102,485,234,1
103,411,35,1
104,439,340,1
105,434,425,1
106,417,124,1
107,212,287,1
108,87,171,1
109,413,517,1
110,421,68,1
111,504,225,1
112,275,464,1
113,396,113,1
114,40,175,1
115,543,228,1
116,581,279,1
117,545,435,1
118,512,569,1
119,86,340,1
120,163,170,1
121,549,513,1
122,81,491,1
123,192,209,1
124,109,188,1
125,61,180,1
126,546,570,1
127,527,95,1
128,494,165,1
129,109,249,1
130,279,560,1
131,55,286,1
132,112,313,1
133,333,195,1
134,107,129,1
135,465,513,1
136,572,140,1
137,102,490,1
138,456,420,1
139,357,327,1
140,238,239,1
141,444,551,1
142,201,448,1
143,533,285,1
144,219,251,1
145,317,560,1
146,381,297,1
147,143,282,1
148,432,532,1
149,400,267,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
