### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,518,367,150.572,0,255,0,0,100,1,1
1,9,308,-128.049,0,255,0,0,100,1,1
2,527,321,-73.4323,0,255,0,0,100,1,1
3,458,503,-167.597,0,255,0,0,100,1,1
4,505,542,27.0029,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,470,215,1
1,370,525,1
2,475,149,1
3,281,407,1
4,500,100,1
5,433,164,1
6,154,544,1
7,267,266,1
8,184,186,1
9,401,572,1
10,70,54,1
11,176,146,1
12,534,573,1
13,120,275,1
14,129,352,1
15,433,69,1
16,362,23,1
17,531,526,1
18,84,532,1
19,475,63,1
20,513,362,0
21,219,533,1
22,276,522,1
23,350,166,1
24,75,400,1
25,28,111,1
26,165,119,1
27,412,430,1
28,409,286,1
29,561,116,1
30,466,290,1
31,411,99,1
32,117,440,1
33,210,466,1
34,323,284,1
35,304,206,1
36,511,25,1
37,173,331,1
38,237,141,1
39,359,236,1
40,331,491,1
41,268,390,1
42,375,556,1
43,184,304,1
44,529,214,1
45,510,383,1
46,195,522,1
47,232,190,1
48,99,226,1
49,321,569,1
50,162,364,1
51,527,493,1
52,438,372,1
53,39,419,1
54,379,459,1
55,513,284,1
56,223,327,1
57,83,453,1
58,450,108,1
59,54,33,1
60,375,252,1
61,157,454,1
62,164,28,1
63,320,366,1
64,491,164,1
65,109,307,1
66,151,45,1
67,132,462,1
68,513,446,1
69,40,242,1
70,428,139,1
71,226,116,1
72,460,533,1
73,156,222,1
74,121,228,1
75,113,89,1
76,50,476,1
77,404,154,1
78,73,337,1
79,413,329,1
80,521,550,1
81,68,307,1
82,195,227,1
83,292,78,1
84,566,485,1
85,175,519,1
86,252,456,1
87,336,129,1
88,560,463,1
89,229,439,1
90,287,139,1
91,235,483,1
92,358,122,1
93,559,152,1
94,176,73,1
95,552,342,1
96,206,176,1
97,243,224,1
98,439,35,1
99,131,54,1
100,502,327,1
101,438,215,1
102,135,252,1
103,215,79,1
104,117,199,1
105,27,170,1
106,566,258,1
107,174,264,1
108,367,395,1
109,23,396,1
110,132,168,1
111,253,329,1
112,359,442,1
113,316,123,1
114,435,236,1
115,526,171,1
116,158,413,1
117,475,177,1
118,206,49,1
119,252,78,1
120,124,411,1
121,444,516,1
122,51,551,1
123,464,438,1
124,293,51,1
125,217,213,1
126,31,291,1
127,63,226,1
128,273,363,1
129,68,247,1
130,51,140,1
131,371,502,1
132,132,377,1
133,580,284,1
134,143,315,1
135,226,368,1
136,282,116,1
137,461,495,1
138,541,74,1
139,438,393,1
140,447,195,1
141,282,174,1
142,581,385,1
143,495,126,1
144,341,542,1
145,490,35,1
146,544,421,1
147,63,461,1
148,93,292,1
149,41,218,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
