### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,340,86,48.3282,0,255,0,0,100,1,1
1,271,48,162.852,0,255,0,0,100,1,1
2,343,456,-55.5778,0,255,0,0,100,1,1
3,36,379,56.3908,0,255,0,0,100,1,1
4,536,378,89.7433,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,92,282,1
1,561,534,1
2,481,50,1
3,472,153,1
4,422,386,1
5,165,368,1
6,455,417,1
7,545,355,1
8,162,458,1
9,205,169,1
10,227,358,1
11,235,443,1
12,476,405,1
13,261,303,1
14,256,274,1
15,312,184,1
16,23,373,1
17,379,254,1
18,308,331,1
19,130,212,1
20,219,551,1
21,446,345,1
22,258,68,1
23,377,209,1
24,478,568,1
25,70,522,1
26,554,84,1
27,98,558,1
28,301,126,1
29,282,248,1
30,555,185,1
31,176,115,1
32,339,275,1
33,380,403,1
34,536,219,1
35,490,427,1
36,528,30,1
37,501,472,1
38,19,282,1
39,227,104,1
40,185,384,1
41,24,552,1
42,325,387,1
43,518,122,1
44,233,258,1
45,513,554,1
46,231,73,1
47,474,326,1
48,369,294,1
49,410,419,1
50,182,36,1
51,44,244,1
52,246,426,1
53,443,322,1
54,573,216,1
55,437,238,1
56,318,83,1
57,513,74,1
58,245,33,1
59,455,256,1
60,561,54,1
61,42,208,1
62,510,534,1
63,247,185,1
64,472,306,1
65,114,115,1
66,35,186,1
67,564,240,1
68,113,190,1
69,526,345,1
70,559,562,1
71,107,256,1
72,184,335,1
73,273,164,1
74,50,364,1
75,519,152,1
76,126,133,1
77,230,238,1
78,19,66,1
79,201,204,1
80,326,140,1
81,141,525,1
82,276,385,1
83,429,170,1
84,356,565,1
85,385,337,1
86,256,362,1
87,53,279,1
88,553,261,1
89,82,206,1
90,232,382,1
91,191,354,1
92,75,117,1
93,281,556,1
94,524,236,1
95,165,205,1
96,372,432,1
97,534,482,1
98,445,119,1
99,555,309,1
100,389,82,1
101,365,352,1
102,554,290,1
103,372,530,1
104,333,327,1
105,319,525,1
106,168,88,1
107,39,156,1
108,22,35,1
109,299,450,1
110,67,225,1
111,115,477,1
112,252,453,1
113,125,411,1
114,185,315,1
115,83,251,1
116,98,303,1
117,373,453,1
118,574,343,1
119,473,173,1
120,345,131,1
121,277,484,1
122,308,51,1
123,108,336,1
124,350,396,1
125,133,301,1
126,129,367,1
127,43,329,1
128,566,402,1
129,399,110,1
130,289,430,1
131,130,179,1
132,500,202,1
133,63,392,1
134,435,553,1
135,170,415,1
136,142,68,1
137,566,512,1
138,105,64,1
139,339,191,1
140,337,349,1
141,32,424,1
142,475,467,1
143,410,462,1
144,87,534,1
145,235,539,1
146,88,478,1
147,502,135,1
148,75,568,1
149,258,120,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
