### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,78,104,-88.1869,0,255,0,0,100,1,1
1,36,482,-6.30626,0,255,0,0,100,1,1
2,550,449,116.117,0,255,0,0,100,1,1
3,583,163,-93.1548,0,255,0,0,100,1,1
4,384,334,-166.382,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,23,187,1
1,88,346,1
2,557,188,1
3,556,292,1
4,441,25,1
5,274,222,1
6,256,260,1
7,520,231,1
8,144,437,1
9,72,94,1
10,31,448,1
11,114,545,1
12,493,28,1
13,308,438,1
14,511,409,1
15,237,288,1
16,220,99,1
17,188,55,1
18,460,452,1
19,311,182,1
20,272,44,1
21,20,558,1
22,462,337,1
23,354,389,1
24,507,211,1
25,474,162,1
26,493,458,1
27,549,144,1
28,271,122,1
29,365,315,1
30,142,218,1
31,74,389,1
32,442,367,1
33,291,51,1
34,44,107,1
35,225,364,1
36,219,323,1
37,311,73,1
38,373,511,1
39,198,274,1
40,396,176,1
41,352,157,1
42,199,305,1
43,447,539,1
44,539,528,1
45,143,30,1
46,389,82,1
47,569,123,1
48,423,337,1
49,512,62,1
50,519,510,1
51,538,107,1
52,570,206,1
53,405,256,1
54,411,386,1
55,75,460,1
56,378,396,1
57,492,117,1
58,313,462,1
59,410,145,1
60,264,416,1
61,490,506,1
62,170,490,1
63,320,153,1
64,256,206,1
65,463,494,1
66,352,282,1
67,294,231,1
68,330,75,1
69,229,167,1
70,263,163,1
71,197,194,1
72,179,517,1
73,375,337,1
74,342,133,1
75,346,562,1
76,396,561,1
77,355,99,1
78,224,422,1
79,508,305,1
80,561,74,1
81,300,569,1
82,225,521,1
83,240,36,1
84,389,215,1
85,182,249,1
86,37,429,1
87,115,319,1
88,135,370,1
89,208,381,1
90,272,501,1
91,26,282,1
92,563,357,1
93,97,46,1
94,520,173,1
95,224,238,1
96,138,167,1
97,337,43,1
98,195,459,1
99,576,293,1
100,507,346,1
101,261,296,1
102,572,251,1
103,445,143,1
104,128,109,1
105,455,314,1
106,428,470,1
107,107,391,1
108,551,215,1
109,151,52,1
110,310,330,1
111,41,505,1
112,425,543,1
113,225,138,1
114,460,79,1
115,480,383,1
116,361,70,1
117,442,109,1
118,512,431,1
119,253,241,1
120,355,34,1
121,445,511,1
122,431,428,1
123,171,32,1
124,64,424,1
125,350,452,1
126,375,122,1
127,160,425,1
128,545,388,1
129,474,207,1
130,314,361,1
131,308,540,1
132,116,139,1
133,114,565,1
134,187,375,1
135,488,570,1
136,67,291,1
137,176,101,1
138,56,55,1
139,580,374,1
140,113,295,1
141,388,294,1
142,365,436,1
143,518,42,1
144,152,326,1
145,318,97,1
146,316,21,1
147,515,142,1
148,142,289,1
149,453,165,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
