### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,576,174,-20.8641,0,255,0,0,100,1,1
1,461,243,0.223734,0,255,0,0,100,1,1
2,140,259,-50.3166,0,255,0,0,100,1,1
3,177,308,-26.1803,0,255,0,0,100,1,1
4,421,47,-90.6426,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,195,471,1
1,408,407,1
2,160,389,1
3,315,285,1
4,145,459,1
5,307,185,1
6,115,344,1
7,280,374,1
8,574,518,1
9,257,235,1
10,412,382,1
11,231,101,1
12,312,500,1
13,28,28,1
14,262,537,1
15,352,472,1
16,457,114,1
17,467,432,1
18,23,281,1
19,92,232,1
20,170,484,1
21,209,205,1
22,99,320,1
23,62,402,1
24,248,345,1
25,78,28,1
26,428,446,1
27,173,355,1
28,481,63,1
29,67,104,1
30,188,201,1
31,420,41,0
32,484,287,1
33,220,84,1
34,386,27,1
35,358,329,1
36,470,333,1
37,97,92,1
38,58,267,1
39,397,258,1
40,18,458,1
41,546,450,1
42,56,62,1
43,40,250,1
44,112,304,1
45,380,76,1
46,524,88,1
47,347,495,1
48,527,574,1
49,25,210,1
50,122,49,1
51,112,515,1
52,195,418,1
53,93,372,1
54,509,501,1
55,313,354,1
56,377,508,1
57,336,424,1
58,235,317,1
59,304,568,1
60,271,565,1
61,387,478,1
62,438,529,1
63,321,248,1
64,271,393,1
65,45,148,1
66,514,284,1
67,490,166,1
68,533,482,1
69,258,325,1
70,448,444,1
71,170,222,1
72,77,57,1
73,351,524,1
74,122,238,1
75,39,314,1
76,368,298,1
77,250,85,1
78,72,234,1
79,102,436,1
80,37,405,1
81,375,398,1
82,252,270,1
83,165,525,1
84,49,42,1
85,292,237,1
86,148,350,1
87,445,471,1
88,55,298,1
89,452,346,1
90,60,495,1
91,309,162,1
92,498,107,1
93,375,174,1
94,549,100,1
95,451,279,1
96,522,208,1
97,476,96,1
98,550,155,1
99,445,312,1
100,206,257,1
101,340,367,1
102,286,286,1
103,247,387,1
104,581,538,1
105,313,439,1
106,337,81,1
107,408,62,1
108,511,256,1
109,571,164,1
110,295,475,1
111,70,156,1
112,444,245,1
113,163,114,1
114,151,507,1
115,140,95,1
116,550,565,1
117,159,571,1
118,517,460,1
119,139,125,1
120,465,558,1
121,279,345,1
122,258,413,1
123,190,450,1
124,160,57,1
125,549,205,1
126,276,118,1
127,441,29,1
128,447,137,1
129,122,86,1
130,196,116,1
131,375,106,1
132,342,121,1
133,514,144,1
134,141,75,1
135,122,432,1
136,237,193,1
137,39,566,1
138,176,162,1
139,43,356,1
140,328,332,1
141,81,338,1
142,183,567,1
143,553,387,1
144,23,118,1
145,388,330,1
146,327,479,1
147,399,297,1
148,336,542,1
149,183,26,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
