### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,21,425,-59.9169,0,255,0,0,100,1,1
1,309,545,12.3611,0,255,0,0,100,1,1
2,509,299,123.58,0,255,0,0,100,1,1
3,392,92,-21.6684,0,255,0,0,100,1,1
4,256,245,-104.66,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,374,137,1
1,169,153,1
2,249,74,1
3,205,535,1
4,330,347,1
5,407,230,1
6,470,187,1
7,181,220,1
8,102,482,1
9,424,348,1
10,223,251,1
11,426,164,1
12,449,476,1
13,107,252,1
14,348,399,1
15,282,187,1
16,575,542,1
17,323,423,1
18,143,451,1
19,119,46,1
20,265,482,1
21,254,239,1
22,380,303,1
23,375,412,1
24,480,546,1
25,307,340,1
26,54,170,1
27,455,238,1
28,53,566,1
29,555,483,1
30,416,376,1
31,560,22,1
32,68,442,1
33,581,339,1
34,418,33,1
35,156,403,1
36,229,131,1
37,115,523,1
38,375,495,1
39,516,86,1
40,536,273,1
41,420,266,1
42,555,120,1
43,210,183,1
44,202,330,1
45,307,194,1
46,177,509,1
47,208,207,1
48,79,55,1
49,153,291,1
50,486,49,1
51,577,421,1
52,305,44,1
53,289,483,1
54,390,350,1
55,326,471,1
56,145,81,1
57,119,378,1
58,291,526,1
59,570,235,1
60,252,379,1
61,267,287,1
62,99,505,1
63,338,157,1
64,226,418,1
65,337,553,1
66,100,229,1
67,509,272,1
68,62,381,1
69,52,338,1
70,176,123,1
71,411,496,1
72,326,513,1
73,519,133,1
74,21,24,1
75,484,289,1
76,179,199,1
77,359,256,1
78,288,339,1
79,281,314,1
80,447,52,1
81,457,208,1
82,215,54,1
83,481,249,1
84,51,34,1
85,339,303,1
86,410,75,1
87,267,131,1
88,112,318,1
89,38,464,1
90,230,75,1
91,88,254,1
92,532,567,1
93,498,151,1
94,27,260,1
95,473,23,1
96,328,385,1
97,581,108,1
98,454,501,1
99,207,494,1
100,246,332,1
101,279,38,1
102,509,442,1
103,63,274,1
104,54,400,1
105,427,115,1
106,501,394,1
107,209,134,1
108,512,208,1
109,118,160,1
110,91,441,1
111,411,538,1
112,562,525,1
113,400,475,1
114,269,413,1
115,326,90,1
116,294,248,1
117,481,349,1
118,389,378,1
119,208,365,1
120,424,435,1
121,132,312,1
122,348,119,1
123,551,388,1
124,250,170,1
125,69,201,1
126,423,215,1
127,88,158,1
128,66,97,1
129,151,366,1
130,384,57,1
131,441,138,1
132,247,469,1
133,352,507,1
134,260,525,1
135,190,172,1
136,558,154,1
137,156,565,1
138,526,463,1
139,210,111,1
140,497,330,1
141,537,441,1
142,227,496,1
143,231,158,1
144,517,374,1
145,169,433,1
146,137,479,1
147,475,412,1
148,111,548,1
149,49,515,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
