### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,240,215,-177.503,0,255,0,0,100,1,1
1,549,520,14.1501,0,255,0,0,100,1,1
2,76,268,-176.242,0,255,0,0,100,1,1
3,153,445,14.1071,0,255,0,0,100,1,1
4,461,407,-72.4326,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,299,532,1
1,465,421,1
2,388,244,1
3,78,167,1
4,563,77,1
5,567,191,1
6,38,192,1
7,348,161,1
8,278,182,1
9,177,388,1
10,127,26,1
11,330,295,1
12,60,570,1
13,112,131,1
14,552,474,1
15,349,257,1
16,73,48,1
17,572,45,1
18,523,250,1
19,166,160,1
20,304,491,1
21,431,76,1
22,451,546,1
23,529,35,1
24,576,284,1
25,219,231,1
26,513,397,1
27,490,200,1
28,295,25,1
29,52,465,1
30,335,448,1
31,205,261,1
32,141,166,1
33,219,506,1
34,96,552,1
35,404,137,1
36,23,292,1
37,339,315,1
38,104,442,1
39,392,277,1
40,509,152,1
41,230,304,1
42,189,27,1
43,528,188,1
44,446,33,1
45,366,476,1
46,464,364,1
47,224,534,1
48,67,125,1
49,265,472,1
50,92,260,1
51,493,95,1
52,59,542,1
53,84,502,1
54,325,33,1
55,542,342,1
56,91,388,1
57,380,119,1
58,164,566,1
59,175,364,1
60,468,40,1
61,83,112,1
62,67,450,1
63,435,271,1
64,361,499,1
65,546,255,1
66,259,359,1
67,199,60,1
68,192,553,1
69,406,208,1
70,240,463,1
71,120,317,1
72,95,572,1
73,472,182,1
74,330,555,1
75,256,169,1
76,154,47,1
77,565,400,1
78,167,114,1
79,489,159,1
80,581,554,1
81,412,38,1
82,248,131,1
83,297,513,1
84,31,265,1
85,289,445,1
86,452,573,1
87,18,43,1
88,153,418,1
89,184,88,1
90,434,109,1
91,49,418,1
92,191,169,1
93,450,387,1
94,552,536,1
95,282,555,1
96,400,334,1
97,116,101,1
98,197,412,1
99,253,66,1
100,576,144,1
101,537,316,1
102,101,410,1
103,135,332,1
104,291,89,1
105,485,368,1
106,211,81,1
107,438,209,1
108,364,524,1
109,183,343,1
110,116,532,1
111,270,81,1
112,496,521,1
113,415,251,1
114,509,536,1
115,442,57,1
116,433,175,1
117,508,352,1
118,381,73,1
119,445,511,1
120,538,372,1
121,561,307,1
122,344,394,1
123,174,219,1
124,307,344,1
125,265,517,1
126,459,155,1
127,222,102,1
128,424,491,1
129,398,549,1
130,225,485,1
131,461,271,1
132,472,78,1
133,388,520,1
134,265,290,1
135,174,512,1
136,376,95,1
137,272,537,1
138,419,231,1
139,133,52,1
140,401,98,1
141,231,176,1
142,134,377,1
143,122,279,1
144,179,323,1
145,117,258,1
146,252,112,1
147,140,222,1
148,152,514,1
149,252,495,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
