### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,66,126,-135.644,0,255,0,0,100,1,1
1,273,293,-93.4673,0,255,0,0,100,1,1
2,13,259,46.6462,0,255,0,0,100,1,1
3,518,71,156.769,0,255,0,0,100,1,1
4,101,493,-127.993,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,421,37,1
1,366,61,1
2,561,442,1
3,442,404,1
4,459,368,1
5,134,33,1
6,286,251,1
7,506,439,1
8,526,55,1
9,306,183,1
10,231,28,1
11,272,419,1
12,319,276,1
13,300,410,1
14,454,116,1
15,483,236,1
16,243,375,1
17,220,278,1
18,423,501,1
19,543,118,1
20,128,92,1
21,165,30,1
22,244,211,1
23,62,473,1
24,121,252,1
25,530,139,1
26,19,296,1
27,550,344,1
28,191,54,1
29,420,448,1
30,276,511,1
31,261,546,1
32,548,287,1
33,101,303,1
34,20,156,1
35,445,194,1
36,563,71,1
37,547,462,1
38,72,374,1
39,386,211,1
40,432,239,1
41,258,124,1
42,543,518,1
43,72,412,1
44,27,125,1
45,512,159,1
46,146,544,1
47,258,278,1
48,104,324,1
49,447,478,1
50,531,351,1
51,340,481,1
52,225,346,1
53,479,127,1
54,45,322,1
55,367,385,1
56,386,447,1
57,479,403,1
58,565,385,1
59,441,327,1
60,234,66,1
61,215,251,1
62,149,54,1
63,218,315,1
64,552,197,1
65,303,78,1
66,385,93,1
67,180,539,1
68,477,426,1
69,202,494,1
70,548,218,1
71,195,114,1
72,72,97,1
73,118,347,1
74,218,212,1
75,196,30,1
76,558,257,1
77,169,276,1
78,345,562,1
79,302,133,1
80,149,121,1
81,98,404,1
82,580,169,1
83,26,24,1
84,289,52,1
85,53,22,1
86,383,569,1
87,331,411,1
88,504,58,1
89,236,95,1
90,73,139,1
91,85,351,1
92,446,280,1
93,184,480,1
94,103,451,1
95,86,57,1
96,137,173,1
97,46,525,1
98,427,353,1
99,172,504,1
100,83,483,1
101,241,238,1
102,374,190,1
103,204,469,1
104,489,183,1
105,29,563,1
106,579,430,1
107,214,447,1
108,275,308,1
109,406,275,1
110,40,166,1
111,219,105,1
112,410,93,1
113,287,545,1
114,113,195,1
115,512,122,1
116,491,472,1
117,509,26,1
118,419,212,1
119,226,554,1
120,494,550,1
121,436,159,1
122,417,159,1
123,581,39,1
124,411,412,1
125,354,437,1
126,158,426,1
127,384,396,1
128,221,171,1
129,130,488,1
130,510,285,1
131,502,509,1
132,491,355,1
133,507,91,1
134,193,383,1
135,139,314,1
136,130,438,1
137,259,455,1
138,392,510,1
139,175,223,1
140,325,224,1
141,77,159,1
142,529,218,1
143,77,248,1
144,129,414,1
145,527,565,1
146,336,150,1
147,64,294,1
148,328,51,1
149,452,522,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
