### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,570,439,170.792,0,255,0,0,100,1,1
1,421,322,98.2058,0,255,0,0,100,1,1
2,174,221,55.4609,0,255,0,0,100,1,1
3,262,75,-149.044,0,255,0,0,100,1,1
4,451,340,135.257,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,290,174,1
1,75,329,1
2,27,258,1
3,445,326,1
4,569,63,1
5,331,383,1
6,282,217,1
7,185,532,1
8,206,204,1
9,494,340,1
10,46,284,1
11,166,234,1
12,356,211,1
13,413,131,1
14,506,323,1
15,78,389,1
16,202,155,1
17,409,272,1
18,304,248,1
19,576,499,1
20,448,423,1
21,486,226,1
22,297,70,1
23,162,510,1
24,455,84,1
25,174,58,1
26,33,151,1
27,415,210,1
28,32,53,1
29,67,239,1
30,121,550,1
31,304,429,1
32,164,448,1
33,327,245,1
34,565,532,1
35,277,238,1
36,179,405,1
37,21,451,1
38,564,268,1
39,527,514,1
40,406,511,1
41,234,78,1
42,338,480,1
43,261,303,1
44,140,312,1
45,383,159,1
46,327,569,1
47,449,233,1
48,94,150,1
49,77,107,1
50,341,527,1
51,79,441,1
52,401,112,1
53,249,368,1
54,515,372,1
55,310,524,1
56,318,463,1
57,519,234,1
58,405,573,1
59,284,198,1
60,277,423,1
61,52,209,1
62,577,230,1
63,354,170,1
64,41,562,1
65,541,40,1
66,446,204,1
67,372,272,1
68,391,327,1
69,279,364,1
70,214,347,1
71,103,59,1
72,257,23,1
73,423,97,1
74,305,91,1
75,328,200,1
76,376,442,1
77,430,532,1
78,363,375,1
79,485,358,1
80,165,146,1
81,175,28,1
82,198,313,1
83,386,376,1
84,514,92,1
85,578,375,1
86,231,522,1
87,382,508,1
88,254,58,1
89,297,469,1
90,195,236,1
91,64,190,1
92,498,190,1
93,140,339,1
94,248,228,1
95,468,99,1
96,41,72,1
97,350,503,1
98,434,141,1
99,390,307,1
100,141,401,1
101,561,213,1
102,342,96,1
103,428,254,1
104,279,259,1
105,118,235,1
106,444,27,1
107,323,363,1
108,565,457,1
109,249,457,1
110,156,216,1
111,416,314,1
112,278,339,1
113,44,330,1
114,131,123,1
115,271,496,1
116,118,453,1
117,547,331,1
118,573,305,1
119,217,368,1
120,223,412,1
121,277,157,1
122,436,440,1
123,480,504,1
124,260,525,1
125,114,403,1
126,326,264,1
127,432,292,1
128,480,469,1
129,304,573,1
130,134,51,1
131,495,399,1
132,258,344,1
133,318,174,1
134,560,424,1
135,197,440,1
136,325,506,1
137,383,482,1
138,542,166,1
139,230,562,1
140,133,266,1
141,362,398,1
142,69,68,1
143,501,571,1
144,333,321,1
145,34,231,1
146,226,238,1
147,54,104,1
148,253,265,1
149,101,322,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
