### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,296,298,0,0,255,0,0,100,1,1
1,298,298,90,0,255,0,0,100,1,1
2,-2,-2,-160.345,0,255,0,0,100,1,1
3,-2,-2,-44.2333,0,255,0,0,100,1,1
4,-2,-2,60.0021,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,449,55,1
1,318,516,1
2,375,355,1
3,409,515,1
4,269,251,1
5,264,162,1
6,517,366,1
7,202,318,1
8,101,451,1
9,499,190,1
10,223,510,1
11,112,132,1
12,82,81,1
13,143,52,1
14,547,472,1
15,443,257,1
16,451,311,1
17,198,510,1
18,170,303,1
19,180,115,1
20,252,371,1
21,245,507,1
22,175,481,1
23,297,576,1
24,572,520,1
25,319,335,1
26,77,211,1
27,56,85,1
28,345,102,1
29,571,112,1
30,288,262,1
31,566,296,1
32,441,205,1
33,305,501,1
34,418,200,1
35,543,174,1
36,581,494,1
37,112,91,1
38,299,153,1
39,276,373,1
40,22,183,1
41,18,202,1
42,460,241,1
43,190,67,1
44,461,91,1
45,527,136,1
46,422,459,1
47,90,575,1
48,80,417,1
49,378,459,1
50,265,438,1
51,554,574,1
52,181,178,1
53,242,155,1
54,570,70,1
55,276,302,1
56,37,30,1
57,580,549,1
58,514,104,1
59,360,536,1
60,35,58,1
61,269,460,1
62,288,345,1
63,326,574,1
64,161,43,1
65,305,204,1
66,68,143,1
67,333,316,1
68,364,108,1
69,62,112,1
70,208,410,1
71,559,444,1
72,146,125,1
73,109,210,1
74,580,379,1
75,497,308,1
76,215,101,1
77,465,35,1
78,222,352,1
79,206,376,1
80,513,394,1
81,486,511,1
82,251,308,1
83,442,342,1
84,79,190,1
85,222,295,1
86,515,81,1
87,59,560,1
88,64,381,1
89,355,259,1
90,524,35,1
91,239,412,1
92,472,534,1
93,230,434,1
94,456,114,1
95,420,104,1
96,387,293,1
97,259,125,1
98,112,154,1
99,132,278,1
100,84,281,1
101,338,445,1
102,89,49,1
103,124,467,1
104,25,143,1
105,227,40,1
106,451,153,1
107,152,453,1
108,397,254,1
109,231,116,1
110,305,548,1
111,410,164,1
112,446,172,1
113,547,403,1
114,471,331,1
115,120,179,1
116,383,483,1
117,211,149,1
118,63,61,1
119,284,522,1
120,374,407,1
121,343,40,1
122,546,495,1
123,146,555,1
124,419,402,1
125,273,562,1
126,100,496,1
127,481,385,1
128,361,219,1
129,102,403,1
130,190,354,1
131,79,534,1
132,268,323,1
133,172,231,1
134,463,507,1
135,220,566,1
136,51,200,1
137,538,195,1
138,512,294,1
139,473,437,1
140,257,21,1
141,63,302,1
142,129,320,1
143,468,65,1
144,318,430,1
145,403,548,1
146,356,569,1
147,506,53,1
148,206,126,1
149,285,541,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
