### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,296,298,0,0,255,0,0,100,1,1
1,298,298,90,0,255,0,0,100,1,1
2,210,60,121.705,0,255,0,0,100,1,1
3,261,459,87.077,0,255,0,0,100,1,1
4,545,517,-122.376,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,350,288,1
1,574,26,1
2,207,531,1
3,418,460,1
4,508,440,1
5,563,414,1
6,558,237,1
7,328,330,1
8,265,45,1
9,192,147,1
10,566,59,1
11,296,445,1
12,181,313,1
13,396,467,1
14,259,446,1
15,539,89,1
16,80,399,1
17,342,573,1
18,264,117,1
19,342,64,1
20,408,202,1
21,293,423,1
22,88,550,1
23,57,48,1
24,141,518,1
25,91,438,1
26,211,70,1
27,364,92,1
28,131,205,1
29,395,315,1
30,406,234,1
31,414,275,1
32,38,485,1
33,167,129,1
34,394,252,1
35,150,432,1
36,473,503,1
37,37,159,1
38,228,458,1
39,128,233,1
40,308,194,1
41,355,183,1
42,473,61,1
43,417,162,1
44,273,289,1
45,36,530,1
46,453,524,1
47,185,244,1
48,139,337,1
49,298,547,1
50,102,340,1
51,534,267,1
52,157,355,1
53,407,343,1
54,119,153,1
55,22,91,1
56,370,363,1
57,441,186,1
58,212,133,1
59,201,263,1
60,500,530,1
61,569,295,1
62,453,414,1
63,147,75,1
64,365,552,1
65,34,325,1
66,478,365,1
67,36,59,1
68,37,352,1
69,453,358,1
70,490,258,1
71,527,518,1
72,196,558,1
73,301,95,1
74,516,148,1
75,508,26,1
76,496,299,1
77,26,255,1
78,85,69,1
79,210,288,1
80,543,116,1
81,319,171,1
82,476,172,1
83,182,575,1
84,473,454,1
85,389,156,1
86,240,558,1
87,304,281,1
88,122,419,1
89,182,534,1
90,500,505,1
91,493,330,1
92,49,406,1
93,423,90,1
94,470,330,1
95,171,192,1
96,136,368,1
97,497,209,1
98,152,254,1
99,386,437,1
100,235,293,1
101,468,479,1
102,552,323,1
103,121,111,1
104,420,495,1
105,153,553,1
106,539,233,1
107,545,60,1
108,343,136,1
109,254,471,1
110,553,264,1
111,380,288,1
112,369,488,1
113,534,494,1
114,241,69,1
115,549,166,1
116,318,499,1
117,101,301,1
118,126,543,1
119,557,135,1
120,316,69,1
121,278,546,1
122,146,30,1
123,184,74,1
124,535,360,1
125,235,156,1
126,186,356,1
127,478,285,1
128,112,519,1
129,362,230,1
130,60,83,1
131,580,507,1
132,251,219,1
133,154,145,1
134,548,208,1
135,521,412,1
136,361,345,1
137,228,387,1
138,22,204,1
139,542,25,1
140,149,231,1
141,535,395,1
142,398,371,1
143,341,499,1
144,422,219,1
145,579,139,1
146,264,148,1
147,219,427,1
148,446,82,1
149,349,209,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
