### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,296,298,0,0,255,0,0,100,1,1
1,298,298,-90,0,255,0,0,100,1,1
2,125,297,31.5155,0,255,0,0,100,1,1
3,486,398,48.1191,0,255,0,0,100,1,1
4,99,556,75.2958,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,497,418,1
1,300,259,1
2,167,457,1
3,373,246,1
4,187,395,1
5,43,464,1
6,400,50,1
7,263,290,1
8,112,399,1
9,184,24,1
10,470,543,1
11,349,70,1
12,510,395,1
13,374,197,1
14,508,442,1
15,560,517,1
16,237,343,1
17,48,276,1
18,241,212,1
19,183,306,1
20,334,242,1
21,20,508,1
22,194,259,1
23,177,543,1
24,277,148,1
25,453,264,1
26,424,240,1
27,185,179,1
28,154,248,1
29,480,285,1
30,239,396,1
31,101,25,1
32,402,277,1
33,98,52,1
34,229,231,1
35,272,520,1
36,64,184,1
37,208,136,1
38,505,553,1
39,415,384,1
40,268,27,1
41,509,47,1
42,499,346,1
43,293,166,1
44,92,163,1
45,459,190,1
46,363,511,1
47,581,311,1
48,31,102,1
49,123,361,1
50,581,258,1
51,476,55,1
52,131,494,1
53,257,573,1
54,106,235,1
55,128,61,1
56,404,192,1
57,523,114,1
58,489,197,1
59,401,212,1
60,154,319,1
61,204,472,1
62,170,145,1
63,460,95,1
64,174,354,1
65,433,43,1
66,296,68,1
67,355,540,1
68,343,404,1
69,527,31,1
70,311,295,1
71,275,545,1
72,210,552,1
73,525,307,1
74,259,329,1
75,550,299,1
76,429,413,1
77,579,358,1
78,542,541,1
79,504,277,1
80,510,493,1
81,483,481,1
82,207,346,1
83,257,154,1
84,126,181,1
85,48,77,1
86,233,162,1
87,344,484,1
88,577,220,1
89,387,500,1
90,564,343,1
91,111,296,1
92,505,124,1
93,286,487,1
94,354,160,1
95,215,299,1
96,238,254,1
97,199,431,1
98,482,376,1
99,24,50,1
100,76,239,1
101,152,168,1
102,72,475,1
103,114,530,1
104,51,573,1
105,372,276,1
106,178,280,1
107,371,101,1
108,316,381,1
109,175,421,1
110,155,340,1
111,75,572,1
112,58,419,1
113,242,309,1
114,92,433,1
115,34,306,1
116,373,74,1
117,443,385,1
118,422,563,1
119,330,118,1
120,155,103,1
121,273,396,1
122,79,543,1
123,332,289,1
124,457,454,1
125,110,466,1
126,363,305,1
127,515,88,1
128,469,230,1
129,253,97,1
130,557,213,1
131,324,354,1
132,528,201,1
133,235,416,1
134,158,204,1
135,504,249,1
136,194,323,1
137,308,425,1
138,512,230,1
139,415,31,1
140,527,483,1
141,188,69,1
142,168,48,1
143,427,525,1
144,552,320,1
145,280,186,1
146,181,499,1
147,404,86,1
148,447,159,1
149,81,278,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
