### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,16,18,0,0,255,0,0,100,1,1
1,418,416,90,0,255,0,0,100,1,1
2,555,419,-120.071,0,255,0,0,100,1,1
3,520,437,103.491,0,255,0,0,100,1,1
4,476,343,-173.003,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,568,321,1
1,545,106,1
2,564,42,1
3,134,249,1
4,153,364,1
5,519,338,1
6,400,462,1
7,284,228,1
8,312,65,1
9,484,472,1
10,74,297,1
11,478,22,1
12,463,165,1
13,474,215,1
14,523,110,1
15,212,286,1
16,533,138,1
17,445,556,1
18,137,223,1
19,156,287,1
20,348,311,1
21,41,483,1
22,307,520,1
23,268,139,1
24,539,27,1
25,559,539,1
26,406,390,1
27,91,202,1
28,392,518,1
29,121,59,1
30,301,431,1
31,206,82,1
32,295,569,1
33,55,372,1
34,124,446,1
35,271,348,1
36,35,322,1
37,306,128,1
38,172,208,1
39,92,554,1
40,32,231,1
41,169,21,1
42,484,383,1
43,341,338,1
44,428,76,1
45,268,518,1
46,555,65,1
47,450,277,1
48,285,33,1
49,195,341,1
50,40,510,1
51,496,60,1
52,542,341,1
53,69,34,1
54,255,292,1
55,363,503,1
56,447,488,1
57,123,353,1
58,352,360,1
59,218,195,1
60,405,76,1
61,239,528,1
62,204,47,1
63,39,98,1
64,129,102,1
65,286,59,1
66,395,286,1
67,221,58,1
68,563,140,1
69,228,271,1
70,402,357,1
71,110,127,1
72,563,297,1
73,579,239,1
74,65,453,1
75,204,418,1
76,485,442,1
77,244,71,1
78,566,353,1
79,82,376,1
80,570,89,1
81,233,381,1
82,86,318,1
83,361,171,1
84,453,465,1
85,217,141,1
86,417,476,1
87,95,359,1
88,278,484,1
89,19,461,1
90,62,198,1
91,539,386,1
92,401,229,1
93,502,283,1
94,465,244,1
95,320,344,1
96,555,192,1
97,104,443,1
98,86,272,1
99,439,159,1
100,166,260,1
101,96,225,1
102,44,164,1
103,138,390,1
104,450,84,1
105,76,425,1
106,290,303,1
107,112,509,1
108,244,477,1
109,472,573,1
110,263,252,1
111,415,323,1
112,196,187,1
113,383,179,1
114,99,413,1
115,268,106,1
116,536,505,1
117,210,524,1
118,513,47,1
119,113,318,1
120,220,237,1
121,387,115,1
122,465,324,1
123,319,469,1
124,581,391,1
125,57,428,1
126,484,92,1
127,179,376,1
128,20,286,1
129,416,29,1
130,208,314,1
131,558,219,1
132,173,442,1
133,323,180,1
134,297,359,1
135,143,538,1
136,357,416,1
137,466,537,1
138,419,258,1
139,566,501,1
140,169,189,1
141,110,159,1
142,419,298,1
143,471,63,1
144,505,191,1
145,435,374,1
146,176,301,1
147,464,518,1
148,434,135,1
149,438,349,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
