### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,16,18,0,0,255,0,0,100,1,1
1,418,416,90,0,255,0,0,100,1,1
2,574,334,92.4165,0,255,0,0,100,1,1
3,393,337,6.64729,0,255,0,0,100,1,1
4,148,288,163.483,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,527,429,1
1,24,113,1
2,232,461,1
3,473,292,1
4,301,442,1
5,279,258,1
6,463,240,1
7,428,211,1
8,172,159,1
9,78,84,1
10,537,188,1
11,390,222,1
12,441,429,1
13,446,336,1
14,227,299,1
15,56,462,1
16,105,136,1
17,413,303,1
18,354,495,1
19,550,215,1
20,224,376,1
21,440,571,1
22,262,287,1
23,109,294,1
24,559,485,1
25,542,469,1
26,490,258,1
27,421,458,1
28,317,407,1
29,172,201,1
30,192,485,1
31,459,110,1
32,480,155,1
33,147,556,1
34,102,52,1
35,207,183,1
36,62,369,1
37,474,196,1
38,151,347,1
39,575,442,1
40,522,255,1
41,363,192,1
42,420,239,1
43,84,175,1
44,291,36,1
45,254,172,1
46,319,464,1
47,547,282,1
48,279,355,1
49,463,522,1
50,321,322,1
51,379,548,1
52,379,490,1
53,426,520,1
54,312,147,1
55,438,125,1
56,342,155,1
57,60,402,1
58,83,106,1
59,574,57,1
60,452,390,1
61,51,68,1
62,446,202,1
63,149,268,1
64,142,514,1
65,459,491,1
66,407,392,1
67,129,203,1
68,259,555,1
69,271,109,1
70,309,104,1
71,205,275,1
72,519,479,1
73,131,317,1
74,173,44,1
75,263,369,1
76,473,557,1
77,219,329,1
78,147,65,1
79,352,476,1
80,117,87,1
81,476,438,1
82,387,44,1
83,316,235,1
84,308,169,1
85,496,190,1
86,114,227,1
87,292,220,1
88,28,177,1
89,179,137,1
90,192,414,1
91,465,178,1
92,579,123,1
93,289,479,1
94,262,518,1
95,294,311,1
96,321,503,1
97,194,51,1
98,220,208,1
99,374,249,1
100,154,89,1
101,561,426,1
102,90,277,1
103,199,557,1
104,378,415,1
105,116,471,1
106,321,23,1
107,66,571,1
108,518,380,1
109,240,149,1
110,229,67,1
111,50,169,1
112,376,328,1
113,421,72,1
114,57,426,1
115,456,135,1
116,110,371,1
117,398,115,1
118,377,454,1
119,24,436,1
120,363,216,1
121,548,96,1
122,320,354,1
123,192,449,1
124,84,426,1
125,190,243,1
126,498,429,1
127,95,350,1
128,76,390,1
129,120,444,1
130,100,407,1
131,367,378,1
132,526,406,1
133,498,527,1
134,163,367,1
135,552,450,1
136,53,513,1
137,351,421,1
138,531,143,1
139,399,162,1
140,61,200,1
141,344,24,1
142,577,494,1
143,356,550,1
144,557,304,1
145,402,457,1
146,261,60,1
147,308,387,1
148,117,419,1
149,335,448,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
