### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,20,17,-40.7367,0,255,0,0,100,1,1
1,418,420,101.705,0,255,0,0,100,1,1
2,213,402,111.655,0,255,0,0,100,1,1
3,127,199,38.6702,0,255,0,0,100,1,1
4,515,198,71.485,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,370,113,1
1,324,140,1
2,579,61,1
3,249,21,1
4,464,113,1
5,545,369,1
6,94,529,1
7,130,75,1
8,500,395,1
9,83,564,1
10,579,35,1
11,334,92,1
12,410,524,1
13,127,396,1
14,381,333,1
15,95,456,1
16,522,313,1
17,31,210,1
18,558,313,1
19,124,112,1
20,380,480,1
21,219,253,1
22,436,240,1
23,368,438,1
24,560,552,1
25,52,576,1
26,138,170,1
27,208,289,1
28,97,493,1
29,455,182,1
30,381,86,1
31,472,88,1
32,194,169,1
33,495,442,1
34,435,100,1
35,548,402,1
36,436,500,1
37,36,355,1
38,422,564,1
39,312,468,1
40,42,306,1
41,126,371,1
42,346,501,1
43,430,287,1
44,399,577,1
45,162,164,1
46,221,197,1
47,193,271,1
48,126,525,1
49,537,499,1
50,166,104,1
51,313,390,1
52,232,427,1
53,228,74,1
54,487,513,1
55,175,372,1
56,429,409,1
57,571,124,1
58,511,495,1
59,526,434,1
60,75,132,1
61,157,31,1
62,247,117,1
63,276,58,1
64,495,57,1
65,157,323,1
66,552,98,1
67,504,196,1
68,429,200,1
69,239,482,1
70,438,318,1
71,461,136,1
72,452,260,1
73,460,351,1
74,311,170,1
75,526,293,1
76,29,512,1
77,285,206,1
78,256,193,1
79,440,158,1
80,218,461,1
81,530,60,1
82,127,555,1
83,24,108,1
84,299,359,1
85,403,402,1
86,275,406,1
87,38,475,1
88,378,535,1
89,38,383,1
90,447,473,1
91,163,520,1
92,18,557,1
93,208,149,1
94,577,406,1
95,391,110,1
96,371,304,1
97,473,475,1
98,538,116,1
99,128,271,1
100,276,541,1
101,540,532,1
102,149,205,1
103,178,503,1
104,205,548,1
105,317,70,1
106,251,440,1
107,265,76,1
108,368,356,1
109,580,333,1
110,578,279,1
111,318,438,1
112,477,259,1
113,131,496,1
114,348,557,1
115,567,208,1
116,156,559,1
117,60,403,1
118,302,525,1
119,177,292,1
120,188,330,1
121,524,40,1
122,320,343,1
123,254,459,1
124,554,58,1
125,66,445,1
126,370,137,1
127,36,434,1
128,173,478,1
129,327,219,1
130,335,365,1
131,416,170,1
132,459,430,1
133,491,335,1
134,508,476,1
135,402,317,1
136,497,113,1
137,275,488,1
138,458,382,1
139,146,540,1
140,212,526,1
141,170,450,1
142,125,28,1
143,126,216,1
144,556,342,1
145,498,563,1
146,341,400,1
147,453,410,1
148,377,230,1
149,349,450,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
