### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,20,19,34.3895,0,255,0,0,100,1,1
1,418,418,36.539,0,255,0,0,100,1,1
2,368,109,-162.745,0,255,0,0,100,1,1
3,445,201,-22.272,0,255,0,0,100,1,1
4,292,307,47.1842,0,255,0,0,100,1,1
5,502,523,-82.5593,0,255,0,0,100,1,1
6,80,89,62.0924,0,255,0,0,100,1,1
7,560,81,70.7803,0,255,0,0,100,1,1
8,176,551,-99.6217,0,255,0,0,100,1,1
9,218,418,117.204,0,255,0,0,100,1,1
10,104,384,-96.5344,0,255,0,0,100,1,1
11,30,213,140.781,0,255,0,0,100,1,1
12,164,314,163.799,0,255,0,0,100,1,1
13,374,332,-80.6109,0,255,0,0,100,1,1
14,52,391,26.5967,0,255,0,0,100,1,1
15,390,172,-0.0698847,0,255,0,0,100,1,1
16,403,534,22.071,0,255,0,0,100,1,1
17,290,34,-88.0364,0,255,0,0,100,1,1
18,47,42,120.991,0,255,0,0,100,1,1
19,522,385,39.3089,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,528,48,1
1,426,79,1
2,402,246,1
3,86,385,1
4,559,331,1
5,481,537,1
6,576,392,1
7,200,108,1
8,555,355,1
9,411,175,1
10,345,199,1
11,535,303,1
12,70,253,1
13,410,559,1
14,50,266,1
15,277,50,1
16,192,575,1
17,558,511,1
18,432,292,1
19,118,224,1
20,304,426,1
21,452,415,1
22,269,356,1
23,292,200,1
24,297,274,1
25,157,171,1
26,191,386,1
27,279,538,1
28,242,271,1
29,261,292,1
30,204,287,1
31,125,361,1
32,181,458,1
33,416,528,1
34,331,297,1
35,209,533,1
36,493,429,1
37,185,270,1
38,470,25,1
39,165,403,1
40,512,475,1
41,580,164,1
42,409,46,1
43,406,196,1
44,322,164,1
45,202,472,1
46,29,320,1
47,486,135,1
48,239,422,1
49,215,34,1
50,306,321,1
51,150,517,1
52,241,95,1
53,353,141,1
54,355,160,1
55,174,219,1
56,44,371,1
57,545,218,1
58,405,317,1
59,566,143,1
60,221,562,1
61,90,53,1
62,114,73,1
63,434,519,1
64,174,511,1
65,514,266,1
66,312,181,1
67,236,491,1
68,459,515,1
69,373,133,1
70,277,397,1
71,354,384,1
72,436,212,1
73,24,505,1
74,528,504,1
75,291,479,1
76,41,123,1
77,439,312,1
78,20,145,1
79,260,538,1
80,520,193,1
81,213,366,1
82,435,469,1
83,427,22,1
84,315,88,1
85,562,201,1
86,170,545,1
87,48,533,1
88,339,101,1
89,286,128,1
90,520,25,1
91,95,475,1
92,543,380,1
93,504,172,1
94,496,192,1
95,381,552,1
96,485,165,1
97,184,243,1
98,106,161,1
99,324,557,1
100,57,414,1
101,470,398,1
102,66,300,1
103,72,430,1
104,554,531,1
105,411,461,1
106,554,559,1
107,120,402,1
108,338,50,1
109,94,136,1
110,288,87,1
111,364,31,1
112,145,361,1
113,75,525,1
114,415,383,1
115,504,80,1
116,42,74,1
117,540,340,1
118,248,188,1
119,238,152,1
120,581,288,1
121,502,336,1
122,269,94,1
123,72,66,1
124,560,164,1
125,264,162,1
126,364,348,1
127,142,225,1
128,165,485,1
129,469,433,1
130,223,237,1
131,444,370,1
132,128,571,1
133,536,167,1
134,482,338,1
135,198,53,1
136,479,507,1
137,333,137,1
138,492,458,1
139,30,437,1
140,341,273,1
141,383,327,0
142,332,329,1
143,425,414,0
144,413,274,1
145,568,29,1
146,464,285,1
147,320,479,1
148,188,92,1
149,404,93,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
