### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,20,19,27.6671,0,255,0,0,100,1,1
1,417,420,115.078,0,255,0,0,100,1,1
2,582,397,35.6659,0,255,0,0,100,1,1
3,509,46,42.0994,0,255,0,0,100,1,1
4,201,107,151.632,0,255,0,0,100,1,1
5,456,488,96.4701,0,255,0,0,100,1,1
6,164,535,137.703,0,255,0,0,100,1,1
7,91,124,16.1015,0,255,0,0,100,1,1
8,64,349,141.617,0,255,0,0,100,1,1
9,398,321,-115.28,0,255,0,0,100,1,1
10,554,322,-173.196,0,255,0,0,100,1,1
11,144,364,-3.234,0,255,0,0,100,1,1
12,437,279,93.4823,0,255,0,0,100,1,1
13,372,519,-135.47,0,255,0,0,100,1,1
14,199,318,164.777,0,255,0,0,100,1,1
15,394,579,-99.3531,0,255,0,0,100,1,1
16,165,275,-153.901,0,255,0,0,100,1,1
17,27,182,-176.067,0,255,0,0,100,1,1
18,95,76,124.132,0,255,0,0,100,1,1
19,127,299,-122.158,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,567,451,1
1,193,65,1
2,141,570,1
3,471,228,1
4,276,245,1
5,229,58,1
6,214,209,1
7,332,299,1
8,523,171,1
9,308,542,1
10,136,482,1
11,259,356,1
12,353,105,1
13,347,210,1
14,173,127,1
15,136,76,1
16,86,567,1
17,509,354,1
18,366,571,1
19,121,449,1
20,376,108,1
21,440,551,1
22,577,571,1
23,142,119,1
24,562,103,1
25,546,268,1
26,46,324,1
27,460,191,1
28,201,268,1
29,372,186,1
30,313,428,1
31,246,449,1
32,69,466,1
33,263,221,1
34,50,107,1
35,250,78,1
36,522,382,1
37,28,240,1
38,462,457,1
39,390,550,1
40,389,318,1
41,282,310,1
42,43,381,1
43,394,237,1
44,392,410,1
45,302,256,1
46,232,260,1
47,499,172,1
48,185,504,1
49,356,238,1
50,395,511,1
51,268,48,1
52,331,128,1
53,353,354,1
54,555,228,1
55,434,91,1
56,216,503,1
57,453,38,1
58,171,432,1
59,137,144,1
60,420,198,1
61,140,416,1
62,469,140,1
63,292,42,1
64,301,144,1
65,352,171,1
66,509,408,1
67,147,217,1
68,155,302,1
69,505,64,1
70,46,21,1
71,213,118,1
72,415,170,1
73,280,152,1
74,160,355,1
75,508,242,1
76,516,200,1
77,570,505,1
78,151,452,1
79,258,432,1
80,531,544,1
81,501,444,1
82,73,393,1
83,379,37,1
84,18,187,1
85,211,45,1
86,89,206,1
87,86,85,1
88,118,166,1
89,283,519,1
90,455,418,1
91,21,351,1
92,310,354,1
93,529,487,1
94,340,419,1
95,503,87,1
96,480,306,1
97,441,461,1
98,202,339,1
99,503,463,1
100,190,393,1
101,243,130,1
102,235,355,1
103,219,401,1
104,38,215,1
105,230,39,1
106,101,397,1
107,338,21,1
108,421,378,1
109,175,43,1
110,115,547,1
111,155,178,1
112,37,402,1
113,164,320,1
114,569,395,1
115,418,431,0
116,398,377,1
117,577,123,1
118,281,398,1
119,513,130,1
120,192,192,1
121,379,79,1
122,327,237,1
123,246,291,1
124,153,42,1
125,115,90,1
126,385,438,1
127,221,338,1
128,318,70,1
129,261,560,1
130,203,171,1
131,46,564,1
132,57,290,1
133,568,191,1
134,203,366,1
135,31,97,1
136,215,439,1
137,323,103,1
138,348,492,1
139,195,105,0
140,338,516,1
141,545,118,1
142,450,576,1
143,360,152,1
144,347,542,1
145,296,71,1
146,129,277,1
147,399,100,1
148,543,54,1
149,374,295,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
