### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,16,19,152.861,0,255,0,0,100,1,1
1,416,418,-170.801,0,255,0,0,100,1,1
2,233,107,83.9076,0,255,0,0,100,1,1
3,530,556,-64.1881,0,255,0,0,100,1,1
4,206,210,-88.2649,0,255,0,0,100,1,1
5,470,536,-6.35047,0,255,0,0,100,1,1
6,21,231,-142.047,0,255,0,0,100,1,1
7,43,125,-142.439,0,255,0,0,100,1,1
8,477,221,19.5366,0,255,0,0,100,1,1
9,506,107,142.523,0,255,0,0,100,1,1
10,161,579,40.3492,0,255,0,0,100,1,1
11,269,558,42.9731,0,255,0,0,100,1,1
12,243,445,-36.3984,0,255,0,0,100,1,1
13,324,578,-22.8858,0,255,0,0,100,1,1
14,402,167,-30.9625,0,255,0,0,100,1,1
15,425,246,168.589,0,255,0,0,100,1,1
16,232,33,8.21301,0,255,0,0,100,1,1
17,190,481,-38.8233,0,255,0,0,100,1,1
18,315,447,-142.967,0,255,0,0,100,1,1
19,445,26,65.2989,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,142,258,1
1,336,210,1
2,83,100,1
3,338,49,1
4,50,224,1
5,431,380,1
6,162,536,1
7,293,484,1
8,350,79,1
9,56,78,1
10,60,272,1
11,24,189,1
12,410,455,1
13,543,282,1
14,496,66,1
15,286,302,1
16,87,554,1
17,447,38,1
18,333,178,1
19,469,407,1
20,76,389,1
21,510,504,1
22,297,375,1
23,132,121,1
24,18,371,1
25,216,362,1
26,149,366,1
27,427,198,1
28,22,422,1
29,555,70,1
30,449,146,1
31,536,95,1
32,210,198,1
33,101,421,1
34,309,534,1
35,210,446,1
36,422,505,1
37,518,363,1
38,571,557,1
39,538,248,1
40,300,572,1
41,83,505,1
42,560,337,1
43,211,224,1
44,168,339,1
45,206,408,1
46,562,483,1
47,380,249,1
48,188,337,1
49,502,96,1
50,407,221,1
51,173,574,1
52,311,195,1
53,265,570,1
54,450,202,1
55,59,130,1
56,443,266,1
57,450,349,1
58,345,562,1
59,36,575,1
60,208,159,1
61,310,236,1
62,364,176,1
63,533,491,1
64,391,492,1
65,565,149,1
66,546,122,1
67,179,125,1
68,527,159,1
69,312,94,1
70,545,425,1
71,433,454,1
72,498,135,1
73,315,260,1
74,236,483,1
75,245,246,1
76,528,407,1
77,313,41,1
78,380,401,1
79,548,572,1
80,133,487,1
81,89,69,1
82,188,171,1
83,315,474,1
84,166,475,1
85,82,153,1
86,29,350,1
87,213,124,1
88,427,172,1
89,193,370,1
90,312,129,1
91,436,530,1
92,355,290,1
93,570,184,1
94,55,374,1
95,494,384,1
96,30,446,1
97,264,210,1
98,23,217,1
99,318,319,1
100,282,324,1
101,394,516,1
102,265,113,1
103,247,274,1
104,563,358,1
105,103,300,1
106,349,393,1
107,248,393,1
108,67,337,1
109,197,68,1
110,364,265,1
111,203,494,1
112,436,81,1
113,488,347,1
114,490,193,1
115,299,401,1
116,193,33,1
117,116,66,1
118,44,171,1
119,266,165,1
120,353,525,1
121,219,23,1
122,420,133,1
123,257,143,1
124,345,493,1
125,230,225,1
126,340,352,1
127,569,34,1
128,253,543,1
129,115,95,1
130,130,515,1
131,144,322,1
132,148,67,1
133,163,433,1
134,561,236,1
135,229,82,1
136,259,307,1
137,125,308,1
138,268,369,1
139,246,504,1
140,69,249,1
141,511,233,1
142,231,202,1
143,190,462,1
144,77,230,1
145,234,165,1
146,491,454,1
147,509,261,1
148,324,518,1
149,172,149,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
