### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,20,19,36.3555,0,255,0,0,100,1,1
1,418,418,-92.3639,0,255,0,0,100,1,1
2,383,491,-49.0691,0,255,0,0,100,1,1
3,33,136,-90.8146,0,255,0,0,100,1,1
4,123,559,2.69158,0,255,0,0,100,1,1
5,566,285,77.9911,0,255,0,0,100,1,1
6,235,206,10.1279,0,255,0,0,100,1,1
7,328,531,44.8149,0,255,0,0,100,1,1
8,524,367,-166.7,0,255,0,0,100,1,1
9,17,350,173.239,0,255,0,0,100,1,1
10,114,491,143.19,0,255,0,0,100,1,1
11,517,163,-56.5309,0,255,0,0,100,1,1
12,404,563,142.848,0,255,0,0,100,1,1
13,73,290,-167.312,0,255,0,0,100,1,1
14,159,138,-22.6507,0,255,0,0,100,1,1
15,201,195,-24.1131,0,255,0,0,100,1,1
16,539,266,-128.278,0,255,0,0,100,1,1
17,437,280,-88.3105,0,255,0,0,100,1,1
18,248,523,-67.6195,0,255,0,0,100,1,1
19,248,129,162.42,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,45,257,1
1,450,241,1
2,208,32,1
3,199,247,1
4,556,116,1
5,578,121,1
6,99,454,1
7,511,304,1
8,502,493,1
9,554,507,1
10,212,310,1
11,77,42,1
12,224,55,1
13,221,157,1
14,123,533,1
15,491,320,1
16,275,497,1
17,18,378,1
18,564,194,1
19,135,221,1
20,25,64,1
21,432,118,1
22,531,351,1
23,235,234,1
24,581,150,1
25,285,355,1
26,489,392,1
27,60,112,1
28,96,263,1
29,473,67,1
30,444,572,1
31,101,147,1
32,56,150,1
33,181,365,1
34,207,554,1
35,128,23,1
36,503,77,1
37,216,363,1
38,136,162,1
39,337,255,1
40,539,376,1
41,579,502,1
42,193,462,1
43,313,399,1
44,356,434,1
45,283,574,1
46,272,182,1
47,212,450,1
48,336,186,1
49,95,185,1
50,395,484,1
51,544,221,1
52,80,413,1
53,139,58,1
54,159,367,1
55,155,290,1
56,376,152,1
57,237,455,1
58,175,172,1
59,562,58,1
60,505,258,1
61,99,109,1
62,319,469,1
63,269,473,1
64,181,269,1
65,78,479,1
66,87,346,1
67,386,534,1
68,76,84,1
69,341,377,1
70,140,417,1
71,87,65,1
72,24,292,1
73,77,303,1
74,405,241,1
75,353,316,1
76,157,46,1
77,30,402,1
78,122,72,1
79,263,94,1
80,473,281,1
81,140,504,1
82,575,326,1
83,307,22,1
84,354,498,1
85,535,243,1
86,53,517,1
87,115,181,1
88,468,525,1
89,424,492,1
90,470,420,1
91,313,163,1
92,417,415,0
93,338,43,1
94,34,111,1
95,378,301,1
96,576,466,1
97,178,217,1
98,473,343,1
99,209,73,1
100,426,249,1
101,381,25,1
102,302,575,1
103,345,469,1
104,388,571,1
105,248,344,1
106,355,352,1
107,577,421,1
108,460,390,1
109,394,403,1
110,166,496,1
111,135,484,1
112,19,260,1
113,506,184,1
114,211,415,1
115,434,394,1
116,525,148,1
117,143,339,1
118,472,222,1
119,128,262,1
120,311,267,1
121,406,107,1
122,512,363,1
123,395,70,1
124,243,270,1
125,491,225,1
126,330,512,1
127,369,212,1
128,509,117,1
129,484,467,1
130,80,529,1
131,355,571,1
132,457,470,1
133,270,295,1
134,243,22,1
135,121,376,1
136,64,247,1
137,28,538,1
138,445,533,1
139,180,246,1
140,438,61,1
141,294,468,1
142,258,510,1
143,96,565,1
144,506,520,1
145,232,332,1
146,212,385,1
147,320,58,1
148,78,128,1
149,168,547,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
