### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,19,16,-52.0267,0,255,0,0,100,1,1
1,420,417,-36.0764,0,255,0,0,100,1,1
2,10,204,134.484,0,255,0,0,100,1,1
3,461,528,-41.0365,0,255,0,0,100,1,1
4,327,389,-68.0011,0,255,0,0,100,1,1
5,460,433,129.239,0,255,0,0,100,1,1
6,362,215,174.823,0,255,0,0,100,1,1
7,122,479,-152.603,0,255,0,0,100,1,1
8,361,439,61.7647,0,255,0,0,100,1,1
9,374,574,23.1927,0,255,0,0,100,1,1
10,236,488,-7.18415,0,255,0,0,100,1,1
11,47,214,139.384,0,255,0,0,100,1,1
12,181,341,127.032,0,255,0,0,100,1,1
13,72,159,130.227,0,255,0,0,100,1,1
14,114,423,65.8414,0,255,0,0,100,1,1
15,128,499,81.3831,0,255,0,0,100,1,1
16,212,317,-89.1491,0,255,0,0,100,1,1
17,14,581,125.548,0,255,0,0,100,1,1
18,227,351,42.2564,0,255,0,0,100,1,1
19,510,318,86.3879,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,552,548,1
1,26,541,1
2,214,362,1
3,269,480,1
4,138,491,1
5,227,310,1
6,381,195,1
7,244,502,1
8,470,570,1
9,314,222,1
10,84,58,1
11,441,342,1
12,408,276,1
13,417,212,1
14,280,239,1
15,512,67,1
16,322,196,1
17,231,428,1
18,25,208,1
19,155,173,1
20,103,565,1
21,502,322,1
22,324,260,1
23,52,161,1
24,245,482,1
25,211,202,1
26,130,199,1
27,54,327,1
28,332,381,1
29,370,527,1
30,537,459,1
31,469,344,1
32,532,331,1
33,41,440,1
34,295,382,1
35,537,147,1
36,577,566,1
37,476,154,1
38,346,306,1
39,246,272,1
40,421,61,1
41,273,108,1
42,361,64,1
43,22,227,1
44,68,245,1
45,565,357,1
46,410,130,1
47,154,518,1
48,246,240,1
49,30,423,1
50,29,330,1
51,139,368,1
52,291,406,1
53,134,466,1
54,39,376,1
55,271,299,1
56,117,317,1
57,406,358,1
58,256,341,1
59,233,218,1
60,397,115,1
61,276,155,1
62,230,61,1
63,75,115,1
64,229,261,1
65,488,445,1
66,441,486,1
67,297,472,1
68,551,24,1
69,374,282,1
70,494,76,1
71,79,326,1
72,171,445,1
73,435,576,1
74,543,77,1
75,99,96,1
76,531,426,1
77,366,454,1
78,206,444,1
79,176,480,1
80,311,298,1
81,509,228,1
82,558,59,1
83,510,388,1
84,488,512,1
85,300,452,1
86,164,322,1
87,507,427,1
88,454,302,1
89,458,396,1
90,274,219,1
91,496,211,1
92,340,566,1
93,91,282,1
94,456,189,1
95,104,475,1
96,289,515,1
97,122,259,1
98,217,112,1
99,254,538,1
100,296,110,1
101,327,419,1
102,256,191,1
103,140,388,1
104,449,556,1
105,528,571,1
106,447,64,1
107,561,423,1
108,70,137,1
109,59,383,1
110,534,244,1
111,528,378,1
112,71,425,1
113,505,567,1
114,427,461,1
115,554,265,1
116,555,315,1
117,418,558,1
118,477,268,1
119,428,396,1
120,151,69,1
121,159,573,1
122,545,293,1
123,384,45,1
124,134,432,1
125,341,184,1
126,77,93,1
127,444,414,1
128,182,280,1
129,217,136,1
130,475,383,1
131,243,455,1
132,291,287,1
133,96,179,1
134,427,245,1
135,190,526,1
136,45,114,1
137,478,465,1
138,410,428,1
139,84,217,1
140,250,403,1
141,364,348,1
142,457,100,1
143,119,156,1
144,500,32,1
145,384,421,1
146,444,33,1
147,303,40,1
148,129,509,0
149,119,180,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
