### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,16,19,162.348,0,255,0,0,100,1,1
1,417,416,-106.284,0,255,0,0,100,1,1
2,535,526,153.608,0,255,0,0,100,1,1
3,284,294,173.123,0,255,0,0,100,1,1
4,112,30,24.4095,0,255,0,0,100,1,1
5,542,48,138.517,0,255,0,0,100,1,1
6,436,137,129.896,0,255,0,0,100,1,1
7,523,540,-32.6356,0,255,0,0,100,1,1
8,199,550,17.8665,0,255,0,0,100,1,1
9,565,513,71.2602,0,255,0,0,100,1,1
10,518,92,164.229,0,255,0,0,100,1,1
11,528,373,166.534,0,255,0,0,100,1,1
12,202,369,-152.418,0,255,0,0,100,1,1
13,187,170,67.9548,0,255,0,0,100,1,1
14,232,176,40.7645,0,255,0,0,100,1,1
15,276,540,43.0161,0,255,0,0,100,1,1
16,407,43,76.8345,0,255,0,0,100,1,1
17,390,422,-101.079,0,255,0,0,100,1,1
18,54,433,-166.527,0,255,0,0,100,1,1
19,359,477,67.1496,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,577,154,1
1,552,226,1
2,362,448,1
3,101,321,1
4,120,469,1
5,49,266,1
6,328,158,1
7,580,427,1
8,453,394,1
9,166,48,1
10,176,333,1
11,209,215,1
12,487,476,1
13,440,210,1
14,525,463,1
15,410,463,1
16,56,246,1
17,405,67,1
18,22,541,1
19,528,513,1
20,469,49,1
21,432,573,1
22,558,93,1
23,217,190,1
24,147,37,1
25,191,304,1
26,192,355,1
27,262,216,1
28,230,339,1
29,481,383,1
30,90,33,1
31,413,560,1
32,186,77,1
33,574,521,1
34,425,96,1
35,39,231,1
36,379,49,1
37,48,73,1
38,517,273,1
39,114,160,1
40,437,362,1
41,252,561,1
42,549,516,1
43,357,391,1
44,145,361,1
45,266,298,1
46,90,141,1
47,228,487,1
48,271,77,1
49,197,496,1
50,46,451,1
51,87,429,1
52,98,60,1
53,270,502,1
54,357,72,1
55,164,174,1
56,348,287,1
57,230,451,1
58,192,242,1
59,169,434,1
60,285,210,1
61,111,410,1
62,494,526,1
63,358,105,1
64,181,559,1
65,223,268,1
66,327,408,1
67,295,439,1
68,274,22,1
69,48,484,1
70,273,399,1
71,83,160,1
72,106,274,1
73,230,160,1
74,325,295,1
75,425,135,1
76,154,293,1
77,395,543,1
78,450,288,1
79,102,203,1
80,222,506,1
81,68,101,1
82,306,217,1
83,260,440,1
84,397,270,1
85,314,135,1
86,406,147,1
87,365,163,1
88,322,541,1
89,580,61,1
90,524,565,1
91,546,320,1
92,197,183,1
93,374,270,1
94,386,434,1
95,495,553,1
96,130,54,1
97,341,515,1
98,499,158,1
99,292,83,1
100,93,301,1
101,330,43,1
102,95,472,1
103,22,66,1
104,254,415,1
105,182,512,1
106,148,393,1
107,111,565,1
108,407,489,1
109,477,497,1
110,450,154,1
111,287,131,1
112,544,576,1
113,208,281,1
114,544,293,1
115,172,278,1
116,162,127,1
117,496,68,1
118,510,320,1
119,226,527,1
120,397,387,1
121,382,244,1
122,479,565,1
123,19,271,1
124,269,369,1
125,311,349,1
126,388,461,1
127,567,299,1
128,393,26,1
129,535,131,1
130,191,100,1
131,533,65,1
132,561,536,1
133,192,469,1
134,555,184,1
135,403,333,1
136,514,533,1
137,142,433,1
138,535,394,1
139,515,348,1
140,314,424,1
141,477,451,1
142,123,129,1
143,511,212,1
144,517,104,1
145,140,73,1
146,87,120,1
147,27,22,0
148,156,224,1
149,405,304,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
