### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,20,17,-35.9476,0,255,0,0,100,1,1
1,417,420,118.223,0,255,0,0,100,1,1
2,285,121,-59.9659,0,255,0,0,100,1,1
3,55,160,-130.271,0,255,0,0,100,1,1
4,133,255,-165.979,0,255,0,0,100,1,1
5,149,63,146.893,0,255,0,0,100,1,1
6,573,207,-162.332,0,255,0,0,100,1,1
7,575,347,43.039,0,255,0,0,100,1,1
8,245,416,-35.2145,0,255,0,0,100,1,1
9,523,182,-65.748,0,255,0,0,100,1,1
10,276,285,-66.3482,0,255,0,0,100,1,1
11,85,556,21.3079,0,255,0,0,100,1,1
12,354,235,-168.881,0,255,0,0,100,1,1
13,81,120,-61.1113,0,255,0,0,100,1,1
14,75,465,-167.125,0,255,0,0,100,1,1
15,40,439,-102.299,0,255,0,0,100,1,1
16,13,527,-108.272,0,255,0,0,100,1,1
17,75,286,176.133,0,255,0,0,100,1,1
18,189,534,-122.613,0,255,0,0,100,1,1
19,525,577,-41.5655,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,190,382,1
1,87,194,1
2,295,427,1
3,493,157,1
4,46,203,1
5,209,412,1
6,261,181,1
7,315,84,1
8,539,328,1
9,157,531,1
10,85,60,1
11,337,102,1
12,219,63,1
13,176,455,1
14,495,420,1
15,271,161,1
16,354,67,1
17,61,338,1
18,316,502,1
19,395,88,1
20,373,323,1
21,264,465,1
22,152,213,1
23,193,259,1
24,288,502,1
25,151,182,1
26,65,496,1
27,24,358,1
28,240,468,1
29,281,442,1
30,185,32,1
31,459,100,1
32,435,187,1
33,112,307,1
34,453,462,1
35,486,447,1
36,79,479,1
37,189,94,1
38,281,225,1
39,448,560,1
40,502,475,1
41,337,421,1
42,393,206,1
43,513,555,1
44,368,183,1
45,140,569,1
46,467,521,1
47,74,256,1
48,77,156,1
49,98,406,1
50,147,34,1
51,556,153,1
52,242,547,1
53,439,220,1
54,199,334,1
55,123,113,1
56,336,521,1
57,408,481,1
58,382,395,1
59,307,242,1
60,260,71,1
61,497,129,1
62,543,435,1
63,230,336,1
64,275,542,1
65,178,143,1
66,438,333,1
67,560,417,1
68,123,234,1
69,107,93,1
70,212,382,1
71,366,89,1
72,260,47,1
73,312,121,1
74,423,55,1
75,147,494,1
76,535,78,1
77,332,570,1
78,94,536,1
79,471,356,1
80,477,169,1
81,55,154,1
82,319,381,1
83,362,288,1
84,359,451,1
85,367,474,1
86,366,27,1
87,196,573,1
88,247,224,1
89,522,412,1
90,331,124,1
91,210,286,1
92,374,141,1
93,568,307,1
94,503,72,1
95,327,541,1
96,570,474,1
97,271,29,1
98,472,238,1
99,328,173,1
100,362,161,1
101,442,80,1
102,350,554,1
103,473,375,1
104,362,393,1
105,571,42,1
106,505,214,1
107,474,568,1
108,24,81,1
109,118,22,1
110,131,300,1
111,207,458,1
112,358,112,1
113,186,217,1
114,75,562,1
115,518,496,1
116,490,264,1
117,120,428,1
118,452,30,1
119,478,482,1
120,33,158,1
121,102,449,1
122,379,567,1
123,81,321,1
124,396,290,1
125,106,194,1
126,487,102,1
127,422,520,1
128,435,239,1
129,525,366,1
130,316,30,1
131,185,412,1
132,462,323,1
133,288,401,1
134,49,86,1
135,88,25,1
136,212,247,1
137,260,529,1
138,241,154,1
139,469,188,1
140,170,292,1
141,307,408,1
142,576,332,1
143,546,457,1
144,557,390,1
145,575,454,1
146,106,129,1
147,407,164,1
148,318,265,1
149,140,88,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
