### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,17,17,-134.181,0,255,0,0,100,1,1
1,417,416,-125.837,0,255,0,0,100,1,1
2,462,41,23.0694,0,255,0,0,100,1,1
3,542,220,-83.83,0,255,0,0,100,1,1
4,263,238,104.173,0,255,0,0,100,1,1
5,86,40,141.662,0,255,0,0,100,1,1
6,568,351,96.9216,0,255,0,0,100,1,1
7,458,84,-26.6801,0,255,0,0,100,1,1
8,16,162,-65.5303,0,255,0,0,100,1,1
9,340,148,-4.99669,0,255,0,0,100,1,1
10,531,566,-101.821,0,255,0,0,100,1,1
11,402,380,-124.865,0,255,0,0,100,1,1
12,94,303,63.239,0,255,0,0,100,1,1
13,132,33,22.7161,0,255,0,0,100,1,1
14,493,576,32.4142,0,255,0,0,100,1,1
15,478,137,139.762,0,255,0,0,100,1,1
16,471,488,46.6159,0,255,0,0,100,1,1
17,165,52,-29.4917,0,255,0,0,100,1,1
18,331,455,129.554,0,255,0,0,100,1,1
19,499,102,167.782,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,61,413,1
1,285,188,1
2,253,380,1
3,474,260,1
4,105,186,1
5,417,21,1
6,138,114,1
7,324,87,1
8,39,336,1
9,342,110,1
10,309,319,1
11,181,315,1
12,458,192,1
13,358,297,1
14,511,371,1
15,388,44,1
16,501,60,1
17,90,334,1
18,442,222,1
19,196,52,1
20,528,169,1
21,134,271,1
22,283,424,1
23,173,464,1
24,48,109,1
25,237,527,1
26,440,458,1
27,474,179,1
28,489,524,1
29,386,526,1
30,105,489,1
31,370,142,1
32,417,184,1
33,233,82,1
34,168,509,1
35,213,298,1
36,517,249,1
37,542,127,1
38,201,93,1
39,505,213,1
40,402,318,1
41,71,149,1
42,108,114,1
43,282,276,1
44,572,572,1
45,403,463,1
46,212,371,1
47,373,571,1
48,567,21,1
49,27,35,1
50,540,330,1
51,556,279,1
52,301,297,1
53,342,216,1
54,333,465,0
55,382,281,1
56,346,38,1
57,329,391,1
58,508,397,1
59,106,521,1
60,340,412,1
61,465,339,1
62,435,402,1
63,274,446,1
64,239,60,1
65,517,345,1
66,128,474,1
67,304,422,1
68,104,22,1
69,106,468,1
70,116,261,1
71,91,104,1
72,263,196,1
73,529,413,1
74,565,480,1
75,79,69,1
76,353,558,1
77,542,369,1
78,323,544,1
79,473,469,1
80,322,156,1
81,375,408,1
82,534,545,1
83,170,551,1
84,91,132,1
85,494,486,1
86,246,502,1
87,232,188,1
88,440,284,1
89,290,89,1
90,288,65,1
91,529,276,1
92,158,232,1
93,281,139,1
94,408,370,1
95,23,274,1
96,410,224,1
97,389,127,1
98,179,402,1
99,393,165,1
100,243,330,1
101,106,383,1
102,559,556,1
103,124,225,1
104,346,514,1
105,359,326,1
106,500,145,1
107,459,509,1
108,33,375,1
109,163,65,1
110,262,541,1
111,415,263,1
112,199,498,1
113,482,409,1
114,366,22,1
115,290,344,1
116,44,197,1
117,561,512,1
118,259,218,1
119,232,476,1
120,309,502,1
121,375,85,1
122,65,503,1
123,574,539,1
124,397,239,1
125,415,568,1
126,211,152,1
127,326,279,1
128,498,240,1
129,581,328,1
130,432,66,1
131,333,321,1
132,223,435,1
133,553,414,1
134,304,126,1
135,219,498,1
136,434,478,1
137,129,159,1
138,557,163,1
139,111,319,1
140,363,276,1
141,463,561,1
142,382,209,1
143,493,384,1
144,435,512,1
145,24,566,1
146,25,302,1
147,403,394,1
148,389,507,1
149,179,179,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
