### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,16,18,169.031,0,255,0,0,100,1,1
1,417,420,121.437,0,255,0,0,100,1,1
2,441,94,35.8658,0,255,0,0,100,1,1
3,340,85,2.2798,0,255,0,0,100,1,1
4,422,147,-7.92098,0,255,0,0,100,1,1
5,420,102,122.209,0,255,0,0,100,1,1
6,235,91,-159.954,0,255,0,0,100,1,1
7,229,430,-112.197,0,255,0,0,100,1,1
8,462,560,28.9907,0,255,0,0,100,1,1
9,121,40,-57.4932,0,255,0,0,100,1,1
10,163,84,-79.606,0,255,0,0,100,1,1
11,284,191,134.887,0,255,0,0,100,1,1
12,43,41,-160.89,0,255,0,0,100,1,1
13,454,93,35.2891,0,255,0,0,100,1,1
14,467,53,109.432,0,255,0,0,100,1,1
15,451,355,-81.9607,0,255,0,0,100,1,1
16,155,19,-15.0169,0,255,0,0,100,1,1
17,350,423,28.4872,0,255,0,0,100,1,1
18,168,518,-120.207,0,255,0,0,100,1,1
19,317,579,-61.6871,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,130,184,1
1,264,22,1
2,486,113,1
3,71,471,1
4,413,163,1
5,554,551,1
6,98,279,1
7,446,328,1
8,508,431,1
9,194,537,1
10,176,356,1
11,143,316,1
12,215,385,1
13,183,286,1
14,411,297,1
15,577,537,1
16,227,416,1
17,459,222,1
18,85,320,1
19,395,177,1
20,176,154,1
21,75,284,1
22,573,442,1
23,418,506,1
24,409,462,1
25,449,134,1
26,338,22,1
27,325,220,1
28,366,553,1
29,530,154,1
30,190,385,1
31,243,250,1
32,430,120,1
33,136,550,1
34,329,485,1
35,175,333,1
36,444,470,1
37,320,245,1
38,399,50,1
39,569,313,1
40,350,534,1
41,523,389,1
42,494,511,1
43,479,475,1
44,181,428,1
45,93,572,1
46,55,134,1
47,365,379,1
48,323,555,1
49,376,202,1
50,197,57,1
51,378,232,1
52,549,166,1
53,197,517,1
54,475,416,1
55,394,308,1
56,134,340,1
57,429,487,1
58,542,395,1
59,318,466,1
60,537,563,1
61,579,143,1
62,154,156,1
63,285,327,1
64,316,163,1
65,32,336,1
66,157,118,1
67,27,425,1
68,522,279,1
69,264,550,1
70,264,391,1
71,463,167,1
72,283,138,1
73,123,462,1
74,221,546,1
75,77,242,1
76,314,88,1
77,32,303,1
78,204,352,1
79,446,533,1
80,103,202,1
81,46,557,1
82,97,447,1
83,473,133,1
84,471,518,1
85,247,360,1
86,128,94,1
87,211,474,1
88,488,59,1
89,34,129,1
90,295,117,1
91,500,226,1
92,475,388,1
93,130,133,1
94,512,463,1
95,83,520,1
96,274,366,1
97,210,257,1
98,204,566,1
99,81,430,1
100,55,31,1
101,388,32,1
102,66,260,1
103,407,135,1
104,553,365,1
105,243,125,1
106,483,214,1
107,447,366,1
108,334,390,1
109,387,443,1
110,482,278,1
111,210,293,1
112,49,534,1
113,55,361,1
114,435,25,1
115,503,389,1
116,246,444,1
117,441,76,1
118,121,515,1
119,342,129,1
120,152,252,1
121,260,296,1
122,535,499,1
123,485,549,1
124,58,306,1
125,258,179,1
126,535,200,1
127,137,31,1
128,395,392,1
129,581,81,1
130,367,34,1
131,225,274,1
132,281,458,1
133,265,434,1
134,100,395,1
135,134,388,1
136,318,266,1
137,405,231,1
138,536,429,1
139,347,258,1
140,485,40,1
141,96,347,1
142,438,296,1
143,67,492,1
144,37,201,1
145,179,447,1
146,303,548,1
147,543,289,1
148,76,221,1
149,177,506,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
