### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,16,18,-177.064,0,255,0,0,100,1,1
1,419,416,-52.3829,0,255,0,0,100,1,1
2,153,266,-19.1117,0,255,0,0,100,1,1
3,494,194,-61.1932,0,255,0,0,100,1,1
4,259,485,163.735,0,255,0,0,100,1,1
5,341,381,-172.391,0,255,0,0,100,1,1
6,565,308,37.643,0,255,0,0,100,1,1
7,237,326,-167.496,0,255,0,0,100,1,1
8,370,60,76.1078,0,255,0,0,100,1,1
9,472,542,149.85,0,255,0,0,100,1,1
10,385,302,34.279,0,255,0,0,100,1,1
11,236,294,-40.9471,0,255,0,0,100,1,1
12,116,121,7.00065,0,255,0,0,100,1,1
13,408,309,95.1399,0,255,0,0,100,1,1
14,555,240,144.359,0,255,0,0,100,1,1
15,63,489,-116.543,0,255,0,0,100,1,1
16,24,36,85.2752,0,255,0,0,100,1,1
17,151,126,120.976,0,255,0,0,100,1,1
18,582,194,142.274,0,255,0,0,100,1,1
19,576,515,-17.1251,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,107,51,1
1,474,325,1
2,490,375,1
3,353,350,1
4,262,380,1
5,419,558,1
6,301,423,1
7,424,447,1
8,438,116,1
9,80,426,1
10,339,77,1
11,195,571,1
12,383,286,1
13,484,199,1
14,131,417,1
15,412,361,1
16,431,309,1
17,566,54,1
18,36,527,1
19,66,376,1
20,433,410,1
21,325,124,1
22,175,325,1
23,294,547,1
24,427,217,1
25,540,419,1
26,401,89,1
27,163,32,1
28,460,281,1
29,272,358,1
30,567,474,1
31,526,515,1
32,274,477,1
33,515,366,1
34,441,482,1
35,226,383,1
36,185,453,1
37,439,259,1
38,52,238,1
39,71,83,1
40,442,32,1
41,524,344,1
42,219,191,1
43,315,323,1
44,218,220,1
45,196,304,1
46,469,451,1
47,360,462,1
48,97,333,1
49,264,99,1
50,230,457,1
51,287,375,1
52,305,215,1
53,361,134,1
54,430,55,1
55,357,239,1
56,332,299,1
57,128,87,1
58,110,211,1
59,278,196,1
60,576,163,1
61,207,409,1
62,319,440,1
63,193,40,1
64,437,529,1
65,235,486,1
66,174,79,1
67,569,113,1
68,80,276,1
69,337,336,1
70,579,450,1
71,518,537,1
72,214,36,1
73,419,250,1
74,357,94,1
75,46,448,1
76,548,78,1
77,138,115,1
78,261,534,1
79,371,437,1
80,83,458,1
81,190,132,1
82,557,343,1
83,501,249,1
84,49,84,1
85,87,477,1
86,461,501,1
87,523,39,1
88,299,254,1
89,503,173,1
90,185,472,1
91,159,460,1
92,542,300,1
93,191,340,1
94,325,243,1
95,506,315,1
96,292,289,1
97,469,45,1
98,115,531,1
99,419,328,1
100,69,152,1
101,318,558,1
102,442,577,1
103,198,93,1
104,21,431,1
105,400,505,1
106,473,392,1
107,400,407,1
108,77,234,1
109,222,299,1
110,123,329,1
111,100,545,1
112,135,185,1
113,489,528,1
114,380,266,1
115,38,54,1
116,390,577,1
117,418,287,1
118,391,445,1
119,165,195,1
120,513,433,1
121,488,96,1
122,233,121,1
123,324,35,1
124,355,181,1
125,163,296,1
126,521,99,1
127,368,370,1
128,131,45,1
129,367,518,1
130,354,212,1
131,524,397,1
132,45,420,1
133,449,216,1
134,414,171,1
135,383,221,1
136,572,552,1
137,245,196,1
138,383,189,1
139,564,400,1
140,42,349,1
141,424,198,1
142,33,29,1
143,99,304,1
144,454,351,1
145,131,294,1
146,461,535,1
147,136,524,1
148,198,266,1
149,40,546,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
