### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,18,18,44.5726,0,255,0,0,100,1,1
1,419,416,-59.5697,0,255,0,0,100,1,1
2,437,41,116.501,0,255,0,0,100,1,1
3,526,295,-29.1895,0,255,0,0,100,1,1
4,286,176,89.652,0,255,0,0,100,1,1
5,284,391,-29.7984,0,255,0,0,100,1,1
6,117,102,165.968,0,255,0,0,100,1,1
7,293,235,-84.2324,0,255,0,0,100,1,1
8,224,28,-179.148,0,255,0,0,100,1,1
9,560,50,-172.42,0,255,0,0,100,1,1
10,459,128,176.771,0,255,0,0,100,1,1
11,41,475,-62.6023,0,255,0,0,100,1,1
12,346,80,88.5202,0,255,0,0,100,1,1
13,218,429,76.8095,0,255,0,0,100,1,1
14,101,46,-138.225,0,255,0,0,100,1,1
15,353,95,113.79,0,255,0,0,100,1,1
16,572,281,137.506,0,255,0,0,100,1,1
17,60,292,10.6913,0,255,0,0,100,1,1
18,144,374,67.3059,0,255,0,0,100,1,1
19,469,299,-77.2815,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,537,262,1
1,181,86,1
2,568,312,1
3,147,230,1
4,307,543,1
5,362,231,1
6,147,420,1
7,148,453,1
8,374,307,1
9,475,556,1
10,332,312,1
11,257,271,1
12,480,22,1
13,90,178,1
14,110,148,1
15,508,186,1
16,50,146,1
17,252,67,1
18,21,98,1
19,46,175,1
20,174,53,1
21,149,342,1
22,497,274,1
23,316,95,1
24,478,515,1
25,119,240,1
26,451,242,1
27,220,22,1
28,544,161,1
29,276,475,1
30,46,536,1
31,74,346,1
32,198,316,1
33,330,522,1
34,185,110,1
35,243,27,1
36,79,150,1
37,231,204,1
38,131,541,1
39,547,502,1
40,461,474,1
41,562,106,1
42,360,58,1
43,69,409,1
44,46,208,1
45,148,32,1
46,265,387,1
47,21,571,1
48,287,327,1
49,228,336,1
50,118,61,1
51,475,130,1
52,536,214,1
53,545,86,1
54,380,381,1
55,445,184,1
56,221,71,1
57,403,169,1
58,217,513,1
59,253,493,1
60,390,469,1
61,467,323,1
62,445,53,1
63,367,366,1
64,63,262,1
65,342,198,1
66,84,378,1
67,268,362,1
68,331,476,1
69,302,113,1
70,207,47,1
71,348,116,1
72,323,149,1
73,93,466,1
74,222,254,1
75,32,350,1
76,57,371,1
77,133,89,1
78,223,130,1
79,454,548,1
80,250,201,1
81,436,154,1
82,358,36,1
83,294,157,1
84,23,165,1
85,124,511,1
86,382,230,1
87,242,240,1
88,330,36,1
89,431,445,1
90,310,477,1
91,399,398,1
92,496,490,1
93,80,36,1
94,59,577,1
95,44,411,1
96,410,305,1
97,283,84,1
98,488,357,1
99,23,222,1
100,199,465,1
101,230,282,1
102,522,517,1
103,269,160,1
104,420,521,1
105,384,356,1
106,413,541,1
107,567,409,1
108,335,278,1
109,580,492,1
110,510,212,1
111,27,67,1
112,524,66,1
113,188,516,1
114,459,430,1
115,292,195,1
116,142,390,1
117,569,571,1
118,517,538,1
119,285,137,1
120,96,336,1
121,66,65,1
122,380,55,1
123,112,383,1
124,242,565,1
125,347,259,1
126,530,195,1
127,462,35,1
128,306,401,1
129,458,364,1
130,24,21,0
131,374,260,1
132,363,161,1
133,239,415,1
134,369,191,1
135,560,546,1
136,404,34,1
137,450,104,1
138,160,545,1
139,125,354,1
140,524,130,1
141,112,290,1
142,335,77,1
143,100,253,1
144,508,144,1
145,25,371,1
146,125,492,1
147,423,330,1
148,165,247,1
149,241,371,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
