### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,18,18,-26.9486,0,255,0,0,100,1,1
1,420,418,-8.65137,0,255,0,0,100,1,1
2,421,393,149.483,0,255,0,0,100,1,1
3,458,65,-37.8238,0,255,0,0,100,1,1
4,15,537,-84.8865,0,255,0,0,100,1,1
5,362,441,-99.737,0,255,0,0,100,1,1
6,570,549,164.175,0,255,0,0,100,1,1
7,388,444,-70.8317,0,255,0,0,100,1,1
8,550,559,49.368,0,255,0,0,100,1,1
9,277,422,-49.6984,0,255,0,0,100,1,1
10,219,359,128.496,0,255,0,0,100,1,1
11,447,359,86.3521,0,255,0,0,100,1,1
12,431,177,49.6046,0,255,0,0,100,1,1
13,174,540,9.11824,0,255,0,0,100,1,1
14,412,408,179.255,0,255,0,0,100,1,1
15,470,13,-128.881,0,255,0,0,100,1,1
16,254,119,-105.82,0,255,0,0,100,1,1
17,428,421,-3.80631,0,255,0,0,100,1,1
18,409,130,178.411,0,255,0,0,100,1,1
19,165,412,102.404,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,405,124,1
1,553,133,1
2,254,136,1
3,170,305,1
4,227,118,1
5,471,360,1
6,35,447,1
7,372,89,1
8,148,213,1
9,41,261,1
10,202,317,1
11,160,445,1
12,344,280,1
13,303,417,1
14,442,62,1
15,391,279,1
16,411,60,1
17,495,125,1
18,168,572,1
19,544,423,1
20,276,350,1
21,428,130,1
22,347,388,1
23,214,179,1
24,236,398,1
25,47,327,1
26,78,31,1
27,128,241,1
28,394,371,1
29,98,429,1
30,426,244,1
31,96,409,1
32,444,437,1
33,229,292,1
34,453,87,1
35,152,506,1
36,257,575,1
37,436,99,1
38,310,281,1
39,108,334,1
40,388,519,1
41,411,283,1
42,486,455,1
43,136,487,1
44,319,137,1
45,317,435,1
46,226,422,1
47,180,72,1
48,66,503,1
49,507,227,1
50,299,394,1
51,510,338,1
52,510,519,1
53,269,416,1
54,460,455,1
55,74,212,1
56,41,357,1
57,124,313,1
58,292,312,1
59,326,21,1
60,326,508,1
61,236,330,1
62,145,429,1
63,236,22,1
64,288,453,1
65,201,409,1
66,186,227,1
67,80,256,1
68,215,547,1
69,409,428,1
70,37,400,1
71,30,312,1
72,140,61,1
73,341,52,1
74,565,494,1
75,159,247,1
76,270,515,1
77,89,378,1
78,514,460,1
79,112,170,1
80,279,385,1
81,561,386,1
82,428,321,1
83,555,321,1
84,350,301,1
85,580,28,1
86,66,188,1
87,552,577,1
88,537,30,1
89,86,339,1
90,266,219,1
91,167,326,1
92,352,120,1
93,488,539,1
94,457,172,1
95,469,198,1
96,69,62,1
97,293,121,1
98,315,543,1
99,374,448,1
100,469,528,1
101,142,87,1
102,123,129,1
103,113,289,1
104,443,490,1
105,50,279,1
106,88,101,1
107,339,577,1
108,321,341,1
109,423,188,1
110,412,356,1
111,533,272,1
112,105,219,1
113,313,303,1
114,458,344,1
115,530,543,1
116,95,82,1
117,453,293,1
118,137,539,1
119,235,521,1
120,521,144,1
121,418,572,1
122,260,110,1
123,292,98,1
124,51,160,1
125,194,433,1
126,457,252,1
127,237,552,1
128,22,506,1
129,37,131,1
130,577,250,1
131,250,297,1
132,303,169,1
133,358,320,1
134,166,386,1
135,403,455,1
136,79,149,1
137,27,23,0
138,280,476,1
139,510,287,1
140,242,480,1
141,304,508,1
142,292,567,1
143,387,351,1
144,157,165,1
145,47,464,1
146,53,413,1
147,550,463,1
148,291,38,1
149,491,388,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
