### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,18,20,79.8292,0,255,0,0,100,1,1
1,420,419,27.6797,0,255,0,0,100,1,1
2,294,308,-154.468,0,255,0,0,100,1,1
3,311,395,-5.24202,0,255,0,0,100,1,1
4,475,352,-86.1357,0,255,0,0,100,1,1
5,287,502,17.3847,0,255,0,0,100,1,1
6,91,161,37.371,0,255,0,0,100,1,1
7,537,227,-22.7836,0,255,0,0,100,1,1
8,329,518,7.03605,0,255,0,0,100,1,1
9,451,112,-77.1529,0,255,0,0,100,1,1
10,63,439,-102.212,0,255,0,0,100,1,1
11,219,141,131.719,0,255,0,0,100,1,1
12,158,203,64.0469,0,255,0,0,100,1,1
13,497,495,-79.5118,0,255,0,0,100,1,1
14,410,73,-24.7813,0,255,0,0,100,1,1
15,355,407,-124.383,0,255,0,0,100,1,1
16,48,365,-90.8839,0,255,0,0,100,1,1
17,123,525,-170.148,0,255,0,0,100,1,1
18,408,171,104.386,0,255,0,0,100,1,1
19,417,305,-31.5297,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,53,143,1
1,115,21,1
2,292,246,1
3,121,446,1
4,450,423,1
5,73,363,1
6,285,412,1
7,148,216,1
8,397,350,1
9,166,126,1
10,518,550,1
11,491,291,1
12,564,69,1
13,581,211,1
14,536,428,1
15,431,270,1
16,453,231,1
17,152,168,1
18,160,538,1
19,430,101,1
20,380,332,1
21,238,222,1
22,131,574,1
23,537,314,1
24,306,63,1
25,291,157,1
26,462,458,1
27,46,219,1
28,521,572,1
29,197,118,1
30,19,70,1
31,549,450,1
32,417,474,1
33,523,329,1
34,198,137,1
35,181,350,1
36,527,526,1
37,378,104,1
38,251,249,1
39,456,563,1
40,252,166,1
41,220,51,1
42,463,98,1
43,397,506,1
44,297,467,1
45,309,407,1
46,512,47,1
47,488,83,1
48,96,389,1
49,290,436,1
50,531,286,1
51,84,548,1
52,552,480,1
53,208,275,1
54,35,183,1
55,26,42,1
56,498,433,1
57,548,99,1
58,275,202,1
59,466,305,1
60,53,380,1
61,293,211,1
62,385,47,1
63,249,47,1
64,28,148,1
65,496,508,1
66,424,127,1
67,372,254,1
68,126,467,1
69,25,561,1
70,99,440,1
71,180,319,1
72,182,531,1
73,176,453,1
74,208,459,1
75,395,72,1
76,18,243,1
77,267,491,1
78,115,212,1
79,572,317,1
80,240,307,1
81,440,170,1
82,221,254,1
83,400,392,1
84,357,211,1
85,572,463,1
86,329,317,1
87,230,497,1
88,468,71,1
89,369,474,1
90,527,450,1
91,274,516,1
92,145,423,1
93,252,140,1
94,183,254,1
95,429,187,1
96,70,49,1
97,473,327,1
98,22,338,1
99,161,38,1
100,343,475,1
101,199,549,1
102,251,541,1
103,101,236,1
104,65,510,1
105,374,546,1
106,501,459,1
107,437,376,1
108,503,228,1
109,129,378,1
110,409,527,1
111,377,527,1
112,200,488,1
113,338,87,1
114,353,357,1
115,254,268,1
116,297,182,1
117,127,195,1
118,132,97,1
119,435,408,1
120,107,91,1
121,470,528,1
122,424,341,1
123,552,392,1
124,36,465,1
125,64,558,1
126,384,459,1
127,363,181,1
128,333,568,1
129,88,283,1
130,98,72,1
131,562,372,1
132,228,397,1
133,135,335,1
134,323,243,1
135,376,313,1
136,543,354,1
137,432,223,1
138,169,412,1
139,319,283,1
140,106,508,1
141,330,110,1
142,391,205,1
143,412,418,1
144,218,414,1
145,109,374,1
146,461,505,1
147,413,374,1
148,266,291,1
149,64,199,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
