### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,16,17,-164.643,0,255,0,0,100,1,1
1,416,419,144.935,0,255,0,0,100,1,1
2,296,200,-110.935,0,255,0,0,100,1,1
3,475,388,68.8366,0,255,0,0,100,1,1
4,59,303,-42.8441,0,255,0,0,100,1,1
5,584,29,29.5866,0,255,0,0,100,1,1
6,117,533,-77.882,0,255,0,0,100,1,1
7,300,98,-63.5632,0,255,0,0,100,1,1
8,321,439,175.152,0,255,0,0,100,1,1
9,394,178,78.2524,0,255,0,0,100,1,1
10,79,498,142.67,0,255,0,0,100,1,1
11,357,209,10.1088,0,255,0,0,100,1,1
12,30,356,-146.008,0,255,0,0,100,1,1
13,52,568,-80.5236,0,255,0,0,100,1,1
14,141,479,137.453,0,255,0,0,100,1,1
15,447,495,-145.946,0,255,0,0,100,1,1
16,163,182,-8.6861,0,255,0,0,100,1,1
17,348,310,-29.2692,0,255,0,0,100,1,1
18,50,217,14.8193,0,255,0,0,100,1,1
19,26,290,166.907,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,398,435,1
1,400,276,1
2,259,422,1
3,130,71,1
4,480,70,1
5,175,61,1
6,448,186,1
7,373,29,1
8,520,497,1
9,196,570,1
10,119,211,1
11,505,441,1
12,49,469,1
13,243,232,1
14,113,418,1
15,72,158,1
16,52,120,1
17,242,30,1
18,308,138,1
19,446,162,1
20,55,364,1
21,535,235,1
22,376,260,1
23,179,519,1
24,105,496,1
25,269,267,1
26,341,103,1
27,552,465,1
28,206,433,1
29,99,87,1
30,401,116,1
31,101,351,1
32,294,450,1
33,129,468,1
34,298,62,1
35,327,396,1
36,82,526,1
37,185,36,1
38,478,141,1
39,314,517,1
40,90,128,1
41,180,489,1
42,552,440,1
43,572,145,1
44,244,194,1
45,297,353,1
46,185,340,1
47,435,442,1
48,381,515,1
49,267,212,1
50,57,425,1
51,168,144,1
52,379,496,1
53,466,283,1
54,360,538,1
55,361,193,1
56,371,215,1
57,488,259,1
58,194,269,1
59,363,474,1
60,77,237,1
61,92,30,1
62,562,47,1
63,403,502,1
64,112,457,1
65,299,376,1
66,437,474,1
67,286,91,1
68,433,548,1
69,527,153,1
70,372,284,1
71,286,519,1
72,164,393,1
73,233,526,1
74,53,74,1
75,121,39,1
76,309,213,1
77,194,298,1
78,433,101,1
79,124,148,1
80,417,159,1
81,414,189,1
82,525,51,1
83,29,222,1
84,290,314,1
85,231,573,1
86,204,506,1
87,453,245,1
88,317,363,1
89,464,381,1
90,111,387,1
91,26,60,1
92,510,142,1
93,279,121,1
94,362,416,1
95,415,32,1
96,80,547,1
97,523,298,1
98,513,85,1
99,492,457,1
100,577,92,1
101,165,452,1
102,512,524,1
103,504,551,1
104,527,255,1
105,493,482,1
106,515,201,1
107,567,316,1
108,468,413,1
109,408,481,1
110,467,201,1
111,302,189,1
112,180,251,1
113,573,564,1
114,535,382,1
115,25,166,1
116,385,322,1
117,61,214,1
118,572,355,1
119,474,51,1
120,459,473,1
121,140,307,1
122,167,115,1
123,295,538,1
124,243,70,1
125,278,57,1
126,129,284,1
127,286,27,1
128,68,569,1
129,184,194,1
130,573,507,1
131,570,170,1
132,410,231,1
133,212,141,1
134,43,535,1
135,519,410,1
136,125,436,1
137,234,370,1
138,504,383,1
139,193,111,1
140,542,61,1
141,539,214,1
142,412,395,1
143,155,354,1
144,411,60,1
145,443,125,1
146,18,367,1
147,320,556,1
148,219,316,1
149,363,314,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
