### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,193,412,-77.3251,0,255,0,0,100,1,1
1,84,33,-4.16197,0,255,0,0,100,1,1
2,60,173,-149.514,0,255,0,0,100,1,1
3,550,414,-134.71,0,255,0,0,100,1,1
4,505,433,1.05116,0,255,0,0,100,1,1
5,452,151,-75.3466,0,255,0,0,100,1,1
6,312,237,118.783,0,255,0,0,100,1,1
7,52,340,15.0884,0,255,0,0,100,1,1
8,550,437,-100.039,0,255,0,0,100,1,1
9,242,192,101.714,0,255,0,0,100,1,1
10,517,106,0.611142,0,255,0,0,100,1,1
11,391,90,24.8373,0,255,0,0,100,1,1
12,119,502,37.9348,0,255,0,0,100,1,1
13,55,145,115.351,0,255,0,0,100,1,1
14,531,117,98.5583,0,255,0,0,100,1,1
15,269,534,179.365,0,255,0,0,100,1,1
16,440,333,45.2218,0,255,0,0,100,1,1
17,136,229,144.102,0,255,0,0,100,1,1
18,303,355,-103.748,0,255,0,0,100,1,1
19,135,43,117.124,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,54,186,1
1,296,95,1
2,500,405,1
3,408,352,1
4,264,228,1
5,453,174,1
6,171,346,1
7,164,517,1
8,317,553,1
9,130,70,1
10,142,176,1
11,62,101,1
12,156,53,1
13,432,253,1
14,257,188,1
15,61,493,1
16,179,111,1
17,45,566,1
18,418,118,1
19,43,372,1
20,94,503,1
21,334,353,1
22,498,182,1
23,182,218,1
24,19,274,1
25,380,556,1
26,137,350,1
27,260,137,1
28,215,63,1
29,271,259,1
30,404,323,1
31,229,425,1
32,318,517,1
33,323,288,1
34,349,408,1
35,170,282,1
36,359,447,1
37,56,79,1
38,480,456,1
39,271,557,1
40,222,498,1
41,574,62,1
42,371,529,1
43,25,554,1
44,581,356,1
45,378,50,1
46,462,543,1
47,463,516,1
48,251,464,1
49,499,316,1
50,236,514,1
51,479,156,1
52,301,48,1
53,38,322,1
54,380,385,1
55,338,39,1
56,177,448,1
57,205,512,1
58,111,387,1
59,516,423,1
60,568,303,1
61,291,26,1
62,48,276,1
63,243,309,1
64,282,421,1
65,141,289,1
66,521,236,1
67,275,66,1
68,577,224,1
69,311,76,1
70,200,371,1
71,425,543,1
72,201,329,1
73,431,311,1
74,416,403,1
75,443,154,1
76,555,200,1
77,403,85,1
78,540,312,1
79,293,168,1
80,92,288,1
81,297,529,1
82,237,356,1
83,205,21,1
84,95,339,1
85,128,570,1
86,250,426,1
87,251,60,1
88,396,248,1
89,164,391,1
90,533,186,1
91,266,383,1
92,335,258,1
93,28,224,1
94,186,425,1
95,488,362,1
96,98,144,1
97,71,320,1
98,100,464,1
99,446,69,1
100,75,541,1
101,248,278,1
102,142,146,1
103,181,531,1
104,431,440,1
105,224,29,1
106,526,535,1
107,343,94,1
108,512,23,1
109,445,480,1
110,524,389,1
111,352,387,1
112,110,524,1
113,275,344,1
114,191,481,1
115,88,111,1
116,75,179,1
117,155,411,1
118,469,405,1
119,578,543,1
120,246,394,1
121,260,294,1
122,26,58,1
123,489,520,1
124,323,21,1
125,545,91,1
126,20,465,1
127,144,241,1
128,227,169,1
129,105,242,1
130,528,499,1
131,562,525,1
132,111,111,1
133,303,334,1
134,99,191,1
135,286,199,1
136,230,123,1
137,278,477,1
138,184,70,1
139,276,88,1
140,580,506,1
141,553,124,1
142,463,29,1
143,369,472,1
144,567,32,1
145,153,97,1
146,318,124,1
147,344,544,1
148,171,193,1
149,509,271,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
