### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,137,152,-13.1625,0,255,0,0,100,1,1
1,118,411,-6.82807,0,255,0,0,100,1,1
2,347,201,-45.751,0,255,0,0,100,1,1
3,332,530,114.097,0,255,0,0,100,1,1
4,25,156,53.4735,0,255,0,0,100,1,1
5,466,364,16.7224,0,255,0,0,100,1,1
6,459,541,93.451,0,255,0,0,100,1,1
7,150,553,-5.8877,0,255,0,0,100,1,1
8,213,179,140.066,0,255,0,0,100,1,1
9,240,509,97.5048,0,255,0,0,100,1,1
10,537,400,-35.5923,0,255,0,0,100,1,1
11,525,233,-49.3446,0,255,0,0,100,1,1
12,352,463,-132.85,0,255,0,0,100,1,1
13,483,493,23.3727,0,255,0,0,100,1,1
14,110,30,-57.2109,0,255,0,0,100,1,1
15,293,286,-148.17,0,255,0,0,100,1,1
16,502,209,167.163,0,255,0,0,100,1,1
17,356,58,168.122,0,255,0,0,100,1,1
18,329,255,-148.547,0,255,0,0,100,1,1
19,586,189,-6.06378,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,166,178,1
1,255,468,1
2,93,436,1
3,65,131,1
4,200,429,1
5,365,327,1
6,469,182,1
7,376,557,1
8,324,100,1
9,401,472,1
10,36,249,1
11,109,251,1
12,265,140,1
13,277,255,1
14,456,364,1
15,430,130,1
16,325,439,1
17,92,277,1
18,576,138,1
19,538,228,1
20,72,303,1
21,47,79,1
22,116,478,1
23,462,231,1
24,184,260,1
25,40,141,1
26,362,122,1
27,78,160,1
28,152,319,1
29,330,75,1
30,136,550,1
31,469,573,1
32,284,35,1
33,273,340,1
34,55,253,1
35,261,46,1
36,340,286,1
37,500,325,1
38,277,416,1
39,132,318,1
40,120,423,1
41,207,43,1
42,118,300,1
43,25,429,1
44,141,413,1
45,93,210,1
46,251,530,1
47,374,265,1
48,43,537,1
49,75,349,1
50,192,503,1
51,201,540,1
52,278,92,1
53,424,326,1
54,332,502,1
55,235,181,1
56,406,23,1
57,500,435,1
58,480,430,1
59,322,554,1
60,566,339,1
61,167,406,1
62,46,180,1
63,282,276,1
64,514,498,1
65,375,38,1
66,245,99,1
67,490,376,1
68,274,506,1
69,36,369,1
70,193,407,1
71,121,573,1
72,524,267,1
73,96,98,1
74,205,486,1
75,532,345,1
76,148,205,1
77,104,162,1
78,475,99,1
79,233,416,1
80,104,355,1
81,529,246,1
82,196,152,1
83,152,126,1
84,50,350,1
85,578,48,1
86,535,552,1
87,374,139,1
88,315,125,1
89,178,55,1
90,390,359,1
91,429,110,1
92,438,407,1
93,368,58,1
94,137,55,1
95,394,248,1
96,428,305,1
97,173,22,1
98,239,382,1
99,174,370,1
100,35,506,1
101,213,307,1
102,544,71,1
103,221,362,1
104,50,214,1
105,357,159,1
106,186,559,1
107,225,512,1
108,286,378,1
109,390,53,1
110,114,328,1
111,447,57,1
112,341,473,1
113,305,194,1
114,85,575,1
115,554,357,1
116,332,25,1
117,398,302,1
118,570,378,1
119,70,509,1
120,252,495,1
121,219,388,1
122,46,111,1
123,413,411,1
124,175,349,1
125,530,481,1
126,310,369,1
127,285,124,1
128,265,68,1
129,549,572,1
130,68,419,1
131,533,388,1
132,193,79,1
133,238,146,1
134,572,275,1
135,369,507,1
136,227,331,1
137,171,198,1
138,40,301,1
139,427,157,1
140,136,93,1
141,565,69,1
142,289,440,1
143,194,318,1
144,199,341,1
145,72,65,1
146,483,58,1
147,140,293,1
148,305,514,1
149,447,271,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
