### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,443,152,82.1871,0,255,0,0,100,1,1
1,567,117,-170.486,0,255,0,0,100,1,1
2,216,570,-98.926,0,255,0,0,100,1,1
3,446,82,-3.5504,0,255,0,0,100,1,1
4,268,380,-139.908,0,255,0,0,100,1,1
5,374,113,-109.433,0,255,0,0,100,1,1
6,323,247,39.0995,0,255,0,0,100,1,1
7,164,128,-25.5761,0,255,0,0,100,1,1
8,293,377,43.6194,0,255,0,0,100,1,1
9,471,303,56.7673,0,255,0,0,100,1,1
10,566,254,174.885,0,255,0,0,100,1,1
11,474,310,37.7752,0,255,0,0,100,1,1
12,153,105,55.2005,0,255,0,0,100,1,1
13,219,521,-28.4472,0,255,0,0,100,1,1
14,478,207,160.862,0,255,0,0,100,1,1
15,48,582,34.9765,0,255,0,0,100,1,1
16,422,529,76.5448,0,255,0,0,100,1,1
17,485,17,47.4239,0,255,0,0,100,1,1
18,258,440,-159.545,0,255,0,0,100,1,1
19,208,339,-120.664,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,250,361,1
1,382,450,1
2,353,410,1
3,121,409,1
4,573,66,1
5,311,100,1
6,476,227,1
7,46,266,1
8,104,226,1
9,83,440,1
10,544,30,1
11,122,505,1
12,43,38,1
13,570,45,1
14,423,333,1
15,182,522,1
16,469,459,1
17,420,481,1
18,512,319,1
19,574,525,1
20,454,171,1
21,302,507,1
22,236,554,1
23,272,260,1
24,310,139,1
25,268,309,1
26,213,517,1
27,375,482,1
28,182,180,1
29,393,25,1
30,290,431,1
31,219,49,1
32,286,296,1
33,372,542,1
34,278,182,1
35,355,456,1
36,237,401,1
37,331,469,1
38,239,441,1
39,120,556,1
40,61,503,1
41,415,211,1
42,547,334,1
43,296,23,1
44,208,123,1
45,113,255,1
46,309,546,1
47,510,232,1
48,201,384,1
49,158,563,1
50,333,84,1
51,24,562,1
52,156,127,1
53,171,444,1
54,379,511,1
55,127,100,1
56,515,185,1
57,546,395,1
58,302,394,1
59,545,248,1
60,490,36,1
61,548,353,1
62,364,122,1
63,310,172,1
64,297,357,1
65,345,109,1
66,439,268,1
67,126,150,1
68,474,378,1
69,155,505,1
70,102,129,1
71,108,183,1
72,263,148,1
73,238,259,1
74,134,536,1
75,508,463,1
76,539,227,1
77,31,320,1
78,552,150,1
79,320,325,1
80,227,354,1
81,121,476,1
82,490,530,1
83,342,507,1
84,435,98,1
85,525,132,1
86,349,432,1
87,307,294,1
88,541,275,1
89,274,22,1
90,211,251,1
91,143,262,1
92,154,332,1
93,461,94,1
94,63,206,1
95,175,350,1
96,309,204,1
97,135,241,1
98,535,445,1
99,230,289,1
100,514,409,1
101,401,243,1
102,183,551,1
103,53,392,1
104,203,317,1
105,293,326,1
106,529,505,1
107,212,84,1
108,22,477,1
109,313,38,1
110,64,478,1
111,489,288,1
112,20,106,1
113,115,310,1
114,54,77,1
115,129,214,1
116,243,165,1
117,574,286,1
118,344,232,1
119,231,97,1
120,558,210,1
121,386,154,1
122,26,518,1
123,445,135,1
124,377,261,1
125,66,430,1
126,423,379,1
127,158,48,1
128,581,262,1
129,250,416,1
130,469,323,1
131,125,436,1
132,466,24,1
133,511,287,1
134,138,305,1
135,135,171,1
136,506,371,1
137,103,66,1
138,430,292,1
139,45,188,1
140,369,26,1
141,25,287,1
142,95,157,1
143,261,344,1
144,501,58,1
145,363,51,1
146,168,71,1
147,168,149,1
148,315,488,1
149,240,322,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
