### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,345,340,-33.9465,0,255,0,0,100,1,1
1,481,189,150.431,0,255,0,0,100,1,1
2,261,165,28.6312,0,255,0,0,100,1,1
3,171,340,-154.365,0,255,0,0,100,1,1
4,253,533,164.529,0,255,0,0,100,1,1
5,38,117,140.575,0,255,0,0,100,1,1
6,292,58,34.4143,0,255,0,0,100,1,1
7,449,124,127.335,0,255,0,0,100,1,1
8,229,252,97.1047,0,255,0,0,100,1,1
9,127,580,-14.7347,0,255,0,0,100,1,1
10,568,325,173.304,0,255,0,0,100,1,1
11,13,341,76.3163,0,255,0,0,100,1,1
12,261,521,94.5064,0,255,0,0,100,1,1
13,443,502,116.664,0,255,0,0,100,1,1
14,453,50,-134.791,0,255,0,0,100,1,1
15,81,562,146.561,0,255,0,0,100,1,1
16,527,412,-33.7263,0,255,0,0,100,1,1
17,363,265,-152.869,0,255,0,0,100,1,1
18,196,178,-177.113,0,255,0,0,100,1,1
19,386,332,32.1976,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,394,350,1
1,459,108,1
2,459,568,1
3,25,346,1
4,534,476,1
5,568,55,1
6,381,497,1
7,547,30,1
8,279,573,1
9,273,127,1
10,78,413,1
11,369,186,1
12,502,536,1
13,459,524,1
14,165,474,1
15,255,439,1
16,331,418,1
17,329,493,1
18,257,96,1
19,318,74,1
20,286,258,1
21,204,161,1
22,230,160,1
23,290,277,1
24,280,178,1
25,564,535,1
26,175,283,1
27,464,404,1
28,274,450,1
29,169,92,1
30,561,489,1
31,554,179,1
32,337,300,1
33,204,347,1
34,171,378,1
35,581,567,1
36,486,312,1
37,559,158,1
38,346,269,1
39,357,569,1
40,174,50,1
41,79,473,1
42,230,442,1
43,408,256,1
44,435,379,1
45,289,542,1
46,208,377,1
47,518,300,1
48,108,423,1
49,146,222,1
50,229,58,1
51,475,132,1
52,461,168,1
53,542,330,1
54,262,371,1
55,556,512,1
56,224,339,1
57,181,544,1
58,148,420,1
59,376,363,1
60,548,451,1
61,67,200,1
62,385,543,1
63,319,35,1
64,58,451,1
65,347,406,1
66,328,251,1
67,378,577,1
68,363,80,1
69,388,22,1
70,273,488,1
71,226,242,1
72,134,23,1
73,313,389,1
74,81,336,1
75,490,291,1
76,471,345,1
77,145,448,1
78,578,277,1
79,484,515,1
80,509,200,1
81,286,351,1
82,99,107,1
83,348,487,1
84,388,170,1
85,349,376,1
86,69,171,1
87,50,497,1
88,466,373,1
89,558,414,1
90,416,323,1
91,18,54,1
92,67,229,1
93,370,398,1
94,172,508,1
95,284,109,1
96,80,120,1
97,111,212,1
98,527,140,1
99,310,534,1
100,528,498,1
101,100,501,1
102,257,293,1
103,520,219,1
104,414,451,1
105,433,567,1
106,156,355,1
107,97,82,1
108,131,258,1
109,522,113,1
110,440,324,1
111,24,269,1
112,106,22,1
113,503,100,1
114,401,503,1
115,54,560,1
116,271,324,1
117,370,291,1
118,22,425,1
119,300,324,1
120,358,140,1
121,276,402,1
122,370,520,1
123,35,192,1
124,404,201,1
125,475,257,1
126,463,284,1
127,73,251,1
128,387,142,1
129,188,207,1
130,98,53,1
131,394,295,1
132,468,33,1
133,366,241,1
134,222,101,1
135,207,315,1
136,254,508,1
137,125,317,1
138,249,550,1
139,84,378,1
140,495,258,1
141,78,93,1
142,466,87,1
143,269,77,1
144,101,278,1
145,488,430,1
146,368,105,1
147,180,70,1
148,124,512,1
149,255,47,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
