### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,558,151,125.053,0,255,0,0,100,1,1
1,84,356,-20.4366,0,255,0,0,100,1,1
2,336,450,-28.9741,0,255,0,0,100,1,1
3,547,257,-152.401,0,255,0,0,100,1,1
4,497,248,-117.687,0,255,0,0,100,1,1
5,220,417,42.8669,0,255,0,0,100,1,1
6,467,509,75.3632,0,255,0,0,100,1,1
7,129,151,-144.98,0,255,0,0,100,1,1
8,331,76,49.8136,0,255,0,0,100,1,1
9,54,450,-40.4343,0,255,0,0,100,1,1
10,106,194,53.7595,0,255,0,0,100,1,1
11,227,520,41.9416,0,255,0,0,100,1,1
12,265,486,163.328,0,255,0,0,100,1,1
13,341,287,105.476,0,255,0,0,100,1,1
14,464,135,169.368,0,255,0,0,100,1,1
15,461,127,-138.585,0,255,0,0,100,1,1
16,70,39,68.5553,0,255,0,0,100,1,1
17,85,511,-21.132,0,255,0,0,100,1,1
18,22,561,5.80803,0,255,0,0,100,1,1
19,434,512,3.78,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,177,550,1
1,309,33,1
2,340,366,1
3,121,58,1
4,93,138,1
5,388,281,1
6,271,192,1
7,419,538,1
8,109,535,1
9,310,310,1
10,202,460,1
11,308,469,1
12,365,110,1
13,352,268,1
14,237,306,1
15,94,483,1
16,90,422,1
17,84,457,1
18,479,461,1
19,290,320,1
20,444,231,1
21,283,105,1
22,158,552,1
23,564,360,1
24,291,523,1
25,435,343,1
26,92,577,1
27,270,402,1
28,400,165,1
29,298,442,1
30,162,137,1
31,56,38,1
32,530,508,1
33,333,218,1
34,91,158,1
35,416,109,1
36,384,559,1
37,466,340,1
38,242,84,1
39,181,487,1
40,442,362,1
41,568,34,1
42,26,181,1
43,395,467,1
44,207,279,1
45,210,363,1
46,513,561,1
47,345,248,1
48,163,407,1
49,385,337,1
50,436,302,1
51,187,251,1
52,286,342,1
53,252,566,1
54,100,514,1
55,341,430,1
56,295,178,1
57,78,237,1
58,244,50,1
59,51,228,1
60,97,392,1
61,532,330,1
62,54,121,1
63,572,380,1
64,379,443,1
65,578,192,1
66,335,550,1
67,330,68,1
68,188,120,1
69,31,155,1
70,21,131,1
71,444,467,1
72,533,563,1
73,199,103,1
74,320,412,1
75,416,343,1
76,108,251,1
77,359,308,1
78,245,140,1
79,449,107,1
80,377,218,1
81,389,424,1
82,557,309,1
83,64,533,1
84,260,360,1
85,296,129,1
86,132,225,1
87,563,432,1
88,346,464,1
89,177,374,1
90,273,457,1
91,364,43,1
92,460,319,1
93,510,303,1
94,292,198,1
95,225,344,1
96,581,78,1
97,194,533,1
98,567,59,1
99,388,68,1
100,426,575,1
101,176,572,1
102,92,339,1
103,464,240,1
104,204,384,1
105,122,154,0
106,436,41,1
107,311,357,1
108,475,54,1
109,502,215,1
110,208,209,1
111,260,153,1
112,541,263,0
113,279,68,1
114,367,195,1
115,325,277,1
116,422,74,1
117,34,25,1
118,269,554,1
119,78,279,1
120,143,110,1
121,308,566,1
122,547,447,1
123,130,573,1
124,40,458,1
125,266,312,1
126,67,325,1
127,65,257,1
128,235,183,1
129,318,432,1
130,389,301,1
131,456,154,1
132,68,510,1
133,163,33,1
134,553,211,1
135,435,190,1
136,575,462,1
137,97,50,1
138,521,24,1
139,311,536,1
140,181,82,1
141,377,368,1
142,581,511,1
143,231,269,1
144,256,289,1
145,63,299,1
146,378,397,1
147,131,385,1
148,380,528,1
149,252,267,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
