### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,469,113,-162.377,0,255,0,0,100,1,1
1,425,544,-135.333,0,255,0,0,100,1,1
2,160,496,148.989,0,255,0,0,100,1,1
3,391,360,3.8205,0,255,0,0,100,1,1
4,357,295,-47.9042,0,255,0,0,100,1,1
5,543,33,-137.441,0,255,0,0,100,1,1
6,498,215,-84.3276,0,255,0,0,100,1,1
7,282,549,-155.555,0,255,0,0,100,1,1
8,417,201,-19.5552,0,255,0,0,100,1,1
9,301,107,-41.3413,0,255,0,0,100,1,1
10,383,127,-79.2055,0,255,0,0,100,1,1
11,34,280,-96.5001,0,255,0,0,100,1,1
12,295,13,26.4777,0,255,0,0,100,1,1
13,383,531,134.081,0,255,0,0,100,1,1
14,332,250,37.4571,0,255,0,0,100,1,1
15,360,140,139.435,0,255,0,0,100,1,1
16,472,400,-93.7327,0,255,0,0,100,1,1
17,314,32,131.732,0,255,0,0,100,1,1
18,36,201,8.05663,0,255,0,0,100,1,1
19,120,269,52.6294,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,410,152,1
1,331,204,1
2,553,503,1
3,378,177,1
4,565,562,1
5,346,422,1
6,499,387,1
7,395,387,1
8,542,568,1
9,66,243,1
10,122,443,1
11,74,68,1
12,537,542,1
13,26,261,1
14,529,353,1
15,229,194,1
16,252,373,1
17,158,344,1
18,68,411,1
19,342,576,1
20,254,499,1
21,559,357,1
22,563,302,1
23,504,140,1
24,377,451,1
25,55,48,1
26,164,196,1
27,322,164,1
28,189,284,1
29,133,103,1
30,232,410,1
31,67,338,1
32,145,402,1
33,263,56,1
34,34,382,1
35,66,502,1
36,301,354,1
37,501,58,1
38,475,548,1
39,327,371,1
40,307,267,1
41,30,151,1
42,427,141,1
43,182,509,1
44,475,428,1
45,231,307,1
46,535,451,1
47,236,429,1
48,117,481,1
49,305,475,1
50,577,160,1
51,224,369,1
52,433,330,1
53,228,90,1
54,370,515,1
55,24,327,1
56,483,186,1
57,369,274,1
58,189,62,1
59,474,362,1
60,447,435,1
61,78,281,1
62,145,135,1
63,568,434,1
64,441,383,1
65,465,166,1
66,211,231,1
67,474,487,1
68,143,84,1
69,237,131,1
70,363,436,1
71,496,339,1
72,65,161,1
73,150,308,1
74,250,203,1
75,27,40,1
76,102,544,1
77,21,442,1
78,34,499,1
79,350,278,1
80,473,30,1
81,315,226,1
82,388,423,1
83,31,229,1
84,281,441,1
85,417,257,1
86,168,171,1
87,290,289,1
88,56,262,1
89,131,160,1
90,124,226,1
91,544,129,1
92,213,331,1
93,298,427,1
94,543,221,1
95,177,362,1
96,296,64,1
97,68,388,1
98,512,196,1
99,30,122,1
100,188,98,1
101,499,576,1
102,399,490,1
103,32,87,1
104,373,203,1
105,213,416,1
106,510,491,1
107,158,374,1
108,407,561,1
109,177,532,1
110,386,121,0
111,322,122,1
112,524,386,1
113,263,24,1
114,272,353,1
115,437,502,1
116,390,513,1
117,38,183,1
118,147,434,1
119,257,103,1
120,366,486,1
121,196,545,1
122,449,183,1
123,190,564,1
124,266,554,1
125,448,298,1
126,261,279,1
127,523,69,1
128,210,266,1
129,295,162,1
130,131,528,1
131,560,242,1
132,111,50,1
133,311,534,1
134,255,140,1
135,526,261,1
136,320,298,1
137,59,28,1
138,312,557,1
139,280,329,1
140,60,97,1
141,203,381,1
142,162,33,1
143,106,564,1
144,146,253,1
145,420,512,1
146,129,383,1
147,257,165,1
148,383,564,1
149,413,224,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
