### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,390,251,83.4417,0,255,0,0,100,1,1
1,404,486,-113.94,0,255,0,0,100,1,1
2,201,173,178.871,0,255,0,0,100,1,1
3,82,112,-34.4425,0,255,0,0,100,1,1
4,128,340,-13.3347,0,255,0,0,100,1,1
5,14,104,84.0277,0,255,0,0,100,1,1
6,307,109,59.4765,0,255,0,0,100,1,1
7,223,352,-134.909,0,255,0,0,100,1,1
8,117,75,77.7731,0,255,0,0,100,1,1
9,85,270,141.01,0,255,0,0,100,1,1
10,213,447,169.52,0,255,0,0,100,1,1
11,92,298,119.819,0,255,0,0,100,1,1
12,309,542,126.193,0,255,0,0,100,1,1
13,307,160,112.548,0,255,0,0,100,1,1
14,98,579,-152.82,0,255,0,0,100,1,1
15,110,294,-7.93534,0,255,0,0,100,1,1
16,456,291,-79.334,0,255,0,0,100,1,1
17,522,345,-127.616,0,255,0,0,100,1,1
18,16,512,33.8255,0,255,0,0,100,1,1
19,299,69,-74.9102,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,163,467,1
1,558,133,1
2,313,455,1
3,495,279,1
4,572,277,1
5,49,552,1
6,396,475,1
7,253,245,1
8,534,79,1
9,148,138,1
10,105,416,1
11,353,480,1
12,550,525,1
13,508,312,1
14,512,492,1
15,237,395,1
16,267,561,1
17,352,369,1
18,38,499,1
19,424,449,1
20,505,140,1
21,314,135,1
22,541,158,1
23,477,485,1
24,255,308,1
25,101,183,1
26,29,22,1
27,421,505,1
28,259,105,1
29,403,190,1
30,121,528,1
31,132,465,1
32,478,125,1
33,489,253,1
34,471,453,1
35,458,107,1
36,383,41,1
37,572,320,1
38,225,288,1
39,34,153,1
40,263,33,1
41,141,165,1
42,164,513,1
43,336,532,1
44,425,374,1
45,131,375,1
46,312,364,1
47,387,376,1
48,453,522,1
49,78,272,0
50,260,78,1
51,339,287,1
52,487,310,1
53,521,464,1
54,124,562,1
55,402,562,1
56,148,442,1
57,516,54,1
58,364,301,1
59,29,274,1
60,558,212,1
61,208,154,1
62,411,218,1
63,348,558,1
64,422,559,1
65,257,341,1
66,114,311,1
67,90,562,1
68,424,294,1
69,192,200,1
70,50,474,1
71,247,272,1
72,371,348,1
73,459,215,1
74,144,39,1
75,418,529,1
76,515,171,1
77,412,28,1
78,529,529,1
79,220,93,1
80,448,562,1
81,24,351,1
82,39,40,1
83,377,137,1
84,143,60,1
85,240,40,1
86,240,352,1
87,363,443,1
88,352,424,1
89,568,235,1
90,171,574,1
91,123,439,1
92,74,225,1
93,194,170,1
94,165,248,1
95,77,531,1
96,171,394,1
97,386,264,1
98,216,371,1
99,85,68,1
100,276,353,1
101,422,152,1
102,359,195,1
103,226,254,1
104,130,237,1
105,140,543,1
106,467,245,1
107,218,506,1
108,289,518,1
109,366,28,1
110,205,109,1
111,537,238,1
112,395,435,1
113,69,298,1
114,572,37,1
115,566,59,1
116,454,496,1
117,77,192,1
118,237,558,1
119,560,444,1
120,81,347,1
121,62,360,1
122,51,130,1
123,102,100,1
124,574,541,1
125,278,303,1
126,406,65,1
127,164,94,1
128,187,61,1
129,175,313,1
130,285,50,1
131,104,23,1
132,155,345,1
133,235,516,1
134,179,141,1
135,529,565,1
136,489,221,1
137,350,460,1
138,81,395,1
139,80,498,1
140,466,267,1
141,283,392,1
142,269,149,1
143,180,532,1
144,131,261,1
145,339,172,1
146,563,88,1
147,60,421,1
148,320,26,1
149,36,63,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
