### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,146,384,34.5604,0,255,0,0,100,1,1
1,172,528,72.5156,0,255,0,0,100,1,1
2,319,399,1.69026,0,255,0,0,100,1,1
3,58,509,57.9548,0,255,0,0,100,1,1
4,253,435,126.426,0,255,0,0,100,1,1
5,269,195,-50.1607,0,255,0,0,100,1,1
6,422,292,-21.5849,0,255,0,0,100,1,1
7,90,496,11.971,0,255,0,0,100,1,1
8,379,34,-70.0142,0,255,0,0,100,1,1
9,314,127,74.6304,0,255,0,0,100,1,1
10,524,55,93.7278,0,255,0,0,100,1,1
11,190,256,11.2496,0,255,0,0,100,1,1
12,226,98,174.983,0,255,0,0,100,1,1
13,67,569,-11.1417,0,255,0,0,100,1,1
14,560,401,150.146,0,255,0,0,100,1,1
15,417,285,153.994,0,255,0,0,100,1,1
16,556,117,-22.0483,0,255,0,0,100,1,1
17,16,387,-150.149,0,255,0,0,100,1,1
18,110,471,-159.6,0,255,0,0,100,1,1
19,387,510,-71.3036,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,500,523,1
1,228,278,1
2,291,153,1
3,496,204,1
4,561,543,1
5,404,242,1
6,235,403,1
7,263,385,1
8,397,561,1
9,83,253,1
10,571,320,1
11,526,86,1
12,402,496,1
13,407,51,1
14,250,265,1
15,113,93,1
16,270,490,1
17,399,519,1
18,102,356,1
19,19,469,1
20,65,459,1
21,541,524,1
22,359,426,1
23,532,316,1
24,567,177,1
25,352,251,1
26,126,356,1
27,310,379,1
28,45,343,1
29,283,560,1
30,304,89,1
31,525,138,1
32,95,448,1
33,201,364,1
34,67,355,1
35,55,320,1
36,314,459,1
37,565,89,1
38,79,560,1
39,246,321,1
40,301,332,1
41,171,263,1
42,450,466,1
43,61,126,1
44,462,234,1
45,302,241,1
46,572,220,1
47,146,23,1
48,27,274,1
49,553,162,1
50,224,187,1
51,125,214,1
52,379,174,1
53,438,509,1
54,138,398,1
55,260,337,1
56,125,457,1
57,518,259,1
58,132,248,1
59,194,141,1
60,416,96,1
61,456,90,1
62,485,276,1
63,225,487,1
64,568,358,1
65,120,153,1
66,385,242,1
67,539,28,1
68,44,195,1
69,238,144,1
70,116,519,1
71,40,42,1
72,576,560,1
73,327,314,1
74,519,444,1
75,30,558,1
76,248,550,1
77,20,150,1
78,371,198,1
79,51,237,1
80,90,381,1
81,471,498,1
82,96,189,1
83,337,83,1
84,369,517,1
85,167,155,1
86,97,116,1
87,183,209,1
88,160,474,1
89,21,351,1
90,196,299,1
91,119,37,1
92,337,354,1
93,266,235,1
94,338,119,1
95,258,61,1
96,112,67,1
97,149,544,1
98,226,165,1
99,51,409,1
100,503,287,1
101,166,364,1
102,70,174,1
103,482,449,1
104,289,44,1
105,157,336,1
106,520,571,1
107,376,348,1
108,146,500,1
109,209,542,1
110,264,86,1
111,180,37,1
112,148,83,1
113,427,30,1
114,248,354,1
115,289,372,1
116,512,542,1
117,176,548,1
118,279,445,1
119,407,261,1
120,482,85,1
121,459,324,1
122,473,295,1
123,432,198,1
124,28,446,1
125,26,243,1
126,103,139,1
127,152,576,1
128,343,501,1
129,514,345,1
130,514,368,1
131,230,84,1
132,375,324,1
133,543,406,1
134,275,540,1
135,473,66,1
136,52,271,1
137,188,273,1
138,393,223,1
139,146,358,1
140,362,88,1
141,225,32,1
142,520,396,1
143,315,119,1
144,290,400,1
145,577,512,1
146,219,344,1
147,461,158,1
148,232,454,1
149,457,392,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
