### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,49,43,100.917,0,255,0,0,100,1,1
1,388,91,-12.3567,0,255,0,0,100,1,1
2,149,273,111.911,0,255,0,0,100,1,1
3,471,331,149.132,0,255,0,0,100,1,1
4,382,202,-107.695,0,255,0,0,100,1,1
5,298,78,-84.1816,0,255,0,0,100,1,1
6,369,258,56.3192,0,255,0,0,100,1,1
7,11,69,-125.191,0,255,0,0,100,1,1
8,412,288,-24.5572,0,255,0,0,100,1,1
9,320,384,-118.12,0,255,0,0,100,1,1
10,428,89,-39.0686,0,255,0,0,100,1,1
11,127,287,-35.155,0,255,0,0,100,1,1
12,61,172,67.3195,0,255,0,0,100,1,1
13,64,383,139.187,0,255,0,0,100,1,1
14,394,14,-95.1683,0,255,0,0,100,1,1
15,210,117,-83.9858,0,255,0,0,100,1,1
16,310,438,-8.30895,0,255,0,0,100,1,1
17,563,411,127.052,0,255,0,0,100,1,1
18,303,353,68.1405,0,255,0,0,100,1,1
19,466,326,-93.6277,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,25,199,1
1,211,477,1
2,44,83,1
3,371,511,1
4,107,271,1
5,374,337,1
6,104,329,1
7,414,222,1
8,323,88,1
9,243,273,1
10,128,449,1
11,129,229,1
12,535,455,1
13,346,444,1
14,318,567,1
15,492,213,1
16,335,143,1
17,184,469,1
18,31,286,1
19,394,160,1
20,228,220,1
21,512,21,1
22,428,159,1
23,312,538,1
24,398,477,1
25,157,327,1
26,538,236,1
27,419,194,1
28,185,244,1
29,246,564,1
30,298,92,1
31,215,276,1
32,133,372,1
33,46,307,1
34,328,422,1
35,293,193,1
36,112,137,1
37,315,131,1
38,385,43,1
39,288,492,1
40,411,451,1
41,361,483,1
42,330,248,1
43,308,249,1
44,242,489,1
45,24,60,1
46,423,284,1
47,250,442,1
48,19,525,1
49,143,507,1
50,255,82,1
51,501,424,1
52,121,58,1
53,363,194,1
54,440,117,1
55,535,164,1
56,18,347,1
57,307,216,1
58,548,525,1
59,365,551,1
60,487,127,1
61,341,175,1
62,370,274,1
63,88,380,1
64,478,193,1
65,352,285,1
66,254,35,1
67,498,365,1
68,43,562,1
69,548,255,1
70,416,135,1
71,498,67,1
72,298,67,1
73,305,514,1
74,252,421,1
75,473,62,1
76,41,327,1
77,224,70,1
78,570,457,1
79,132,472,1
80,557,294,1
81,32,379,1
82,510,103,1
83,461,477,1
84,481,494,1
85,404,539,1
86,55,183,1
87,542,492,1
88,342,555,1
89,158,290,1
90,322,56,1
91,536,327,1
92,53,251,1
93,349,404,1
94,84,361,1
95,181,440,1
96,266,271,1
97,420,64,1
98,360,307,1
99,507,148,1
100,461,377,1
101,441,178,1
102,174,149,1
103,497,571,1
104,357,239,1
105,273,533,1
106,528,291,1
107,134,253,1
108,211,36,1
109,527,60,1
110,239,386,1
111,477,257,1
112,319,26,1
113,107,35,1
114,439,427,1
115,65,401,1
116,329,229,1
117,340,473,1
118,211,531,1
119,453,85,1
120,369,439,1
121,385,461,1
122,51,278,1
123,335,329,1
124,183,551,1
125,206,569,1
126,221,414,1
127,501,320,1
128,536,392,1
129,268,381,1
130,394,421,1
131,198,387,1
132,189,288,1
133,559,396,1
134,262,59,1
135,515,485,1
136,77,66,1
137,61,460,1
138,247,254,1
139,500,236,1
140,399,292,1
141,293,569,1
142,67,208,1
143,163,81,1
144,54,516,1
145,561,44,1
146,269,472,1
147,477,228,1
148,54,383,1
149,315,155,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
