### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,565,439,33.6356,0,255,0,0,100,1,1
1,354,365,-137.605,0,255,0,0,100,1,1
2,157,151,-140.596,0,255,0,0,100,1,1
3,68,414,-99.5795,0,255,0,0,100,1,1
4,320,522,-149.463,0,255,0,0,100,1,1
5,351,569,37.3726,0,255,0,0,100,1,1
6,458,361,-109.345,0,255,0,0,100,1,1
7,305,269,100.329,0,255,0,0,100,1,1
8,94,339,113.467,0,255,0,0,100,1,1
9,413,462,92.7132,0,255,0,0,100,1,1
10,43,145,87.5917,0,255,0,0,100,1,1
11,162,124,-63.8505,0,255,0,0,100,1,1
12,249,97,-172.796,0,255,0,0,100,1,1
13,278,77,-65.1195,0,255,0,0,100,1,1
14,192,112,100.651,0,255,0,0,100,1,1
15,519,340,-95.9876,0,255,0,0,100,1,1
16,323,35,-4.23818,0,255,0,0,100,1,1
17,198,263,-58.4117,0,255,0,0,100,1,1
18,261,128,-77.6705,0,255,0,0,100,1,1
19,68,152,-167.64,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,101,323,1
1,101,556,1
2,498,220,1
3,429,106,1
4,393,150,1
5,33,497,1
6,512,295,1
7,343,39,1
8,34,112,1
9,486,361,1
10,271,263,1
11,368,193,1
12,118,47,1
13,51,200,1
14,97,173,1
15,295,537,1
16,188,442,1
17,253,210,1
18,47,401,1
19,166,202,1
20,203,168,1
21,78,523,1
22,193,481,1
23,276,71,0
24,376,548,1
25,191,325,1
26,575,284,1
27,494,499,1
28,111,209,1
29,436,576,1
30,158,433,1
31,559,76,1
32,63,430,1
33,581,529,1
34,397,451,1
35,471,398,1
36,112,140,1
37,74,400,1
38,232,215,1
39,414,527,1
40,565,22,1
41,80,282,1
42,236,171,1
43,379,467,1
44,380,328,1
45,84,207,1
46,71,361,1
47,267,449,1
48,181,374,1
49,429,240,1
50,351,118,1
51,348,157,1
52,437,438,1
53,251,427,1
54,427,388,1
55,35,67,1
56,202,96,1
57,135,155,1
58,442,419,1
59,368,406,1
60,406,62,1
61,279,215,1
62,57,281,1
63,383,24,1
64,386,493,1
65,270,107,1
66,285,175,1
67,492,81,1
68,37,139,1
69,315,383,1
70,314,527,0
71,282,384,1
72,359,82,1
73,116,441,1
74,229,47,1
75,563,332,1
76,18,351,1
77,300,263,1
78,131,310,1
79,378,384,1
80,534,215,1
81,146,50,1
82,264,524,1
83,171,534,1
84,282,436,1
85,97,246,1
86,449,474,1
87,41,352,1
88,304,486,1
89,314,167,1
90,142,552,1
91,208,293,1
92,455,448,1
93,140,98,1
94,106,378,1
95,534,277,1
96,376,218,1
97,309,321,1
98,421,37,1
99,395,120,1
100,221,504,1
101,478,119,1
102,302,299,1
103,275,132,1
104,564,553,1
105,422,469,0
106,35,467,1
107,275,41,1
108,438,519,1
109,354,494,1
110,120,530,1
111,200,68,1
112,160,236,1
113,278,344,1
114,225,344,1
115,296,121,1
116,122,123,1
117,40,21,1
118,538,509,1
119,225,406,1
120,388,89,1
121,259,87,1
122,510,459,1
123,500,247,1
124,261,161,1
125,507,175,1
126,231,150,1
127,547,375,1
128,551,123,1
129,251,325,1
130,542,164,1
131,20,86,1
132,250,485,1
133,581,458,1
134,462,231,1
135,48,243,1
136,540,246,1
137,280,308,1
138,553,227,1
139,556,45,1
140,448,195,1
141,273,402,1
142,256,233,1
143,475,150,1
144,534,47,1
145,193,405,1
146,66,219,1
147,185,128,1
148,374,65,1
149,472,270,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
