### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,98,21,142.609,0,255,0,0,100,1,1
1,529,260,24.0702,0,255,0,0,100,1,1
2,282,12,-99.0788,0,255,0,0,100,1,1
3,331,395,108.934,0,255,0,0,100,1,1
4,132,205,-153.536,0,255,0,0,100,1,1
5,200,559,68.5311,0,255,0,0,100,1,1
6,104,367,141.664,0,255,0,0,100,1,1
7,108,357,27.1094,0,255,0,0,100,1,1
8,488,527,-25.889,0,255,0,0,100,1,1
9,245,267,41.1781,0,255,0,0,100,1,1
10,121,27,-131.864,0,255,0,0,100,1,1
11,120,153,15.4023,0,255,0,0,100,1,1
12,369,416,162.185,0,255,0,0,100,1,1
13,141,62,-172.098,0,255,0,0,100,1,1
14,577,181,-96.1502,0,255,0,0,100,1,1
15,83,573,-77.4034,0,255,0,0,100,1,1
16,124,210,106.816,0,255,0,0,100,1,1
17,241,198,-8.64454,0,255,0,0,100,1,1
18,322,134,43.483,0,255,0,0,100,1,1
19,336,362,175.367,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,576,160,1
1,456,33,1
2,383,457,1
3,494,72,1
4,504,276,1
5,320,412,1
6,271,366,1
7,153,381,1
8,34,455,1
9,502,550,1
10,392,95,1
11,361,87,1
12,130,525,1
13,459,390,1
14,359,347,1
15,446,325,1
16,161,323,1
17,487,428,1
18,365,393,1
19,577,417,1
20,110,126,1
21,322,293,1
22,105,527,1
23,316,122,1
24,358,32,1
25,559,187,1
26,390,133,1
27,541,241,1
28,444,504,1
29,391,293,1
30,283,416,1
31,183,349,1
32,431,455,1
33,274,477,1
34,210,115,1
35,114,308,1
36,270,22,1
37,443,528,1
38,353,145,1
39,289,353,1
40,295,500,1
41,511,487,1
42,550,320,1
43,393,390,1
44,343,174,1
45,53,186,1
46,22,218,1
47,553,507,1
48,121,470,1
49,444,479,1
50,27,315,1
51,229,188,1
52,457,137,1
53,143,241,1
54,255,199,1
55,267,68,1
56,466,364,1
57,37,112,1
58,575,112,1
59,238,261,1
60,449,176,1
61,372,316,1
62,493,161,1
63,509,331,1
64,516,447,1
65,499,187,1
66,506,385,1
67,146,346,1
68,297,574,1
69,324,247,1
70,73,384,1
71,128,173,1
72,62,206,1
73,153,552,1
74,35,354,1
75,342,270,1
76,97,230,1
77,48,328,1
78,206,412,1
79,210,445,1
80,251,340,1
81,22,396,1
82,423,186,1
83,327,210,1
84,533,515,1
85,230,538,1
86,186,274,1
87,196,145,1
88,199,484,1
89,120,506,1
90,320,374,1
91,552,539,1
92,109,107,1
93,160,420,1
94,145,481,1
95,221,398,1
96,372,570,1
97,292,63,1
98,124,86,1
99,546,110,1
100,179,468,1
101,393,188,1
102,257,238,1
103,101,350,1
104,198,547,1
105,542,220,1
106,534,349,1
107,506,239,1
108,178,446,1
109,437,127,1
110,309,546,1
111,511,359,1
112,51,75,1
113,129,422,1
114,141,455,1
115,297,166,1
116,176,113,1
117,565,67,1
118,177,196,1
119,527,372,1
120,470,575,1
121,545,137,1
122,445,420,1
123,301,374,1
124,312,333,1
125,314,149,1
126,116,551,1
127,437,37,1
128,46,515,1
129,394,512,1
130,427,299,1
131,163,169,1
132,373,480,1
133,419,367,1
134,66,478,1
135,409,217,1
136,298,132,1
137,100,83,1
138,321,518,1
139,140,570,1
140,249,434,1
141,468,175,1
142,93,290,1
143,529,38,1
144,245,407,1
145,353,375,1
146,105,402,1
147,74,433,1
148,70,124,1
149,104,436,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
