### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,558,528,-166.133,0,255,0,0,100,1,1
1,18,298,-24.2801,0,255,0,0,100,1,1
2,563,251,86.9,0,255,0,0,100,1,1
3,454,78,-67.6068,0,255,0,0,100,1,1
4,584,278,103.318,0,255,0,0,100,1,1
5,30,62,-39.7079,0,255,0,0,100,1,1
6,336,526,-38.1409,0,255,0,0,100,1,1
7,270,327,37.4867,0,255,0,0,100,1,1
8,558,211,-77.1191,0,255,0,0,100,1,1
9,408,208,158.207,0,255,0,0,100,1,1
10,577,576,140.593,0,255,0,0,100,1,1
11,22,344,30.3684,0,255,0,0,100,1,1
12,433,522,-178.576,0,255,0,0,100,1,1
13,248,95,-96.6631,0,255,0,0,100,1,1
14,89,411,108.577,0,255,0,0,100,1,1
15,204,343,97.5329,0,255,0,0,100,1,1
16,39,305,-118.327,0,255,0,0,100,1,1
17,301,499,-48.4716,0,255,0,0,100,1,1
18,365,568,49.3894,0,255,0,0,100,1,1
19,30,553,-115.636,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,18,386,1
1,298,76,1
2,492,521,1
3,569,367,1
4,208,47,1
5,544,66,1
6,20,47,1
7,501,388,1
8,79,310,1
9,152,169,1
10,115,291,1
11,133,64,1
12,76,543,1
13,330,131,1
14,289,129,1
15,453,317,1
16,167,297,1
17,404,140,1
18,389,62,1
19,353,526,1
20,314,191,1
21,115,218,1
22,480,385,1
23,391,531,1
24,537,576,1
25,325,460,1
26,238,169,1
27,480,132,1
28,515,407,1
29,314,418,1
30,253,81,1
31,244,142,1
32,141,146,1
33,548,180,1
34,105,502,1
35,508,277,1
36,538,209,1
37,347,450,1
38,143,512,1
39,393,509,1
40,539,108,1
41,79,138,1
42,493,88,1
43,171,94,1
44,91,463,1
45,205,485,1
46,570,61,1
47,424,577,1
48,192,200,1
49,291,174,1
50,241,255,1
51,90,45,1
52,475,267,1
53,397,350,1
54,514,317,1
55,570,490,1
56,562,565,1
57,183,141,1
58,320,365,1
59,341,356,1
60,522,477,1
61,440,422,1
62,347,24,1
63,225,477,1
64,290,220,1
65,27,504,1
66,552,269,1
67,354,576,1
68,261,572,1
69,543,455,1
70,288,100,1
71,446,537,1
72,518,86,1
73,578,457,1
74,253,363,1
75,20,259,1
76,268,249,1
77,392,397,1
78,493,301,1
79,409,522,1
80,367,112,1
81,51,144,1
82,330,211,1
83,439,90,1
84,292,327,1
85,297,401,1
86,375,518,1
87,106,98,1
88,94,125,1
89,480,155,1
90,412,403,1
91,508,200,1
92,437,357,1
93,296,489,1
94,447,192,1
95,73,389,1
96,385,435,1
97,45,59,1
98,572,143,1
99,279,278,1
100,18,290,1
101,450,491,1
102,214,538,1
103,91,292,1
104,357,207,1
105,518,251,1
106,181,178,1
107,237,545,1
108,310,557,1
109,297,442,1
110,116,373,1
111,185,571,1
112,483,550,1
113,293,257,1
114,125,452,1
115,461,93,1
116,163,484,1
117,144,493,1
118,403,31,1
119,250,36,1
120,480,222,1
121,428,455,1
122,405,566,1
123,460,225,1
124,581,108,1
125,110,353,1
126,135,325,1
127,335,283,1
128,122,124,1
129,228,52,1
130,488,111,1
131,48,450,1
132,275,465,1
133,41,247,1
134,279,153,1
135,423,184,1
136,58,102,1
137,155,454,1
138,499,163,1
139,182,396,1
140,558,397,1
141,100,396,1
142,415,90,1
143,481,499,1
144,181,262,1
145,161,352,1
146,96,262,1
147,285,573,1
148,443,275,1
149,366,482,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
